year,grands_ADJ anneaux_NOUN,grands_ADJ panneaux_NOUN
1800,4.087413785214267e-08,2.829747991484055e-08
1801,4.524246932646747e-08,4.7623651688866175e-09
1802,4.699464284385613e-08,4.923248297927785e-08
1803,6.631153581793114e-08,5.460949736857401e-08
1804,3.707776485839531e-08,2.4718509905596875e-08
1805,2.842877711017877e-09,2.842877711017877e-09
1806,5.76333825108577e-09,6.051504897186533e-08
1807,1.0533734240425474e-07,1.195721210933698e-07
1808,6.118399653587403e-08,4.758755522971114e-08
1809,7.454800510231507e-08,3.840352036377226e-08
1810,3.510190182964834e-08,7.020380277111826e-09
1811,3.760615285841595e-08,1.2535384286138651e-08
1812,3.200649700829672e-08,3.467370746079723e-08
1813,7.476928232108548e-08,8.339650747757332e-08
1814,1.2586708564299443e-08,2.2026739543434815e-08
1815,8.091670444798638e-09,3.236668177919455e-08
1816,1.367386346373678e-07,4.6352077731626196e-09
1817,3.7364962679475866e-08,3.580808893843823e-08
1818,4.2916237674717195e-08,2.1458118837358597e-08
1819,5.2790355198339967e-08,1.8631890696951814e-08
1820,5.6959109429044474e-08,1.1866481131050932e-08
1821,4.141825016290568e-08,2.1695274909916407e-08
1822,1.804610860745015e-08,1.604098542884458e-08
1823,3.360113609574e-08,1.9765373338032077e-08
1824,6.568468080558887e-08,1.7684335773537896e-08
1825,3.6982861217893515e-08,1.3208164340028361e-08
1826,8.191425138193154e-08,3.5231937367541377e-09
1827,8.019027575301152e-08,1.6591091167583727e-08
1828,7.704733206992387e-08,1.6510142586412258e-08
1829,5.744027831156018e-08,1.628903412154159e-08
1830,1.3046044955444813e-07,1.461157062010443e-08
1831,2.182768810143898e-08,2.182768810143898e-08
1832,8.659180394943178e-08,4.19429042608499e-08
1833,1.0656938087549861e-07,1.50587169400751e-08
1834,6.16079063320285e-08,2.6136685704614138e-08
1835,9.15133639978194e-08,3.554651328840919e-08
1836,6.51912728244497e-08,2.083432448785061e-08
1837,5.0096815584765864e-08,2.5048407792382932e-08
1838,9.341999884782126e-08,2.5248647617104325e-08
1839,6.082583325905944e-08,1.8876983531868063e-08
1840,5.223144583510475e-08,1.7835128929277744e-08
1841,2.953452238330101e-08,2.760835826620678e-08
1842,3.4212153110502186e-08,4.8299508392801727e-08
1843,5.316219997553162e-08,3.36693943836508e-08
1844,5.982531803283564e-08,3.1284798751585186e-08
1845,5.747634901354104e-08,3.1807299905040054e-08
1846,9.250111787650894e-08,5.093416177714971e-08
1847,4.422443566909351e-08,1.941560512364049e-08
1848,6.516629724728773e-08,4.98803736093123e-08
1849,7.0387088157986e-08,3.267971848686102e-08
1850,5.295417082606946e-08,6.042206734946376e-08
1851,4.1921353499674296e-08,2.192809134271556e-08
1852,4.296959943417278e-08,3.971432604998881e-08
1853,6.688563303214323e-08,3.762317035693741e-08
1854,4.000661490977109e-08,2.8576154775805662e-08
1855,3.6087172361476405e-08,7.748128183493463e-08
1856,3.727576114442854e-08,6.160855292591805e-08
1857,3.124165814938351e-08,2.9777204701986193e-08
1858,4.3553715300959084e-08,3.229826006645453e-08
1859,2.5970084749360467e-08,3.055303920973529e-08
1860,2.5174511364411956e-08,3.524431591017674e-08
1861,1.839225838295988e-08,3.301174444914068e-08
1862,4.834245359575107e-08,4.066187742068905e-08
1863,3.995696573610985e-08,6.592899381985262e-08
1864,3.212467802882202e-08,1.0308664855074312e-07
1865,4.848049783845454e-08,5.45993934508715e-08
1866,5.692767146570077e-08,7.152451075853605e-08
1867,5.143980175148499e-08,8.492420278116697e-08
1868,6.174842326345242e-08,7.16281718382561e-08
1869,2.5882650689368347e-08,8.741499613051928e-08
1870,5.3326655091723296e-08,1.3245652041860012e-07
1871,3.3987767267262825e-08,7.541035529357032e-08
1872,4.7169248063028135e-08,7.619647846013322e-08
1873,5.028243776905583e-08,8.260686001904105e-08
1874,4.062734149101743e-08,1.2785663727754581e-07
1875,1.3731664694205392e-07,1.1614699957362973e-07
1876,5.38095328295185e-08,8.948101992700686e-08
1877,4.762308236649915e-08,9.400920220059561e-08
1878,4.891661831152305e-08,1.2561304174596444e-07
1879,4.581993806596074e-08,7.575563643058558e-08
1880,4.171599954361227e-08,1.3926725728197198e-07
1881,4.183504387356152e-08,8.924809691279734e-08
1882,4.5256619785050134e-08,9.583754945197143e-08
1883,6.635305993540896e-08,8.404720830412771e-08
1884,6.271611852071146e-08,1.3137376697613945e-07
1885,6.832373600218489e-08,1.1988882420155278e-07
1886,4.646494033977433e-08,1.2455184617010673e-07
1887,4.309090329002174e-08,1.2274378491383686e-07
1888,5.5163347667530616e-08,1.0398608196737769e-07
1889,3.57112810434046e-08,1.378330125589855e-07
1890,5.505684796958121e-08,1.317431639336064e-07
1891,3.6970476458009216e-08,1.5043158896332898e-07
