year,peuples_NOUN heureux_ADJ
1800,1.855057085720091e-07
1801,3.5003384368792467e-07
1802,1.767893706983159e-07
1803,2.242890082548854e-07
1804,1.8786066746656616e-07
1805,3.297738260243932e-07
1806,2.2188852355498057e-07
1807,3.9003284246774683e-07
1808,4.124254608939282e-07
1809,2.1460789612071096e-07
1810,3.2059737531398014e-07
1811,2.782855315075494e-07
1812,2.1604387256957125e-07
1813,1.9555042740648787e-07
1814,5.097617030713764e-07
1815,4.072807688881852e-07
1816,3.1982933101915023e-07
1817,2.724528546105276e-07
1818,3.2067967836724165e-07
1819,2.9293470671376554e-07
1820,3.3344811356528226e-07
1821,2.4752336225120075e-07
1822,3.258325023125508e-07
1823,1.956771980005101e-07
1824,2.2821214695767367e-07
1825,2.905796179231146e-07
1826,3.690545344881002e-07
1827,2.2213628747547176e-07
1828,1.6968757177160398e-07
1829,2.2804648969199093e-07
1830,2.7344509057058985e-07
1831,1.9489008273865238e-07
1832,1.7318360789886356e-07
1833,2.2124730314487806e-07
1834,1.829568061495479e-07
1835,1.7016947850834185e-07
1836,2.1909644676298967e-07
1837,1.5029044397874003e-07
1838,1.3129297360414682e-07
1839,1.1256275067594856e-07
1840,1.52235554606861e-07
1841,1.444623389801336e-07
1842,1.0867389077517942e-07
1843,1.0514301385100566e-07
1844,1.4928887015486225e-07
1845,1.0435026354116417e-07
1846,1.2177362096466027e-07
1847,1.3914517182911368e-07
1848,1.568818167596575e-07
1849,1.0306680309213334e-07
1850,1.398533129304269e-07
1851,1.0061124489091355e-07
1852,1.2239825752935474e-07
1853,1.092863504137398e-07
1854,1.5742863190837397e-07
1855,1.6716851902742746e-07
1856,1.1286272361132887e-07
1857,1.2106142671663989e-07
1858,1.2087380052427932e-07
1859,1.4410851134627478e-07
1860,1.222108068077432e-07
1861,1.0327960558997873e-07
1862,1.246964274059792e-07
1863,1.4684185600799537e-07
1864,1.4192394670597963e-07
1865,8.990072775105773e-08
1866,9.147352386662533e-08
1867,8.929173134220036e-08
1868,8.694178310619805e-08
1869,8.204312251791634e-08
1870,9.059797312360729e-08
1871,6.691341369879922e-08
1872,9.191955618881309e-08
1873,7.90152583363124e-08
1874,1.1769980146070225e-07
1875,1.0642040382258244e-07
1876,9.915464405096941e-08
1877,1.5771280192922177e-07
1878,1.189700487014278e-07
1879,1.5517685714172558e-07
1880,1.379836902515308e-07
1881,1.0110135661989261e-07
1882,9.18443141539882e-08
1883,8.910267990103193e-08
1884,1.1420935663863929e-07
1885,1.4309310542026665e-07
1886,1.0906354219741843e-07
1887,1.4559502403699298e-07
1888,1.0081577528353591e-07
1889,1.165315453022231e-07
1890,1.2912141456045134e-07
1891,8.987650090830357e-08
1892,1.1032581426206889e-07
1893,9.976634629538239e-08
1894,1.0964678609504119e-07
1895,1.2458531517545168e-07
1896,1.226582015956268e-07
1897,1.2877036470460013e-07
1898,1.0750873968845553e-07
