year,devez_VERB unir_VERB,devez_VERB punir_VERB
1800,0.0,0.0
1801,4.7623651688866175e-09,7.143547975374531e-09
1802,0.0,1.1189200677108602e-08
1803,3.900678446910888e-09,1.950339267864365e-08
1804,0.0,2.7190360185613827e-08
1805,5.685755422035754e-09,8.528632911009026e-09
1806,0.0,2.881669125542885e-09
1807,0.0,8.540865792383556e-09
1808,0.0,2.2660739062985158e-08
1809,2.259030518203531e-09,6.7770917766551975e-09
1810,7.020380277111826e-09,1.6380887757350138e-08
1811,0.0,7.521229861140455e-09
1812,0.0,2.6672082320544632e-09
1813,5.751483289628823e-09,1.1502966579257645e-08
1814,0.0,3.1466771410748606e-09
1815,5.394447111228828e-09,1.8880564667256294e-08
1816,2.3176038865813098e-09,2.3176038865813098e-09
1817,0.0,1.401186100480345e-08
1818,2.384235475716423e-09,1.1921176934492905e-08
1819,4.140420006848444e-09,1.9666995143552413e-08
1820,2.3732962262101864e-09,0.0
1821,0.0,1.97229765852569e-09
1822,0.0,1.2030739071633434e-08
1823,1.9765373782121287e-09,8.894418535021487e-09
1824,0.0,1.1789557774477544e-08
1825,6.163809906922779e-09,2.289415235168235e-08
1826,0.0,1.3211976401805714e-08
1827,0.0,5.530363722527909e-09
1828,7.337841001486822e-09,8.255071293206129e-09
1829,0.0,1.457439946506156e-08
1830,0.0,4.174734336004349e-09
1831,0.0,6.236482441579483e-09
1832,2.705993873419743e-09,2.570694235259907e-08
1833,2.3167257001688313e-09,1.2741991461950875e-08
1834,9.334530925997342e-10,1.5868701908061666e-08
1835,2.2689263801112247e-09,2.571449897459388e-08
1836,6.720750067579218e-10,9.409050427677812e-09
1837,3.478945576063097e-09,1.2524203896191466e-08
1838,6.312161904276081e-10,6.312161904276081e-09
1839,0.0,7.690622361167243e-09
1840,6.369688665408546e-10,2.6115722917552375e-08
1841,0.0,1.9903700021473014e-08
1842,1.341653010911159e-09,3.5553803456878086e-08
1843,5.906911071384968e-10,1.0041748765843295e-08
1844,0.0,1.0977122322231025e-08
1845,9.48638767539478e-09,5.022205318283568e-09
1846,2.9272506640865004e-09,1.1123552745573306e-08
1847,1.0786447290911383e-09,1.240441438454809e-08
1848,3.218088684420195e-09,1.448139919091318e-08
1849,1.6758829879393033e-09,7.54147322368226e-09
1850,0.0,3.394498016007219e-09
1851,3.8696632564949596e-09,7.739326512989919e-09
1852,0.0,1.9531636752390114e-08
1853,1.7915795513800958e-09,7.166318205520383e-09
1854,5.195664454227256e-10,1.2989160858012383e-08
1855,9.021793090369101e-09,8.491099379170919e-09
1856,0.0,1.1389816201301528e-08
1857,1.4644527812635033e-09,4.393358121745905e-09
1858,1.468102750479261e-09,9.297984604472731e-09
1859,1.018434669930457e-09,1.1202780925145817e-08
1860,4.577183909670879e-10,4.119465657481669e-09
1861,1.226150558863992e-08,5.659156698811785e-09
1862,0.0,1.8071945717679228e-08
1863,0.0,7.991393324857654e-09
1864,9.589455896019672e-10,1.0068928801842958e-08
1865,2.3534221238463715e-09,1.2708479601997169e-08
1866,0.0,2.919367858567057e-09
1867,1.455843445796745e-09,1.2132028714972876e-08
1868,9.87974813071446e-10,3.457911734727759e-09
1869,9.767038289254515e-10,1.4162205630441349e-08
1870,1.1468097582678638e-09,1.9495765002375265e-08
1871,0.0,2.1242354542039266e-09
1872,6.047339295989218e-10,1.2094678591978436e-09
1873,1.1972008939764578e-09,3.591602570907071e-09
1874,0.0,2.9873046258899194e-09
1875,0.0,4.577221712764867e-09
1876,0.0,6.04601479992084e-10
1877,0.0,3.0924081073635534e-09
1878,0.0,6.039088784604019e-09
