year,grosses_ADJ eaux_NOUN,grosses_ADJ peaux_NOUN
1800,2.2009151834367913e-08,0.0
1801,3.5717739876872656e-08,0.0
1802,6.265952379180817e-08,1.3427040812530322e-08
1803,5.655983770225248e-08,0.0
1804,1.2359254952798437e-08,0.0
1805,1.3361525930122298e-07,0.0
1806,3.7461699520235925e-08,0.0
1807,1.4519470425966574e-07,0.0
1808,8.157866204783204e-08,2.2660739951163578e-09
1809,1.0165637576164954e-07,0.0
1810,3.510190182964834e-08,0.0
1811,3.008491944456182e-08,0.0
1812,1.0402111882967802e-07,0.0
1813,6.901780125190271e-08,0.0
1814,5.97868634599763e-08,0.0
1815,2.6972236000233352e-08,0.0
1816,3.7081662185300956e-08,0.0
1817,1.1520863552050287e-07,0.0
1818,4.053200441944682e-08,0.0
1819,5.589566853814176e-08,0.0
1820,9.730514705097448e-08,0.0
1821,3.747365440176509e-08,0.0
1822,6.416394171537831e-08,0.0
1823,7.510841726343642e-08,9.882686891060644e-10
1824,5.221090049190025e-08,0.0
1825,6.251864448358901e-08,0.0
1826,5.9013494535520294e-08,0.0
1827,4.516463647519231e-08,9.217273055917019e-10
1828,4.953042775923677e-08,0.0
1829,5.1439055681612444e-08,0.0
1830,5.218418053232199e-08,0.0
1831,3.274153215215847e-08,0.0
1832,8.117981309396782e-08,1.3529969367098715e-09
1833,5.21263281427764e-08,4.6334514003376626e-09
1834,5.787409307345115e-08,9.334531370086552e-09
1835,8.168134968400409e-08,1.5126175867408165e-09
1836,4.973355061110851e-08,5.376600054063374e-09
1837,4.383471363667013e-08,0.0
1838,5.491580878924651e-08,0.0
1839,7.970281501457066e-08,0.0
1840,4.968357103507515e-08,0.0
1841,6.420548714913821e-08,0.0
1842,5.9032732480091e-08,0.0
1843,6.3794637128467e-08,0.0
1844,7.409557412074719e-08,1.6465684371524958e-09
1845,5.636030309119633e-08,0.0
1846,2.9272506196775794e-08,1.1709002656346001e-09
1847,8.521293182184309e-08,0.0
1848,3.861706332486392e-08,0.0
1849,4.1897074254393374e-08,1.6758829879393033e-09
1850,3.869727649430388e-08,1.3577992064028876e-09
1851,5.159551008659946e-08,0.0
1852,4.166749079104193e-08,0.0
1853,6.569125332589465e-08,2.388772735173461e-09
1854,3.3771819119010615e-08,0.0
1855,3.8209947206269135e-08,1.0613874223963649e-09
1856,5.7466799319172424e-08,5.177189232874468e-10
1857,7.322263684272912e-08,0.0
1858,7.34051397444091e-08,3.4255731584664773e-09
1859,5.754155907311542e-08,0.0
1860,4.073693560258107e-08,1.8308735638683515e-09
1861,3.4426534512022045e-08,3.772770984511453e-09
1862,2.710791768834042e-08,0.0
1863,4.145535115185339e-08,0.0
1864,5.370095124135332e-08,2.8768367688059016e-09
1865,3.9066808454890634e-08,1.882737743486018e-09
1866,4.719644408623935e-08,1.4596839292835284e-09
1867,4.076361648230886e-08,4.85281148598915e-10
1868,3.655506830568811e-08,9.87974813071446e-10
1869,2.783605879130846e-08,4.883519144627257e-10
1870,1.9495765002375265e-08,1.1468097582678638e-09
1871,2.8677177965619194e-08,0.0
1872,2.1770421909650395e-08,6.047339295989218e-10
1873,1.6760813181804224e-08,2.3944017879529156e-09
1874,3.345781252050983e-08,1.1949218281515073e-09
1875,4.062284375550007e-08,5.721527140956084e-10
1876,4.5949711591219966e-08,0.0
1877,3.463496867084359e-08,6.184815992682502e-10
1878,7.790424660925055e-08,6.039088673581716e-10
1879,4.581993806596074e-08,1.221865053580018e-09
1880,4.043243251317108e-08,6.417846254436199e-10
