year,leurs_DET ailes_NOUN,leurs_DET pelles_NOUN
1800,3.4522926029012524e-06,6.288328968651058e-09
1801,1.7620751542324342e-06,9.524730337773235e-09
1802,2.1975589561407105e-06,2.2378401354217203e-08
1803,4.489680804908858e-06,0.0
1804,2.5385909694364273e-06,2.4718509461507665e-09
1805,2.385174301622328e-06,1.7057265822018053e-08
1806,1.9566533921988594e-06,2.881669125542885e-09
1807,1.6341522410812104e-06,8.540865792383556e-09
1808,1.7539412908718077e-06,0.0
1809,1.7010500101832804e-06,2.259030518203531e-09
1810,2.8877163060769817e-06,0.0
1811,1.4215125077043922e-06,2.5070767684098882e-09
1812,1.1015570251515783e-06,0.0
1813,8.569710274741738e-07,2.8757416004054903e-08
1814,1.0635769132072426e-06,9.440030979135372e-09
1815,1.1409255260552698e-06,2.4275012222574333e-08
1816,2.825159100439123e-06,1.1588019432906549e-08
1817,4.413736178321415e-06,1.401186100480345e-08
1818,2.4569545473696053e-06,2.384235475716423e-09
1819,1.7420817108870779e-06,0.0
1820,1.5556956753925988e-06,1.3053129244156025e-08
1821,1.3687746118762334e-06,9.861488514673056e-09
1822,1.7073624434260637e-06,2.3058916553964082e-08
1823,1.2106290903091121e-06,4.941343334508019e-09
1824,1.1831662796168985e-06,7.57900142644985e-09
1825,1.563846630858734e-06,1.7610886082763955e-09
1826,1.3423367697384947e-06,6.1655889282974385e-09
1827,1.0046827334520003e-06,2.949527377893446e-08
1828,1.5776358353036812e-06,1.0089530988466322e-08
1829,1.7403547758476634e-06,2.2290258527846163e-08
1830,1.8368831220527682e-06,2.0873671680021744e-09
1831,1.4297136132768173e-06,1.5591206548037917e-08
1832,2.076850371679484e-06,1.3529969367098715e-09
1833,1.8858147647904389e-06,2.6642345218874652e-08
1834,2.2188179116255924e-06,1.9602515166639023e-08
1835,2.1380850228069903e-06,1.5126175867408165e-09
1836,2.1338382509838993e-06,0.0
1837,1.6497159265327355e-06,3.478945576063097e-09
1838,1.690396977949149e-06,1.8936485712828244e-09
1839,1.6248188430267874e-06,6.9914749545318955e-09
1840,1.2720268749433217e-06,6.3696887764308485e-09
1841,1.935153328247452e-06,1.733548060656176e-08
1842,1.292682714648663e-06,1.0733224087289273e-08
1843,1.7041438127307629e-06,7.678984559333912e-09
1844,1.4506267653757732e-06,7.683985892015244e-09
1845,1.447511102981025e-06,5.022205318283568e-09
1846,1.3980549091741068e-06,3.5127007969038004e-09
1847,1.2102393611712614e-06,7.011190739092399e-09
1848,1.0861049020149949e-06,1.850401076808339e-08
1849,1.3851173079615364e-06,1.256912263158938e-08
1850,1.4134689720890492e-06,1.5614691761811628e-08
1851,1.140905682817106e-06,1.2898877521649865e-08
1852,1.950559401109331e-06,9.765818376195057e-09
1853,1.7300686501187101e-06,8.360704129017904e-09
1854,1.2105898470338161e-06,1.0391328908454511e-09
1855,1.4949642093142756e-06,7.429711956774554e-09
1856,1.3512463645781736e-06,5.694908100650764e-09
1857,1.6509264142428037e-06,1.757343248698362e-08
1858,1.1876952132894303e-06,1.7127865348243176e-08
1859,1.4202071376701042e-06,6.110608019582742e-09
1860,1.8098185421422386e-06,1.0069804545764782e-08
1861,1.3992264236151186e-06,1.3676294763342867e-08
1862,1.2681987335838585e-06,2.1234535907410645e-08
1863,1.1837251800983495e-06,1.1987090431375691e-08
1864,1.270123478391838e-06,5.274200631788517e-09
1865,1.1249357605436217e-06,2.3534221238463715e-09
1866,1.3424226068536882e-06,1.3623716377253459e-08
1867,1.6868373222678201e-06,7.76449837758264e-09
1868,1.3357419881288024e-06,9.87974857480367e-09
1869,1.3122015865008052e-06,3.906815315701806e-09
1870,1.3056429537527947e-06,6.307453670473251e-09
1871,1.0345026453251194e-06,1.3807530230280918e-08
1872,1.2245861533699554e-06,8.4662747923403e-09
1873,1.2887867715249968e-06,1.855661402316855e-08
1874,1.3550413271445905e-06,1.7326366119618797e-08
1875,1.06992552773022e-06,5.721527251978387e-09
1876,1.0810274275740994e-06,2.1161051577678336e-08
1877,1.2994297975410518e-06,6.80329748092845e-09
1878,1.3769121807172269e-06,5.435179861734696e-09
1879,1.0892927093664184e-06,1.1607718342077078e-08
1880,1.084615977475778e-06,1.2193908105473383e-08
1881,1.1525554803881732e-06,9.761510710859511e-09
1882,1.0728481072419527e-06,1.1314154946262533e-08
1883,1.0313161062924792e-06,2.464542170343975e-08
1884,1.0127002880722102e-06,9.902545450302114e-09
1885,1.1254080440892267e-06,2.8360796378024133e-08
1886,1.129356160589623e-06,1.2906927970846027e-08
1887,1.0459337431711901e-06,2.0892558794116667e-08
1888,1.0702957666808288e-06,4.4384300679212174e-09
1889,9.523007769018932e-07,3.759081934617825e-09
1890,9.595621754954209e-07,1.1797895993481688e-08
1891,8.898411021363017e-07,1.0198752065093686e-08
1892,8.136529094926459e-07,8.149066310636499e-09
1893,9.132931513278209e-07,8.005941687372342e-09
1894,9.433404528635947e-07,1.7014155417882648e-08
1895,8.32976233766658e-07,1.1435367319734269e-08
1896,8.356090113181835e-07,1.592197840238896e-08
1897,7.883543489128897e-07,2.6220211779559577e-08
1898,7.548245584132474e-07,3.8476814734345055e-08
1899,9.131559792763255e-07,1.3818945987509323e-08
1900,7.937120471979142e-07,1.7130474816440255e-08
1901,8.014251644539172e-07,8.38310842965484e-09
1902,9.246064607282278e-07,9.820567470342212e-09
1903,8.678153768926222e-07,1.1880484152015924e-08
1904,8.056562901259667e-07,1.6123875568041512e-08
1905,9.304848802571541e-07,2.6835946798087207e-08
1906,9.300685839264133e-07,1.4403716441790948e-08
1907,9.349689484849932e-07,1.2857108266928208e-08
1908,9.120449426802679e-07,2.1118973236866623e-08
1909,1.0127311131924444e-06,1.3752458727367411e-08
1910,1.113186586465531e-06,1.2291546447329438e-08
