year,événements_NOUN heureux_ADJ
1800,1.5720821977538435e-08
1801,9.524730337773235e-09
1802,1.1189200677108602e-08
1803,5.851017448321727e-09
1804,2.4718509905596875e-08
1805,8.528632911009026e-09
1806,5.76333825108577e-09
1807,2.8469551160981155e-09
1808,2.7192887941396293e-08
1809,8.810219043198231e-08
1810,9.594519667643908e-08
1811,4.011322829455821e-08
1812,3.467370746079723e-08
1813,5.176335093892703e-08
1814,4.72001566720337e-08
1815,4.045835311217161e-08
1816,7.416332437060191e-08
1817,7.940054302935096e-08
1818,1.0371424252753059e-07
1819,8.384350280721264e-08
1820,5.458581142647745e-08
1821,5.621048160264763e-08
1822,3.5089655625597516e-08
1823,3.360113609574e-08
1824,2.6947560627377243e-08
1825,3.78634048558979e-08
1826,3.435113882233054e-08
1827,2.1199728195142598e-08
1828,3.118582370120748e-08
1829,5.3153691226270894e-08
1830,3.339787468803479e-08
1831,3.585977381703742e-08
1832,3.788391467196561e-08
1833,6.255159235024621e-08
1834,6.440826183506942e-08
1835,7.033671778344797e-08
1836,7.123995260371885e-08
1837,9.114837240531415e-08
1838,1.0351945434194931e-07
1839,7.970281501457066e-08
1840,1.4268103143422195e-07
1841,1.1813808953320404e-07
1842,2.0527291155758576e-07
1843,1.730724932258454e-07
1844,2.0197904859742266e-07
1845,1.7075497282803553e-07
1846,1.3582443614268414e-07
1847,9.977463832910871e-08
1848,1.0619692858426788e-07
1849,1.2066357157891616e-07
1850,1.0998173394227706e-07
1851,8.835731080125697e-08
1852,9.114763344086896e-08
1853,1.313825066517893e-07
1854,1.2209811472985166e-07
1855,1.1303775693249918e-07
1856,1.1234500618684251e-07
1857,1.5864904412410397e-07
1858,1.2429937612523645e-07
1859,1.4970989070661744e-07
1860,1.1031013258389066e-07
1861,1.1318312687080834e-07
1862,9.442591419883684e-08
1863,1.0738434497170601e-07
1864,1.3233449180916068e-07
1865,1.515603855750669e-07
1866,1.6202490371597378e-07
1867,1.1404107169710187e-07
1868,9.03996948409258e-08
1869,7.764795384446188e-08
1870,1.2844269292600075e-07
1871,8.178306387662815e-08
1872,1.3666986831140093e-07
1873,9.936767497720211e-08
1874,9.858104732529682e-08
1875,1.0584825105297568e-07
1876,1.5538257969183178e-07
1877,1.261702493593475e-07
1878,1.2621694622794166e-07
1879,1.0630225943941696e-07
1880,8.984984845028521e-08
1881,9.412885049187025e-08
1882,7.91990828474809e-08
1883,1.0553296192483685e-07
1884,1.1751020423389491e-07
1885,1.121540620374617e-07
1886,1.0390076710109497e-07
1887,9.532229938713499e-08
1888,1.0969263541937835e-07
1889,1.372064986071564e-07
1890,1.0290386853739619e-07
1891,9.178877036220001e-08
1892,1.1157951718132608e-07
1893,8.375446469699455e-08
1894,1.1090709506333951e-07
1895,1.3240952512205695e-07
1896,1.4034928597084217e-07
1897,1.1944763400606462e-07
1898,1.4485388533103105e-07
1899,1.2658153991651488e-07
1900,1.3289096045809856e-07
1901,1.5201369762962713e-07
1902,1.1931989263302967e-07
1903,1.1988488779479667e-07
1904,1.0104295711244049e-07
1905,1.2127783577398077e-07
1906,1.1368647534482079e-07
1907,1.0439971731557307e-07
1908,1.1443536607202986e-07
1909,1.0671907801906855e-07
1910,1.1489923679164349e-07
1911,9.736285022654556e-08
1912,1.2919365133257088e-07
