year,avons_VERB uni_VERB,avons_VERB puni_VERB
1800,6.288328968651058e-09,0.0
1801,4.7623651688866175e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,1.950339223455444e-09
1804,7.4155526164076946e-09,0.0
1805,0.0,2.842877711017877e-09
1806,2.881669125542885e-09,1.729001475325731e-08
1807,0.0,1.4234775136401367e-08
1808,0.0,0.0
1809,0.0,9.036122072814123e-09
1810,0.0,0.0
1811,5.0141535368197765e-09,0.0
1812,0.0,2.6672082320544632e-09
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,5.394447111228828e-09,2.1577788444915313e-08
1816,1.1588019432906549e-08,0.0
1817,4.670620334934483e-09,6.227493631882908e-09
1818,1.1921177378582115e-09,0.0
1819,0.0,0.0
1820,1.1866481131050932e-09,9.493184904840746e-09
1821,0.0,1.0847637454958203e-08
1822,2.8071724500478012e-08,2.0051231786055723e-09
1823,1.087095569118901e-08,3.9530747564242574e-09
1824,0.0,4.210556348027694e-09
1825,0.0,3.522177216552791e-09
1826,0.0,1.7615968683770689e-09
1827,1.474763688946723e-08,3.6869092223668076e-09
1828,3.668920500743411e-09,1.6510142586412258e-08
1829,2.571952872898464e-09,2.571952872898464e-09
1830,1.0436835395921662e-08,5.218417697960831e-09
1831,0.0,1.5591206103948707e-09
1832,0.0,1.352996914505411e-08
1833,3.4750886612755494e-09,1.3900354645102198e-08
1834,9.334530925997342e-10,2.8003592777992026e-09
1835,1.5126175867408165e-09,9.075705520444899e-09
1836,2.016224964762614e-09,3.36037508930076e-09
1837,1.2524203896191466e-08,3.478945576063097e-09
1838,0.0,4.418513555037862e-09
1839,0.0,0.0
1840,5.732719632334238e-09,1.9746034141121527e-08
1841,2.5682194149112547e-09,5.778493683550323e-09
1842,2.683306021822318e-09,7.379091560011375e-09
1843,4.134837805480629e-09,1.1223130869097986e-08
1844,1.5916826967554698e-08,3.2931368743049916e-09
1845,1.0602432709561072e-08,7.254296274794569e-09
1846,1.1709002656346001e-08,1.1709002656346001e-09
