year,vieux_ADJ airs_NOUN,vieux_ADJ pères_NOUN
1800,2.2009151834367913e-08,2.829747991484055e-08
1801,1.6668277424969347e-08,2.3811825844433088e-09
1802,4.475680270843441e-09,1.7902721083373763e-08
1803,5.851017803593095e-08,2.5354410126965377e-08
1804,3.213406074564773e-08,1.4831105232815389e-08
1805,1.7057265822018053e-08,0.0
1806,2.0171682990621775e-08,2.305335300434308e-08
1807,5.693910232196231e-09,0.0
1808,6.798221985349073e-09,3.6257183921861724e-08
1809,4.0662548883574345e-08,3.6144488291256494e-08
1810,2.3401266702194334e-08,3.7442028144596406e-08
1811,7.521229861140455e-09,2.5070768572277302e-08
1812,2.6672082320544632e-09,5.3344164641089264e-09
1813,8.627225156487839e-09,2.8757416448144113e-09
1814,9.440030979135372e-09,1.5733385261285093e-08
1815,8.091670444798638e-09,3.506390555685357e-08
1816,3.244645441213834e-08,3.244645441213834e-08
1817,1.71256075987003e-08,6.538868291272593e-08
1818,1.668964877410417e-08,3.695565098382758e-08
1819,1.6561680027393777e-08,4.243930540326346e-08
1820,3.322614716694261e-08,2.1359666035891678e-08
1821,4.2404398215012407e-08,5.0293591513650426e-08
1822,4.0102463572111446e-08,3.909990198280866e-08
1823,8.894418535021487e-09,1.8777104315859106e-08
1824,1.431589158329416e-08,3.536867332343263e-08
1825,1.6730341556581152e-08,1.5849796808353744e-08
1826,2.6423952803611428e-08,3.082794464148719e-08
1827,2.765181922326221e-08,8.295545939063231e-08
1828,1.7427371545863934e-08,4.769596628761974e-08
1829,4.115124596637543e-08,3.1720751358932375e-08
1830,3.235419043789989e-08,2.817945743416317e-08
1831,3.897801548191637e-08,6.392394169552063e-08
1832,4.8707889277466165e-08,5.547287429408243e-08
1833,6.718504863556518e-08,4.2859426230279496e-08
1834,4.0138484536100805e-08,1.6802156110884425e-08
1835,5.445423312266939e-08,4.235329242874286e-08
1836,3.024337402735e-08,3.024337624779605e-08
1837,3.896418832027848e-08,6.470838842531634e-08
1838,1.5149188570262595e-08,3.850418650586107e-08
1839,3.5656523067473245e-08,2.936419651877742e-08
1840,5.987507023519356e-08,2.1656942184034023e-08
1841,8.667740569734406e-08,4.17335659363971e-08
1842,5.500777433553594e-08,3.5553803900967296e-08
1843,3.6622846977252266e-08,2.7171791094904307e-08
1844,4.390849023261367e-08,5.598332553091723e-08
1845,4.464182268293371e-08,4.910600548413413e-08
1846,4.4494210982293225e-08,6.557041487553761e-08
1847,5.716816975365191e-08,2.6426796750911308e-08
1848,4.746680865030939e-08,3.8617064879176155e-08
1849,1.4245005175439474e-08,3.9383248662261394e-08
1850,3.86972773824823e-08,6.788996209650122e-08
1851,3.5471913406581734e-08,5.611011744122152e-08
1852,4.101643469311966e-08,2.799534515318669e-08
1853,7.584353767242646e-08,3.5831591915780336e-08
1854,6.494580873095401e-08,2.1302224428865202e-08
1855,6.580602018857462e-08,1.5920811335945473e-08
1856,3.986435714864456e-08,4.0899796438509384e-08
1857,8.200935042168567e-08,3.661131708909693e-08
1858,9.200110895335456e-08,3.3766365703513657e-08
1859,8.656694916453489e-08,8.453007449560346e-08
1860,8.284703056915532e-08,5.767251742838653e-08
1861,5.659156343540417e-08,4.6688041877018804e-08
1862,6.054101933661293e-08,2.9818709501583385e-08
1863,5.8437063188421234e-08,2.7470414387664732e-08
1864,6.376988181955312e-08,5.4659899717535154e-08
1865,4.8009813014004976e-08,2.965311868274867e-08
1866,8.90407179099384e-08,3.8924904188775145e-08
1867,8.104195359237565e-08,3.202855580752839e-08
1868,5.8290513749170714e-08,4.100095329917508e-08
1869,9.132180878168583e-08,1.8557373193672788e-08
1870,5.6193677266946906e-08,4.6445795653937694e-08
1871,3.9298356568906456e-08,3.292564887402705e-08
1872,5.2007116613239646e-08,3.1446163006876304e-08
1873,5.3874039451784483e-08,3.232442241651867e-08
1874,5.377148326601855e-08,3.883496046963586e-08
1875,4.63443683429432e-08,6.179249112392426e-08
1876,6.711076139254146e-08,2.5997863417615008e-08
1877,9.772008979780367e-08,4.391219254884504e-08
1878,1.2017786316098622e-07,4.046189405748635e-08
1879,6.231511662235789e-08,4.154341048945298e-08
1880,5.455169471701993e-08,3.4656370218044685e-08
1881,9.970685965754456e-08,3.625703803855629e-08
1882,9.517200694197925e-08,4.2594464400025345e-08
1883,6.76169292224138e-08,3.791603531144716e-08
1884,1.2411189942440615e-07,3.9610181801208455e-08
1885,9.346171503388234e-08,3.4161868112114746e-08
1886,1.0002868777725382e-07,2.581385571964745e-08
1887,9.466940931179835e-08,2.9380161414849226e-08
1888,1.1476512651320547e-07,3.550744054336974e-08
1889,1.2217016320814622e-07,4.761503846761883e-08
1890,1.0093755165030416e-07,1.6385966916665495e-08
