year,trois_DET eaux_NOUN,trois_DET pots_NOUN
1800,9.432493897065797e-09,8.174827570428533e-08
1801,8.096020565062645e-08,6.191074675143682e-08
1802,1.1189200677108602e-08,4.923248297927785e-08
1803,2.3404069793286908e-08,3.90067853572873e-08
1804,1.730295728918918e-08,2.7190360185613827e-08
1805,2.842877755426798e-08,3.980028839833949e-08
1806,5.76333825108577e-09,4.8988376022407465e-08
1807,1.9928686256776018e-08,8.54086552593003e-08
1808,2.2660739062985158e-08,2.945896238060186e-08
1809,5.421673421324158e-08,1.8072244145628247e-08
1810,9.594519667643908e-08,6.318342249400644e-08
1811,7.019814773912003e-08,1.0028307073639553e-08
1812,1.600324850414836e-08,2.1337665856435706e-08
1813,3.738464116054274e-08,5.751483289628823e-09
1814,4.090680150170556e-08,1.1013369771717407e-07
1815,3.506390555685357e-08,1.0788894222457657e-08
1816,2.3176038865813098e-09,4.8669683394564345e-08
1817,2.1796227045456362e-08,5.293369653713853e-08
1818,2.6226590676969863e-08,3.814776761146277e-08
1819,1.2421260464634543e-08,1.1386154796788617e-08
1820,3.5599443393152796e-09,4.034603762193001e-08
1821,5.9168927535324656e-09,6.311352507282209e-08
1822,2.7069162911175226e-08,1.0025615893027862e-08
1823,7.609668595254249e-08,2.668325471688604e-08
1824,5.221090049190025e-08,1.2631669044083083e-08
1825,3.874394849390228e-08,4.8429936283511665e-08
1826,2.906634755106552e-08,8.896063974361823e-08
1827,2.949527377893446e-08,3.04170004739035e-08
1828,4.219258542548232e-08,5.319934592851183e-08
1829,2.8291481157793896e-08,4.458051638955851e-08
1830,5.844628248041772e-08,7.723258477199124e-08
1831,4.053713453799901e-08,3.585977470521584e-08
1832,3.111892965534935e-08,6.088486248501113e-08
1833,5.21263281427764e-08,4.170106149281594e-08
1834,3.733812370398937e-09,2.0535967593104942e-08
1835,6.806779140333674e-09,2.7227116561334697e-08
1836,1.6129799718100912e-08,5.1077700624624356e-08
1837,5.5663127440652715e-09,3.478945487245255e-08
