year,anciens_ADJ artisans_NOUN,anciens_ADJ partisans_NOUN
1800,3.144164484325529e-09,3.772997558826319e-08
1801,1.1905912700171939e-08,7.619784270218588e-08
1802,2.2378401354217203e-09,6.489736392722989e-08
1803,3.900678446910888e-09,3.90067853572873e-08
1804,0.0,9.887403784603066e-09
1805,0.0,1.1371511021707192e-07
1806,0.0,5.76333825108577e-09
1807,0.0,5.4092147649953404e-08
1808,0.0,6.571614363792833e-08
1809,0.0,2.3493917922223773e-07
1810,2.3401267590372754e-09,7.956430891908894e-08
1811,0.0,1.2033967777824728e-07
1812,0.0,2.9339290108509886e-08
1813,2.8757416448144113e-09,1.2940837734731758e-07
1814,0.0,9.44003133440674e-08
1815,0.0,3.0478625490104605e-07
1816,3.244645441213834e-08,1.5759707139295642e-07
1817,2.80237220096069e-08,1.2610674104962527e-07
1818,3.5763532135746345e-09,2.1219695156560192e-07
1819,1.035105001712111e-09,7.556266723440785e-08
1820,0.0,1.5545090548130247e-07
1821,0.0,1.8440982785250526e-07
1822,0.0,1.1328945959121484e-07
1823,9.882686891060644e-10,1.680056840314137e-07
1824,0.0,1.6505380528997193e-07
1825,3.522177216552791e-09,2.1573335118318937e-07
1826,0.0,3.056370587728452e-07
1827,0.0,1.1521591147811705e-07
1828,1.0089530988466322e-08,1.8252879385727283e-07
1829,1.714635211591542e-09,1.1059397309054475e-07
1830,1.0436835840010872e-09,1.0645572245948642e-07
1831,1.5591206103948707e-09,1.2784788339104125e-07
1832,0.0,5.682587200794842e-08
1833,0.0,1.2973663388038403e-07
1834,1.4001796166951408e-08,1.0641365122410207e-07
1835,0.0,8.697551123759695e-08
1836,6.720750067579218e-10,1.8414854707771156e-07
1837,6.957890930081589e-10,1.6977253380900947e-07
1838,3.1560809521380406e-09,1.7989661671435897e-07
1839,5.5931801412612e-09,1.9366386538877123e-07
1840,0.0,2.356784847279414e-07
1841,4.494383976094696e-09,1.0208672307499e-07
1842,1.341653010911159e-09,1.2343207345111296e-07
1843,1.4176587015413133e-08,1.4117517821432557e-07
1844,3.2931368743049916e-09,1.6575455674683326e-07
1845,1.1160455892778032e-09,6.807878349945895e-08
1846,1.1709002656346001e-09,1.4109348001056787e-07
1847,5.9325460100012606e-09,1.4831364580913942e-07
1848,4.02261068899179e-09,9.412909207640041e-08
1849,0.0,1.0390474614041523e-07
1850,8.146795238417326e-09,1.0455053711666551e-07
1851,1.2898877521649865e-09,1.0835056940550203e-07
1852,0.0,1.0416872697760482e-07
1853,5.971931837933653e-09,9.077336216023468e-08
1854,0.0,9.923719090920713e-08
1855,3.714855978387277e-09,9.711695270198106e-08
1856,2.5885946719483854e-09,1.1700447544171766e-07
1857,0.0,1.1178655512367186e-07
1858,9.787352039936081e-10,1.458315495028728e-07
1859,0.0,1.273043324090395e-07
1860,0.0,1.1854906034614032e-07
1861,0.0,8.252936822827905e-08
1862,3.6143890103090826e-09,1.3825038536197098e-07
1863,4.994620828036034e-10,6.1433837572622e-08
1864,8.151037178549814e-09,8.630509995555258e-08
1865,3.765475486972036e-09,1.294382201422195e-07
1866,0.0,8.90407179099384e-08
1867,1.164674756637396e-08,8.73506067478047e-08
1868,3.951899252285784e-09,9.978545278954698e-08
1869,1.953407657850903e-09,1.255064461247457e-07
1870,1.548193218070537e-08,1.152543802618311e-07
1871,2.1242354542039266e-09,9.559059321873065e-08
1872,1.8142017887967654e-09,6.833493415570047e-08
