year,nombreux_ADJ artisans_NOUN,nombreux_ADJ partisans_NOUN
1800,0.0,4.338947121595993e-07
1801,0.0,4.4528113107844547e-07
1802,2.2378401354217203e-09,2.304975339484372e-07
1803,0.0,3.8616715869466134e-07
1804,0.0,3.287561867182376e-07
1805,0.0,3.695741099818406e-07
1806,5.76333825108577e-09,4.178420169864694e-07
1807,0.0,5.266866764941369e-07
1808,0.0,3.6257182500776253e-07
1809,6.7770917766551975e-09,3.930713035060762e-07
1810,2.3401267590372754e-09,4.235629376125871e-07
1811,0.0,4.713304235792748e-07
1812,2.6672082320544632e-09,3.5473868820190546e-07
1813,0.0,4.5436718210112303e-07
1814,6.293354282149721e-09,7.646425501661724e-07
1815,0.0,8.8468931380703e-07
1816,4.6352077731626196e-09,3.916750586085982e-07
1817,0.0,7.208323609120271e-07
1818,1.1921177378582115e-09,6.246696671041718e-07
1819,5.175524897538253e-09,5.548162675950152e-07
1820,2.3732962262101864e-09,7.321618795685936e-07
1821,3.94459531705138e-09,7.484869684049045e-07
1822,1.2030739071633434e-08,5.614344900095602e-07
1823,2.9648061783404955e-09,6.265623255785613e-07
1824,3.3684450784221553e-09,6.972681489969546e-07
1825,8.805443485471187e-09,6.65691516132938e-07
1826,9.688783109140786e-09,8.050497513067967e-07
1827,0.0,5.475060333992587e-07
1828,0.0,6.989293410697428e-07
1829,4.286587973467704e-09,4.878137360719847e-07
1830,1.1480519646056564e-08,5.124486506247194e-07
1831,1.5591206103948707e-09,4.864456286668428e-07
1832,1.0823975493678972e-08,4.1807604134191934e-07
1833,8.108539617524002e-09,4.899874852526409e-07
1834,2.8003592777992026e-09,5.20866819897492e-07
1835,7.563087933704082e-10,5.944586973782862e-07
1836,2.688300027031687e-09,6.156207064123009e-07
1837,1.461157062010443e-08,5.942038683315332e-07
1838,7.574594285131298e-09,6.444717541853606e-07
1839,5.5931801412612e-09,6.502071983049973e-07
1840,1.0828470564661075e-08,6.796457796554023e-07
1841,4.494383976094696e-09,6.34992261439038e-07
1842,1.9453969102301016e-08,8.036501526476059e-07
1843,6.497602011990011e-09,7.271407298503618e-07
1844,7.683985892015244e-09,8.518247227584652e-07
1845,5.022205318283568e-09,6.188472525536781e-07
1846,6.439951683034906e-09,6.469223876592878e-07
1847,4.314578916364553e-09,6.951865429982718e-07
1848,1.045878850192139e-08,6.774076837245957e-07
1849,8.379414939696517e-10,5.723140361624246e-07
1850,2.7155984128057753e-09,6.768628963982337e-07
1851,9.029214709244116e-09,5.256292752164882e-07
1852,1.3021090872200602e-09,4.7331664632110915e-07
1853,1.1943863675867306e-08,5.368766551328008e-07
