year,ces_DET airs_NOUN,ces_DET paires_NOUN
1800,4.181738866293472e-07,3.458580977167003e-08
1801,4.238504889286787e-07,9.524730160137551e-08
1802,3.6700578220916213e-07,2.0140561218795483e-08
1803,4.0567054426787763e-07,7.801356893821776e-09
1804,7.786330371573058e-07,2.9662210465630778e-08
1805,6.02690079176682e-07,2.1890159018767008e-07
1806,7.405889590472725e-07,2.305335300434308e-08
1807,3.3024679169102455e-07,5.693910232196231e-09
1808,3.3991110370834576e-07,4.5321479902327155e-09
1809,3.998484032763372e-07,1.581321384946932e-08
1810,4.5632472378542843e-07,4.680253518074551e-08
1811,4.061464267124393e-07,4.011322829455821e-08
1812,6.027890364634914e-07,3.200649700829672e-08
1813,6.039057396378666e-07,4.026038169513413e-08
1814,7.457624633389059e-07,0.0
1815,2.643279088943018e-07,0.0
1816,3.036061109185084e-07,6.952811659743929e-09
1817,4.110145797042719e-07,0.0
1818,3.9339886015454795e-07,3.099506074022429e-08
1819,4.5958660876976865e-07,1.449147024601416e-08
1820,5.541646501683317e-07,3.5599443393152796e-09
1821,5.216727174683911e-07,3.8459806006585495e-08
1822,4.4513735986129177e-07,4.3110148340019805e-08
1823,3.014219576158439e-07,2.6683254050752225e-08
1824,3.7558162802042716e-07,1.7684335773537896e-08
1825,5.151184421237076e-07,9.421824098687637e-08
1826,3.8138572833190665e-07,1.5854371038237502e-08
1827,2.7283126868837826e-07,2.949527377893446e-08
1828,3.6689204740980585e-07,5.319934714975716e-08
1829,3.7379047057584103e-07,7.45866282625407e-08
1830,5.89681221185856e-07,6.366469595953106e-08
1831,2.806417143119688e-07,4.5214498811674275e-08
1832,4.4784197683611637e-07,5.411987746839486e-09
1833,5.965568661281395e-07,4.7492876520394134e-08
1834,3.2857548859510644e-07,3.173740381612333e-08
1835,4.363901808801529e-07,4.0084366048631637e-08
1836,3.790502951517283e-07,1.6801875224459195e-08
1837,2.845777480331435e-07,4.0355766728339404e-08
1838,3.1118958787601514e-07,2.7773511712680943e-08
1839,4.1809022022221143e-07,3.915226276518524e-08
1840,3.40141363963653e-07,6.178597966588484e-08
1841,3.6918153512033314e-07,4.687000565439803e-08
1842,3.481589700982113e-07,4.293289634915709e-08
1843,3.691819294715515e-07,1.4176587015413133e-08
1844,3.9956725217393796e-07,4.335963410539989e-08
1845,3.7499130378648715e-07,4.352577964716886e-08
1846,3.4424467898475086e-07,4.0981508409032585e-08
1847,2.998632275819091e-07,4.422443211637983e-08
1848,3.041093847855336e-07,4.505324113779352e-08
1849,3.578010066007664e-07,2.8490010350878947e-08
1850,2.966791328162799e-07,3.6660579461056386e-08
1851,2.7281125092315506e-07,3.224719424821387e-08
