year,mes_DET yeux_NOUN,mes_DET pieux_NOUN
1800,1.3975810929878207e-05,1.5720821977538435e-08
1801,1.8685139707486087e-05,0.0
1802,1.2914575222566782e-05,1.5664880947952042e-08
1803,1.3829855674885039e-05,0.0
1804,1.7260935237572994e-05,2.7190360185613827e-08
1805,1.553064100789925e-05,0.0
1806,1.152955860561633e-05,3.458002950651462e-08
1807,1.1683903608172841e-05,0.0
1808,1.2961943184564007e-05,6.798221985349073e-09
1809,1.1480393197871308e-05,2.25903047379461e-08
1810,1.8075139678330743e-05,9.360507036149102e-09
1811,1.3091954542687745e-05,1.7549536934780008e-08
1812,1.0132724298728135e-05,0.0
1813,1.6345716119303688e-05,2.8757416448144113e-09
1814,1.07679288134932e-05,3.1466771410748606e-09
1815,9.715398959997401e-06,8.091670444798638e-09
1816,1.0607673061713285e-05,1.3905623319487859e-08
1817,1.6314476170009584e-05,1.71256075987003e-08
1818,1.4174280011047813e-05,0.0
1819,1.4032918215889367e-05,9.315945348475907e-09
1820,1.7069932596314175e-05,2.3732962262101864e-09
1821,1.7330580476482282e-05,8.875339574387908e-09
1822,1.5445463645846758e-05,6.015369535816717e-09
1823,1.5090863030309265e-05,1.680056804787e-08
1824,1.5228740267048124e-05,9.263223965660927e-09
1825,1.3639631163187005e-05,2.0252519661312363e-08
1826,1.167586361816575e-05,5.284790383086602e-09
1827,1.020444301502721e-05,4.608636583469661e-09
1828,1.2153298996508966e-05,2.384798314380987e-08
1829,1.1007958050868183e-05,1.800366966620004e-08
1830,1.5031131056275626e-05,5.218417697960831e-09
1831,1.3179246650452114e-05,1.5591206103948707e-09
1832,1.5766473325129482e-05,1.8941957335982806e-08
1833,1.5020490991446422e-05,6.950177322551099e-09
1834,1.2445730021681811e-05,5.600718555598405e-09
1835,1.3130276784067973e-05,3.781543966852041e-09
1836,1.222773312292702e-05,6.72075017860152e-09
1837,1.1207075317543058e-05,8.349469338142512e-09
1838,1.1086681013239286e-05,4.418513555037862e-09
1839,1.094934947332149e-05,1.3283802502428443e-08
1840,1.0147551307682079e-05,1.0191501864653674e-08
1841,1.1194868307029537e-05,9.630822361827995e-09
1842,1.1515407436490932e-05,6.037438549100216e-09
1843,1.0542654848677557e-05,7.678984559333912e-09
1844,9.952957299219634e-06,1.6465684371524958e-09
1845,9.688950143527109e-06,6.696273757711424e-09
1846,9.883568736768211e-06,1.8148954339380907e-08
1847,8.564438758185133e-06,8.089835468183537e-09
1848,9.915735404320003e-06,5.63165514222419e-09
1849,1.1230091985225954e-05,4.1897072478036534e-09
1850,1.0440797353794551e-05,3.394498016007219e-09
1851,8.94666169415359e-06,8.384270167027807e-09
1852,1.0207884599822137e-05,7.812654523320361e-09
1853,1.029561013865532e-05,9.555090496604635e-09
1854,1.1241339905154746e-05,1.558699391779328e-09
1855,1.182014119649466e-05,1.5920811335945473e-09
1856,1.0959592202652857e-05,6.212626857404757e-09
1857,1.2516188860445254e-05,3.905207268672939e-09
1858,1.1976783127920498e-05,1.6149130033227266e-08
1859,1.1636634098977083e-05,3.055304009791371e-09
1860,1.3280698681228387e-05,1.2816115363412095e-08
1861,1.2286028606922628e-05,4.715963619617014e-09
1862,1.3328059765171929e-05,8.132375661773494e-09
1863,1.2253802651684964e-05,5.9935452156878455e-09
1864,1.2301833464789524e-05,8.151037178549814e-09
1865,1.1884782395554794e-05,8.001635798393636e-09
1866,1.0639635320330854e-05,2.919367858567057e-09
1867,1.0304460005272631e-05,9.7056229719783e-09
1868,1.0180586286878679e-05,3.951899252285784e-09
1869,1.174681653992593e-05,3.906815315701806e-09
1870,1.0306379408575594e-05,2.8670243956696595e-09
1871,9.907434389333503e-06,1.0621177493064238e-08
1872,9.98597096213416e-06,4.8378714367913744e-09
1873,9.599156811646026e-06,5.9860045809045914e-09
1874,9.525319285330625e-06,6.572069999322139e-09
1875,1.1034537067189376e-05,1.1443054281912168e-09
1876,9.89914045135265e-06,1.813804439976252e-09
1877,1.1383154060240486e-05,2.4739263970730008e-09
1878,8.4619708786704e-06,1.8117265465633636e-09
1879,8.705788218321686e-06,6.10932526790009e-10
1880,8.999745915616586e-06,1.9253538763308597e-09
1881,9.18348968070859e-06,4.880755244407453e-09
1882,8.80307820239068e-06,2.6621540527571597e-09
1883,8.362381578308486e-06,0.0
1884,8.215812073331108e-06,5.941527270181268e-09
1885,6.788543686297999e-06,3.86738152613475e-09
1886,7.86677233577393e-06,2.5813855497602844e-09
1887,7.745916036583367e-06,1.9586774424595887e-09
1888,7.3145330929946795e-06,5.07249175996094e-09
1889,7.63908127510149e-06,1.8795409673089125e-09
1890,6.899147194872057e-06,6.554386366985909e-09
1891,7.355849987789043e-06,4.46195413950079e-09
1892,7.3680095908912335e-06,5.641661138255927e-09
1893,6.9466939578433085e-06,1.2316833108982905e-09
1894,7.271345964454667e-06,6.301539290376468e-10
1895,7.390256712369592e-06,8.426059849853118e-09
1896,7.37600393563298e-06,3.5382172747233653e-09
1897,6.913395793617383e-06,3.4960281336537946e-09
1898,6.723257200746957e-06,1.6975064687230201e-09
1899,7.186404843650962e-06,1.6582735185011188e-09
1900,7.016227300482569e-06,2.07642125715779e-09
1901,6.199587915034499e-06,0.0
1902,5.683653427013269e-06,3.437198747846537e-09
1903,6.321498034367323e-06,1.6200660812870638e-09
1904,6.116860816973713e-06,3.2247751136083025e-09
1905,6.651186254202912e-06,4.1286072338664326e-09
1906,6.6406280154751585e-06,3.0865106026567446e-09
1907,6.609582442251849e-06,2.5714217422034835e-09
1908,6.807676470543811e-06,9.822778146428846e-10
1909,7.284402528284772e-06,2.7504918342913243e-09
1910,7.614345918227627e-06,3.740905363258662e-09
1911,7.649101917195367e-06,2.6601871816467337e-09
1912,7.912068895166158e-06,1.5628263128064646e-09
1913,7.967742135406297e-06,2.6514948014977335e-09
1914,7.080467327114093e-06,3.3483718020477227e-09
1915,6.2167081011921255e-06,1.1780761921542648e-09
1916,7.178108944572159e-06,0.0
1917,7.728039179255575e-06,0.0
1918,7.680939859255886e-06,0.0
1919,8.688526008882036e-06,9.207848372660976e-10
1920,7.679757288769906e-06,0.0
