year,autres_ADJ arts_NOUN,autres_ADJ parts_NOUN
1800,1.1790616412099553e-06,7.545995117652637e-08
1801,1.1715417755908675e-06,4.0480102825313224e-08
1802,1.4456447843258502e-06,9.175144555229053e-08
1803,1.4510523511646056e-06,9.361627917314763e-08
1804,1.3644616831953726e-06,2.793191526961891e-07
1805,1.3162523320175978e-06,1.506725197941705e-07
1806,1.7952798190279395e-06,1.2391177506287931e-07
1807,1.3579975757238572e-06,3.1031811431603273e-07
1808,1.1806245985290786e-06,1.0877155176558517e-07
1809,1.267316122266493e-06,1.4909601020463015e-07
1810,1.0951793143476607e-06,8.89248141788812e-08
1811,9.426608720275453e-07,9.025476543911282e-08
1812,7.92160854246049e-07,7.468182872116813e-08
1813,1.167551123559818e-06,9.202373263406116e-08
1814,7.111490525346653e-07,5.349351184236184e-08
1815,9.440282324746363e-07,5.664169577812572e-08
1816,1.0823209795063349e-06,5.7940098940889584e-08
1817,9.528065119113194e-07,1.4167548556542897e-07
1818,8.011031029653282e-07,9.298518222067287e-08
1819,8.932956419016591e-07,1.0454560595007933e-07
1820,8.199738203984452e-07,1.1985146386450651e-07
1821,9.338829189964315e-07,1.4989461760706035e-07
1822,1.0155949468071412e-06,8.521773509073682e-08
1823,1.038670390585139e-06,1.7986489808663464e-07
1824,9.33059276064796e-07,8.757957203897604e-08
1825,8.048175166308624e-07,7.396572243578703e-08
1826,1.1785083608994995e-06,1.0129181760021311e-07
1827,9.106665839198058e-07,1.3365045958835253e-07
1828,5.723515812405822e-07,1.0823315221841767e-07
1829,1.018493314575153e-06,1.6374765721138829e-07
1830,7.211853401134505e-07,7.514521627172144e-08
1831,5.690790239043508e-07,1.7929886553247343e-07
1832,1.500473564064464e-06,1.0688675899928057e-07
1833,8.490799814353522e-07,1.042526562855528e-07
1834,7.822337124707701e-07,1.0548019702127931e-07
1835,7.169807147988649e-07,1.1495893659230205e-07
1836,7.701979796159719e-07,7.392824841190304e-08
1837,7.938953672237403e-07,5.914207434898344e-08
1838,6.419468800977768e-07,1.009945904684173e-07
1839,6.711815903059914e-07,8.669429263363782e-08
1840,8.974891443358501e-07,1.044628916702095e-07
1841,7.268061033016693e-07,5.585877360658742e-08
1842,7.151010565920046e-07,1.0330727917562399e-07
1843,8.777669622261897e-07,6.497602100807853e-08
1844,5.889226031285943e-07,6.970472554712615e-08
1845,7.88486195280047e-07,1.0993048960017404e-07
1846,8.172883865231739e-07,5.327596142024049e-08
1847,5.921759553828565e-07,8.844887133818702e-08
1848,7.055659239085799e-07,1.2711450381175382e-07
1849,4.172948635527973e-07,5.9493846293889874e-08
1850,6.476702196778206e-07,6.517436190733861e-08
1851,6.255955879996833e-07,1.3479326810283965e-07
1852,1.0254109383822652e-06,1.4127883218861825e-07
1853,5.219468448558473e-07,7.1663180278847e-08
1854,5.813948740218677e-07,1.0339372380485656e-07
1855,7.997554156702336e-07,4.988520885262915e-08
1856,6.849421083643392e-07,8.335274515047786e-08
1857,6.716956666430463e-07,6.638852312335075e-08
1858,5.55921614076027e-07,1.1353328233099091e-07
1859,5.835630898509692e-07,4.277425702525761e-08
