year,ses_DET anneaux_NOUN,ses_DET panneaux_NOUN
1800,3.6472307485269084e-07,2.829748035892976e-08
1801,3.0241018578180956e-07,2.6193008650921e-08
1802,3.5581658153205353e-07,1.5664880947952042e-08
1803,7.723343458110321e-07,3.120542824142092e-08
1804,2.9909395493632474e-07,1.730295728918918e-08
1805,4.1221727542506414e-07,0.0
1806,2.0171684411707247e-07,0.0
1807,1.366538526781369e-07,8.540865792383556e-09
1808,2.1980917441766223e-07,1.1330369531492579e-08
1809,3.6596293284674175e-07,3.388545621874073e-08
1810,1.0296557917399696e-07,2.106114038724627e-08
1811,1.830166027616542e-07,1.7549536934780008e-08
1812,1.3069320914382843e-07,7.20146218213813e-08
1813,1.552900528167811e-07,1.7254450312975678e-08
1814,2.6746755166229264e-07,1.2586708564299443e-08
1815,1.1867783866748027e-07,0.0
1816,4.194862963657897e-07,1.8540831092650478e-08
1817,4.032302172163327e-07,1.71256075987003e-08
1818,2.0742848505506117e-07,7.152706427149269e-09
1819,1.3352854577597384e-07,4.140420006848444e-09
1820,7.238553756394595e-08,2.254631326081835e-08
1821,1.7849294109417713e-07,1.676452932031225e-08
1822,1.954995099140433e-07,1.4035862250239006e-08
1823,1.1266262855968989e-07,1.2847492847356534e-08
1824,2.0210670914622142e-07,1.1789557774477544e-08
1825,1.8227267073456233e-07,1.1447076175841175e-08
1826,1.9641805737435902e-07,9.688783109140786e-09
1827,2.4333601444936903e-07,1.013900075008678e-08
1828,1.7885986736132509e-07,4.586150481600271e-08
1829,1.748927964673186e-07,1.8860987438529264e-08
1830,2.442219582121652e-07,1.7742621594152297e-08
1831,2.3854545871948574e-07,1.870944643656003e-08
1832,4.776079087775997e-07,1.6235963684607668e-08
1833,2.791654349909578e-07,5.560141858040879e-08
1834,2.7350174924833937e-07,1.213489042584115e-08
1835,2.730274744067174e-07,4.0084366048631637e-08
1836,2.7219039111514576e-07,3.2259599436201825e-08
1837,2.2056513948598422e-07,3.1310509740478665e-08
1838,2.0640769737845233e-07,1.7674052665839213e-08
1839,1.6639710809229769e-07,1.747868738632974e-08
1840,2.484178533990189e-07,3.630722389402763e-08
1841,2.1316220788492046e-07,2.760835826620678e-08
1842,1.7106076333206488e-07,3.6895457355967665e-08
1843,2.2741607730303315e-07,3.071593823733565e-08
1844,1.8002480528522824e-07,4.116421026267858e-08
1845,1.8582159616586935e-07,6.249855433182461e-08
1846,2.4413270560685874e-07,6.674131403094918e-08
1847,1.6880789477369262e-07,2.9662730050006303e-08
1848,1.6975418359876926e-07,5.551202875153649e-08
1849,1.8937478474256864e-07,4.8600607982507427e-08
1850,2.3150476380351392e-07,2.7834882843080777e-08
1851,1.954179964513969e-07,4.3856185127921776e-08
1852,5.377710650122935e-07,4.492276306500287e-08
1853,2.0483726359543653e-07,2.5082113941365947e-08
1854,1.8756348252324528e-07,2.0782657372819813e-08
1855,1.777823932513911e-07,1.0083180157494098e-07
1856,2.0553441415493978e-07,4.866557778981928e-08
1857,2.543266277577061e-07,3.3194261561675376e-08
1858,2.2266225530032102e-07,3.572383538985591e-08
1859,2.61228492393073e-07,4.582955881460293e-08
1860,3.0529817252045177e-07,4.668727626722102e-08
1861,2.145763522420907e-07,4.763123434559091e-08
1862,2.2815829980871172e-07,3.749928745300224e-08
1863,1.743122703956601e-07,3.146611149418277e-08
1864,1.9754278635097933e-07,4.267307929239905e-08
1865,1.7132913576745068e-07,5.2716656151474695e-08
1866,2.1943913930400072e-07,7.152451075853605e-08
1867,2.654488007181044e-07,6.551295506085353e-08
1868,1.936430620297358e-07,3.4579116792166076e-08
1869,2.436875983224951e-07,6.348574910219895e-08
1870,1.7316827793933953e-07,5.2753249324410945e-08
1871,1.4657224145508962e-07,3.9298356568906456e-08
1872,1.983527262439111e-07,5.7449723089852966e-08
1873,2.1130595673213293e-07,4.6092235805872406e-08
1874,2.5093357169936326e-07,7.408515151352546e-08
1875,1.7908379845721356e-07,4.9777287181029806e-08
1876,2.0979670978249487e-07,6.046014711102998e-08
1877,2.22653381953819e-07,9.277224166659437e-08
1878,1.696983971122279e-07,7.790424116915773e-08
1879,2.462058112939758e-07,6.964630550054807e-08
1880,2.2526640641729045e-07,4.620849325398524e-08
1881,2.6565252486676627e-07,5.0899306103247e-08
1882,2.1896217239358862e-07,5.790185042542362e-08
1883,1.9842724974239445e-07,6.635305843660788e-08
1884,2.6076701953314796e-07,7.195849782704045e-08
1885,2.5847000184597846e-07,5.414333881237354e-08
1886,2.671734025128103e-07,8.776710958002809e-08
1887,1.9325616840148996e-07,6.267767738155072e-08
1888,1.6866034968643362e-07,7.16489472196713e-08
1889,2.0674951528576457e-07,5.8892286047829145e-08
1890,1.795901845014214e-07,8.455158556630593e-08
1891,1.8995175343761161e-07,5.099375977035692e-08
1892,2.3005440574763725e-07,6.895363879877436e-08
1893,1.866000192141115e-07,5.9120797590850316e-08
1894,2.1677295025668286e-07,6.9947086567268e-08
1895,2.0403103828670055e-07,6.138986541337488e-08
1896,2.0226809560597303e-07,5.543207071134759e-08
1897,1.9577757282007724e-07,6.118049089565147e-08
1898,1.952132435700804e-07,6.790025963709923e-08
