year,gros_ADJ anneaux_NOUN,gros_ADJ panneaux_NOUN
1800,3.772997558826319e-08,0.0
1801,1.1905913055443307e-07,0.0
1802,5.594600338554301e-08,0.0
1803,6.436119548425268e-08,0.0
1804,4.69651695311768e-08,0.0
1805,3.695740957709859e-08,0.0
1806,2.5935023018064385e-08,0.0
1807,3.9857372513552036e-08,0.0
1808,2.039466551195801e-08,0.0
1809,6.325285539787728e-08,0.0
1810,4.914266327205041e-08,0.0
1811,5.0141537144554604e-08,0.0
1812,3.200649700829672e-08,0.0
1813,3.163315653864629e-08,0.0
1814,7.552024783308298e-08,0.0
1815,4.045835311217161e-08,0.0
1816,6.257530316133852e-08,0.0
1817,5.1376822796100896e-08,0.0
1818,1.3113295338484932e-08,0.0
1819,2.4842520929269085e-08,0.0
1820,7.001224133773576e-08,0.0
1821,4.930744168518686e-08,0.0
1822,2.5064039732569654e-08,0.0
1823,5.336650943377208e-08,0.0
1824,9.179012749882531e-08,0.0
1825,4.754939197937347e-08,0.0
1826,3.963592831723872e-08,0.0
1827,3.2260455640198415e-08,0.0
1828,2.2013523448549677e-08,0.0
1829,7.715858174606183e-09,0.0
1830,5.114049628218709e-08,0.0
1831,3.741889287312006e-08,0.0
1832,4.058990654698391e-08,0.0
1833,5.21263281427764e-08,0.0
1834,8.401077877806529e-08,0.0
1835,8.092504089063368e-08,0.0
1836,4.099657502365517e-08,0.0
1837,7.166627824517491e-08,0.0
1838,4.86036455527028e-08,0.0
1839,5.173691519644308e-08,0.0
1840,4.713569623504554e-08,0.0
1841,4.365973182984817e-08,0.0
1842,5.500777433553594e-08,0.0
1843,3.5441466650354414e-08,0.0
1844,2.9638231424655714e-08,0.0
1845,3.4039391749729475e-08,0.0
1846,6.030136034951283e-08,0.0
1847,4.2067142658197554e-08,0.0
1848,4.183515400768556e-08,0.0
1849,3.77073661184113e-08,0.0
1850,1.8330290174617403e-08,0.0
1851,3.9341575330809064e-08,0.0
1852,2.7344290387532055e-08,0.0
1853,4.598387448595531e-08,0.0
1854,4.520228102933288e-08,0.0
1855,2.7065379271107304e-08,0.0
1856,2.9509978460851016e-08,0.0
1857,2.6848299583548396e-08,0.0
1858,4.0128142586581816e-08,0.0
1859,5.855999418713509e-08,0.0
1860,3.3413442679375294e-08,0.0
1861,1.7920662287451705e-08,0.0
1862,3.298130124562704e-08,0.0
1863,3.5461809488879226e-08,0.0
1864,3.835782536043553e-08,0.0
1865,3.4830648587558244e-08,0.0
