year,aurions_VERB assez_ADV,aurions_VERB passé_VERB
1800,9.432493897065797e-09,3.144164484325529e-09
1801,1.1905912700171939e-08,3.333655484993869e-08
1802,6.713520406265161e-09,2.9091921760482364e-08
1803,3.900678446910888e-09,1.5602713787643552e-08
1804,0.0,3.707776485839531e-08
1805,1.7057265822018053e-08,6.822906328807221e-08
1806,0.0,1.152667650217154e-08
1807,0.0,3.131650672116848e-08
1808,2.2660739951163578e-09,6.798221985349073e-09
1809,2.259030518203531e-09,3.162642769893864e-08
1810,2.3401267590372754e-09,3.042164919975221e-08
1811,7.521229861140455e-09,1.7549536934780008e-08
1812,0.0,2.1337665856435706e-08
1813,0.0,3.738464116054274e-08
1814,3.4613449884091096e-08,1.2586708564299443e-08
1815,1.0788894222457657e-08,0.0
1816,6.952811659743929e-09,1.622322720606917e-08
1817,1.401186100480345e-08,2.0239355080775567e-08
1818,2.6226590676969863e-08,3.9339884239097955e-08
1819,1.0351049795076506e-08,1.9666995143552413e-08
1820,1.542642635854463e-08,2.8479554714522237e-08
1821,9.861488514673056e-09,2.1695274909916407e-08
1822,5.012807946513931e-09,8.02049271442229e-09
1823,9.882686891060644e-10,3.360113609574e-08
1824,1.1789557774477544e-08,8.421112696055388e-09
1825,1.6730341556581152e-08,2.8177417732422327e-08
1826,1.6735169694470642e-08,3.170874407487645e-08
1827,3.502563927781921e-08,2.7651818612639545e-08
1828,6.420610709767516e-09,2.0179061976932644e-08
1829,8.573175946935407e-09,1.2002446148073886e-08
1830,1.1480519646056564e-08,3.1310506187764986e-08
1831,1.7150327380477393e-08,1.7150327380477393e-08
1832,1.352996914505411e-08,1.352996914505411e-08
1833,2.20088942626262e-08,4.865124125785769e-08
1834,1.4001796166951408e-08,2.42697808516823e-08
1835,4.5378527602224494e-09,3.857174846189082e-08
1836,9.409050427677812e-09,2.2178475944656384e-08
1837,9.045257876039159e-09,1.948209416013924e-08
1838,9.468243078458727e-09,4.039783618736692e-08
1839,3.2859933440931854e-08,2.23727205650448e-08
1840,1.9746034141121527e-08,1.52872523528913e-08
1841,1.926164472365599e-08,2.3756030032018316e-08
1842,1.341653010911159e-08,2.884553929050071e-08
1843,7.678984559333912e-09,2.4218335781256428e-08
1844,8.781698035420504e-09,1.866110821424627e-08
1845,7.254296274794569e-09,1.4508592549589139e-08
1846,9.952652035849496e-09,3.2785209214125643e-08
1847,8.089835468183537e-09,2.3730184040005042e-08
1848,3.218088684420195e-09,2.654923214606697e-08
1849,1.508294644736452e-08,5.865590679832167e-09
1850,1.4935791270431764e-08,1.3577992064028876e-08
1851,1.7413483988093503e-08,1.7413483988093503e-08
1852,1.9531636308300904e-09,1.4323200403509873e-08
1853,1.7318601663873778e-08,1.2541057081705276e-08
1854,4.312401458150816e-08,2.4939190268469247e-08
1855,1.9104973603134567e-08,1.4328730202350926e-08
1856,1.6049286344355096e-08,3.36517302912398e-08
