year,seuls_ADJ artisans_NOUN,seuls_ADJ partisans_NOUN
1800,1.8864987794131594e-08,4.4018303668735825e-08
1801,0.0,3.333655484993869e-08
1802,0.0,0.0
1803,0.0,4.095712213825209e-08
1804,9.887403784603066e-09,4.943701892301533e-09
1805,0.0,1.7057265822018053e-08
1806,0.0,8.645007376628655e-09
1807,5.124519120158766e-08,0.0
1808,0.0,2.2660739951163578e-09
1809,0.0,4.518061036407062e-09
1810,0.0,0.0
1811,0.0,5.0141535368197765e-09
1812,3.467370746079723e-08,2.6672082320544632e-09
1813,2.0130190847567064e-08,0.0
1814,0.0,5.349351184236184e-08
1815,2.697223555614414e-09,2.6972236000233352e-08
1816,0.0,9.270415546325239e-09
1817,1.2454987263765815e-08,4.3592454090912724e-08
1818,0.0,2.6226590676969863e-08
1819,2.173720581311045e-08,3.726378139390363e-08
1820,2.3732962262101864e-08,2.8479554714522237e-08
1821,2.070912508145284e-08,3.254291058851777e-08
1822,1.5038423839541792e-08,7.017931125119503e-09
1823,0.0,8.894418535021487e-09
1824,0.0,3.9579230559638745e-08
1825,1.8491430608946757e-08,1.1447076175841175e-08
1826,2.642395191543301e-09,1.2331177856594877e-08
1827,9.217273055917019e-10,4.608636583469661e-09
1828,9.172301140836225e-09,4.769596628761974e-08
1829,1.2859763920403111e-08,3.257806824308318e-08
1830,1.1480519646056564e-08,1.982998831806526e-08
1831,3.1182412207897414e-09,1.7150327380477393e-08
1832,1.3529969367098715e-09,1.2176972319366541e-08
1833,1.1583628278799551e-08,5.791814139399776e-09
1834,3.733812370398937e-09,1.6802156110884425e-08
1835,1.739510224751939e-08,1.5126175867408165e-08
1836,1.5457725766054864e-08,2.2178475944656384e-08
1837,3.478945576063097e-09,8.349468672008697e-09
1838,1.5780404538645598e-08,1.5149188570262595e-08
1839,4.194885327990505e-09,6.292327547896548e-09
1840,5.732719632334238e-09,2.4841785517537573e-08
1841,1.1556987367100646e-08,1.3483152372373297e-08
1842,3.3541325272778977e-09,2.2808102073668124e-08
1843,5.906911071384968e-10,1.4767278067040479e-08
1844,2.360081374774836e-08,1.4819115712327857e-08
1845,5.580227946389016e-10,9.48638767539478e-09
1846,2.9272506640865004e-09,1.1709002656346001e-08
1847,6.47186837454683e-09,1.0247124926365814e-08
1848,1.6090443422100975e-09,1.609044275596716e-08
1849,8.379414495607307e-09,5.865590679832167e-09
1850,1.0183494048021657e-08,4.073397619208663e-09
1851,3.2247193804124663e-09,8.384270167027807e-09
1852,5.859490670445666e-09,1.1067927019325907e-08
1853,2.9859659189668264e-09,1.7318601663873778e-08
1854,2.0782657816909023e-09,1.558699302961486e-08
1855,9.552486801567284e-09,1.1144567935161831e-08
1856,1.7602443946884705e-08,1.0872097000458325e-08
1857,1.4644527812635033e-09,2.5871997877402464e-08
1858,8.808616946964776e-09,3.229826006645453e-08
1859,3.5645213447565993e-09,9.165912473463322e-09
1860,1.5104706818647173e-08,1.0069804545764782e-08
1861,1.8863854922557266e-09,4.715963619617014e-09
1862,9.035972525772706e-10,2.2138133104476765e-08
1863,3.995696662428827e-09,1.8480097452311384e-08
1864,7.1920918109924514e-09,1.3904711160250827e-08
1865,5.6482134525026595e-09,1.5061901947888146e-08
1866,4.379051787850585e-09,7.298419202328432e-09
1867,5.82337378318698e-09,7.279217228983725e-09
1868,1.975949626142892e-09,1.975949714960734e-08
1869,3.4184632902167778e-09,1.4162205630441349e-08
1870,5.734048791339319e-10,2.5803219116937726e-08
1871,3.18635318130589e-09,2.549082545044712e-08
1872,1.5723081503438152e-08,2.8422494580127022e-08
1873,7.781805422268917e-09,2.3944017879529156e-09
1874,2.3898436563030145e-09,7.169530746864439e-09
1875,4.577221712764867e-09,1.830888685105947e-08
1876,1.5719638923883394e-08,2.2974855795609983e-08
1877,1.0514186854493346e-08,1.6699003069220453e-08
1878,3.6234530931267273e-09,2.113680963589104e-08
1879,1.2829582729523281e-08,2.3215436684154156e-08
1880,6.417846254436199e-09,1.9895322722618403e-08
1881,5.5780060570498335e-09,1.673401861523871e-08
1882,9.317538740560849e-09,7.986462158271479e-09
1883,5.687405213450347e-09,1.516641390253426e-08
1884,1.1883054540362536e-08,1.1222884843675729e-08
1885,5.156508553483263e-09,1.0313017106966527e-08
1886,9.680196200179125e-09,1.1616235084943582e-08
1887,3.9173548849191775e-09,1.5016526688782506e-08
1888,9.510921827882157e-09,5.07249175996094e-09
1889,8.14467782106476e-09,1.2530273707511697e-08
1890,1.2453334363726754e-08,1.0487018364813139e-08
1891,6.3742202627281586e-09,1.7210394887001712e-08
1892,6.8953633913793055e-09,4.387958441043338e-09
1893,0.0,1.0469308087124318e-08
1894,1.071261657159539e-08,1.6384001710889606e-08
1895,4.814891596538473e-09,9.027921521465032e-09
1896,7.076434549446731e-09,1.4152869098893461e-08
