year,veux_VERB unir_VERB,veux_VERB punir_VERB
1800,1.2576657937302116e-08,2.5153315874604232e-08
1801,2.3811825844433088e-09,6.905429472681135e-08
1802,0.0,6.713520406265161e-09
1803,1.5602713787643552e-08,2.3404069793286908e-08
1804,0.0,9.145848167690929e-08
1805,0.0,5.685755510853596e-08
1806,2.881669125542885e-09,8.645007376628655e-09
1807,0.0,4.839823830593559e-08
1808,1.1330369531492579e-08,7.704651494577774e-08
1809,2.259030518203531e-09,2.4849335034105025e-08
1810,0.0,6.552355102940055e-08
1811,2.5070767684098882e-09,1.504245972228091e-08
1812,0.0,1.8670457180292033e-08
1813,0.0,3.163315653864629e-08
1814,1.8880061958270744e-08,2.2026739543434815e-08
1815,0.0,1.0788894222457657e-08
1816,0.0,2.0858434979231788e-08
1817,9.341240669868967e-09,5.293369653713853e-08
1818,0.0,3.337929754820834e-08
1819,0.0,1.2421260464634543e-08
1820,0.0,4.034603762193001e-08
1821,2.9584463767662328e-09,3.747365440176509e-08
1822,0.0,5.9151133768864383e-08
1823,2.9648061783404955e-09,4.743689885344793e-08
1824,3.3684450784221553e-09,6.06320114115988e-08
1825,1.7610886082763955e-09,5.547429182684027e-08
1826,8.807984341885344e-10,1.3211976401805714e-08
1827,0.0,3.041700225026034e-08
1828,0.0,1.4675682002973645e-08
1829,8.57317605795771e-10,1.7146351893870815e-08
1830,2.0873671680021744e-09,1.5655253093882493e-08
1831,0.0,1.2472964883158966e-08
1832,2.705993873419743e-09,1.2176972319366541e-08
1833,1.1583628500844156e-09,5.791814139399776e-09
1834,0.0,2.14694217959277e-08
1835,9.832014313815307e-09,3.327758690829796e-08
1836,0.0,2.1506400216253496e-08
1837,1.3915781860163179e-09,1.87863058442872e-08
1838,1.2624323808552163e-09,1.9567702125300457e-08
1839,0.0,1.3982949909063791e-08
1840,1.1465439264668476e-08,1.2102408852854296e-08
1841,3.852329122366882e-09,1.733548060656176e-08
1842,1.341653010911159e-09,6.037438549100216e-09
1843,5.906911071384968e-10,1.1223130869097986e-08
1844,2.7442805805577564e-09,2.140538946093784e-08
1845,1.674068439427856e-09,1.0602432709561072e-08
1846,0.0,5.854501328173001e-09
1847,4.314578916364553e-09,1.3483059113639229e-08
1848,0.0,9.65426583121598e-09
1849,8.379414939696517e-10,1.4245005175439474e-08
1850,0.0,6.1100964288129944e-09
1851,1.2898877521649865e-09,9.029214709244116e-09
1852,1.9531636308300904e-09,1.0416872697760482e-08
1853,4.777545470346922e-09,1.1346670270029335e-08
1854,5.195664454227256e-10,1.610655964157104e-08
1855,1.5920811335945473e-09,1.4328730202350926e-08
1856,2.5885946719483854e-09,1.2942972915652717e-08
1857,9.763018171682347e-10,1.757343248698362e-08
1858,4.893676019968041e-10,2.104280660830682e-08
1859,2.5460866748261424e-09,7.638259802433822e-09
1860,1.8308735638683515e-09,7.323494255473406e-09
1861,4.715963730639317e-10,1.6977470096435354e-08
1862,1.3553959066214816e-09,2.6656119089807362e-08
1863,4.495158911765884e-09,2.2975255475898848e-08
1864,1.4384183844029508e-09,1.1507347075223606e-08
1865,7.0602665935837194e-09,5.6482134525026595e-09
