year,quelques_DET oies_NOUN,quelques_DET poids_NOUN
1800,5.0306631749208464e-08,4.087413785214267e-08
1801,1.6668277424969347e-08,3.5717739876872656e-08
1802,2.9091921760482364e-08,1.5664880947952042e-08
1803,4.4857802805609026e-08,1.5602713787643552e-08
1804,2.4718509905596875e-08,4.943701892301533e-09
1805,5.4014676953428875e-08,8.528632911009026e-09
1806,5.76333825108577e-09,5.76333825108577e-09
1807,5.693910232196231e-09,2.8469551160981155e-09
1808,3.852325747288887e-08,4.5321479902327155e-09
1809,3.162642769893864e-08,1.8072244145628247e-08
1810,1.2870697219113936e-07,1.8721014072298203e-08
1811,0.0,2.5070767684098882e-09
1812,0.0,4.000812481308458e-08
1813,0.0,8.627225156487839e-09
1814,0.0,3.1466772298927026e-08
1815,4.315557688983063e-08,1.8880564667256294e-08
1816,1.8540831092650478e-08,6.952811659743929e-09
1817,1.2454987263765815e-08,2.0239355080775567e-08
1818,3.695565098382758e-08,3.695565098382758e-08
1819,1.035105001712111e-09,1.2421260131567635e-08
1820,3.5599443393152796e-09,4.746592452420373e-09
1821,9.861488514673056e-09,6.903041693817613e-09
1822,1.804610860745015e-08,3.308453244699194e-08
1823,8.894418535021487e-09,3.063632902922109e-08
1824,1.431589158329416e-08,3.3684450784221553e-09
1825,3.522177216552791e-09,2.0252519661312363e-08
1826,1.8496766784892316e-08,7.927186018719112e-09
1827,1.013900030599757e-08,1.3825909306319772e-08
1828,1.0089530988466322e-08,3.66892045633449e-08
1829,9.430493552731178e-09,2.743416338546467e-08
1830,9.39315203396518e-09,1.2524203008013046e-08
1831,3.1182412207897414e-09,4.677361609140007e-09
1832,1.0823975493678972e-08,5.411987746839486e-09
1833,2.0850531967653296e-08,2.0850531967653296e-08
1834,1.8669061851994684e-08,4.667265685043276e-09
1835,7.563087933704082e-09,2.7983425354705105e-08
1836,1.949017514046858e-08,1.9490174807401672e-08
1837,1.7394727436226276e-08,2.7831563720326358e-09
1838,3.787297142565649e-09,1.7674052665839213e-08
1839,4.894032734625853e-09,2.3771015378315496e-08
1840,4.458782232319436e-09,1.8472096741106725e-08
1841,4.494383976094696e-09,1.733548060656176e-08
1842,6.708265054555795e-10,2.750388627958955e-08
1843,1.594865972620596e-08,6.497602011990011e-09
1844,4.9397050894128824e-09,1.5367971784030487e-08
1845,1.562463802784464e-08,8.928364714222425e-09
1846,8.196302303531411e-09,8.196302303531411e-09
1847,1.0786447290911383e-08,1.0247124926365814e-08
1848,1.6090443422100975e-09,1.2067832455553429e-08
1849,4.189707469848258e-09,7.54147366777147e-09
1850,1.8330290174617403e-08,1.6972490080036096e-08
1851,9.029214709244116e-09,1.99932606026465e-08
1852,1.9531636308300904e-09,7.812654523320361e-09
1853,2.388772735173461e-09,1.911018188138769e-08
1854,8.832629572186335e-09,3.3252253395232856e-08
1855,2.1227748447927297e-09,1.2736649068756378e-08
1856,3.1063135952358323e-09,1.0872097000458325e-08
1857,0.0,3.905207268672939e-09
1858,8.80861672492017e-09,1.2723557318849998e-08
1859,3.055304009791371e-09,2.4442432078330967e-08
1860,1.327383358784573e-08,1.6477862629926676e-08
1861,1.8863854922557266e-09,7.545541969022906e-09
1862,4.066187636597718e-09,4.066187830886747e-09
1863,6.493007298491449e-09,2.097740692263983e-08
1864,1.102787461348953e-08,1.1507347075223606e-08
1865,0.0,8.943004115025133e-09
1866,8.758103242634263e-09,1.2650593461671633e-08
1867,5.338092634588065e-09,1.8925964795357686e-08
1868,2.3711396401893126e-08,4.44588676984381e-09
1869,9.767038400276817e-09,1.12320943657096e-08
1870,3.4404292748035914e-09,1.4335121978348297e-08
1871,8.496941816815706e-09,1.9118118865790734e-08
1872,5.442605477412599e-09,1.5118348239973045e-08
1873,5.986004469882289e-10,2.0352414864532875e-08
1874,6.572069888299836e-09,1.4936523129449597e-08
1875,5.721527251978387e-09,1.3731664694205392e-08
1876,3.02300739996042e-09,9.069021977836655e-09
1877,6.80329748092845e-09,1.1132669008873108e-08
1878,9.058632954861423e-09,2.0532901157110928e-08
1879,7.94212295929242e-09,1.3440515811424802e-08
1880,6.417846032391594e-09,2.631316986523302e-08
1881,1.3945015142624584e-09,7.669758161910067e-09
1882,5.989846396659004e-09,2.9949232205339626e-08
1883,6.319338829996468e-09,5.9401787488866375e-08
1884,7.2618666635548834e-09,2.970763635090634e-08
1885,6.445635636342928e-09,5.220964993668531e-08
1886,1.0325542088018835e-08,1.4842966855610484e-08
1887,1.0446279397058333e-08,2.415702127223085e-08
1888,1.141310668195672e-08,1.3315290647852862e-08
1889,3.7590820456401275e-09,4.38559560889118e-09
1890,7.209825181320184e-09,2.4906668061319692e-08
1891,1.0836173736095134e-08,1.466070642663908e-08
1892,8.149066088591894e-09,1.5044429257926595e-08
1893,3.0792082772457263e-09,2.524950754034805e-08
1894,6.301539290376468e-09,5.671385361338821e-08
1895,3.0093072478365457e-09,3.25005184986793e-08
1896,6.486731818355906e-09,2.299841245223533e-08
1897,8.157398867503218e-09,1.3984112090525969e-08
1898,7.355861253444118e-09,1.1882545503105746e-08
1899,6.080336234504102e-09,1.492446166651007e-08
1900,4.6719478286050276e-09,7.78657960331941e-09
1901,7.265360535413379e-09,1.7325090473363502e-08
1902,3.928227076954727e-09,2.0623192598101525e-08
1903,3.2401321625741275e-09,1.8900770504259867e-08
1904,1.0211787859759625e-08,1.666133808697623e-08
1905,5.160758931310738e-09,2.5803795322687506e-08
1906,7.716276506641861e-09,9.773950315761226e-09
1907,1.131425531042396e-08,1.8514236366229397e-08
1908,5.893666887857307e-09,2.2592388848607925e-08
1909,8.251475669407426e-09,3.135560672218318e-08
1910,1.0688301688155377e-08,1.81701123036504e-08
1911,3.7242618988742038e-09,1.5429085564733214e-08
1912,6.772247651554153e-09,3.802877424075035e-08
1913,1.1136278676993072e-08,2.386345365756881e-08
1914,2.678697486047099e-09,9.107571552480209e-08
1915,2.3561523843085297e-09,8.246533234057551e-09
1916,0.0,6.592477230782379e-09
1917,2.1932848870420685e-09,1.9739563983378616e-08
1918,3.44591288836682e-09,2.2972752589112133e-09
1919,7.366278753639932e-09,6.261336871205003e-08
1920,5.300562211374427e-09,1.9687803387569147e-08
1921,1.5145494858259667e-09,1.5902768879527684e-08
1922,1.180469710870824e-08,2.213380650983865e-08
1923,3.1847844361720945e-09,1.0615948564662858e-08
1924,2.578324886925998e-09,3.2229061197597275e-08
1925,3.299453377181294e-09,2.0896538055481528e-08
