year,autres_ADJ oies_NOUN,autres_ADJ pois_NOUN
1800,1.5720821977538435e-08,9.118077315406481e-08
1801,4.7623651688866175e-09,3.333655596016172e-08
1802,4.475680270843441e-09,8.727576528144709e-08
1803,0.0,7.801356893821776e-09
1804,4.943701892301533e-09,1.7302956178966156e-08
1805,0.0,3.4114531644036106e-08
1806,1.152667650217154e-08,1.729001475325731e-08
1807,0.0,8.540865792383556e-09
1808,4.5321479902327155e-09,6.798221985349073e-09
1809,0.0,2.2590304959990704e-08
1810,0.0,1.6380887757350138e-08
1811,0.0,1.0028306629550343e-08
1812,0.0,2.6672082320544632e-09
1813,0.0,2.8757416448144113e-09
1814,0.0,3.1466771410748606e-09
1815,1.0788894222457657e-08,1.8880564667256294e-08
1816,0.0,9.270415546325239e-09
1817,0.0,2.9580593974287694e-08
1818,2.026600220972341e-08,7.152706427149269e-09
1819,0.0,2.2772310259711048e-08
1820,4.746592452420373e-09,8.306536791735653e-09
1821,2.9584463767662328e-09,3.94459531705138e-09
1822,1.0025615893027862e-09,9.023054303725075e-09
1823,1.8777105759149038e-08,9.882686891060644e-10
1824,0.0,8.421112696055388e-10
1825,2.905796137042671e-08,7.044354433105582e-09
1826,0.0,1.0569580766173203e-08
1827,0.0,4.608636583469661e-09
1828,5.503380862137419e-09,3.668920500743411e-09
1829,8.57317605795771e-10,1.714635211591542e-09
1830,2.0873671680021744e-09,2.0873671680021744e-09
1831,1.5591206103948707e-09,3.1182412207897414e-09
1832,0.0,9.470978667991403e-09
1833,0.0,1.7375443306377747e-08
1834,5.600718555598405e-09,1.8669061851994684e-08
1835,2.2689263801112247e-09,9.075705520444899e-09
1836,2.688300027031687e-09,8.736974699274924e-09
1837,1.3915781860163179e-09,6.262101948095733e-09
1838,1.8936485712828244e-09,2.1461350030449466e-08
1839,1.3982950353153e-09,8.38977065598101e-09
1840,3.821813199245128e-09,1.9109065441114126e-09
1841,6.420548537278137e-10,9.630822361827995e-09
1842,2.683306021822318e-09,8.720745015011744e-09
1843,0.0,5.906911015873817e-09
1844,1.2074834465636286e-08,1.5367971784030487e-08
1845,2.2878934136105755e-08,8.928364714222425e-09
1846,1.1709002656346001e-09,2.0490754204516293e-08
1847,3.235934187273415e-09,6.47186837454683e-09
1848,2.413566457803995e-09,7.240699373411985e-09
1849,8.379414939696517e-10,6.703531951757213e-09
1850,6.788996032014438e-10,1.4935791270431764e-08
1851,6.449438760824933e-09,5.159551230704551e-09
1852,6.510545436100301e-10,9.765818598239662e-09
1853,1.1943863675867306e-09,6.569125021727018e-09
1854,3.63696517347023e-09,6.234797567117312e-09
1855,2.653468555990912e-09,6.8990182455763716e-09
1856,5.177189232874468e-10,4.65947025407587e-09
1857,9.763018171682347e-10,5.857811125054013e-09
1858,4.893676019968041e-10,5.383043732987147e-09
1859,0.0,7.638260024478427e-09
1860,1.3731551729012637e-09,4.577184048448757e-09
1861,3.7727710400226044e-09,4.2443675241088386e-09
1862,1.355395878865906e-09,6.325180851307621e-09
1863,6.992469381295052e-09,6.493007131957995e-09
1864,4.794727948009836e-10,9.109982990196386e-09
1865,0.0,5.177528628053096e-09
1866,2.919367692033603e-09,5.352174092809747e-09
1867,0.0,6.79393608038481e-09
1868,9.87974813071446e-10,7.409810875991241e-09
1869,9.278686263769487e-09,1.4650557433881772e-09
1870,3.4404292748035914e-09,5.734048791339319e-09
1871,1.0621177271019633e-09,3.18635318130589e-09
1872,5.442605477412599e-09,7.861540751719076e-09
1873,1.1972008939764578e-09,5.9860043588599865e-09
1874,1.0156835372754358e-08,7.169530968909044e-09
1875,5.149374260327022e-09,1.2015206607429718e-08
1876,1.209202959984168e-09,3.627608879952504e-09
1877,5.566334504436554e-09,6.184816214727107e-09
1878,3.0195443923020093e-09,3.0195443923020093e-09
1879,7.331190321480108e-09,9.16398767980553e-09
1880,2.5671385017744797e-09,3.2089231272180996e-09
1881,2.7890030285249168e-09,4.8807553554297556e-09
1882,6.655385131892899e-10,8.652000671460769e-09
1883,2.5277355764075082e-09,1.64302811356265e-08
1884,1.9805090900604227e-09,2.6406787867472303e-09
1885,1.2891271383708158e-09,3.8673814151124475e-09
1886,5.808117542471791e-09,3.2267319372003556e-09
