year,les_DET oeufs_NOUN
1800,1.050150927994764e-06
1801,1.750169179359773e-06
1802,1.635861167414987e-06
1803,5.74569926703461e-06
1804,1.4015394937949566e-06
1805,1.4356532724857374e-06
1806,3.0257525018839715e-07
1807,3.387876525984268e-07
1808,3.172503699744311e-07
1809,3.004510509274638e-07
1810,4.937667354987241e-07
1811,1.6797414126301646e-07
1812,2.0270783229747735e-07
1813,3.911008619184031e-07
1814,5.349350913341766e-07
1815,2.2656678222432447e-07
1816,3.963102610526903e-07
1817,6.196355881726845e-07
1818,4.828076922702706e-07
1819,5.775886062764357e-07
1820,2.7174242323013686e-07
1821,1.2425475581778755e-07
1822,1.9349438673543773e-07
1823,1.8678277735606486e-07
1824,2.147383737494124e-07
1825,1.9107811288776588e-07
1826,1.6030530847199742e-07
1827,6.756261352047765e-07
1828,3.1460993210608024e-07
1829,1.7746473929269868e-07
1830,2.0143092882562996e-07
1831,1.7773974980705987e-07
1832,1.9483155533350782e-07
1833,1.8997151052246863e-07
1834,2.240287466648283e-07
1835,1.8680827196249083e-07
1836,2.083432480426417e-07
1837,2.866651082067406e-07
1838,2.9793404321409866e-07
1839,2.0415107082616402e-07
1840,1.1911317832069557e-07
1841,1.5280905474313045e-07
1842,2.8912622784815767e-07
1843,1.7720733613835193e-07
1844,2.2064016780287687e-07
1845,1.8414752256390443e-07
1846,1.7504959481939864e-07
1847,3.1658221377739437e-07
1848,2.051531546864993e-07
1849,2.0864742733550656e-07
1850,1.7379830286046172e-07
1851,2.3024495665602274e-07
1852,1.9401425377374437e-07
1853,1.9229620096261613e-07
1854,1.1430461621664278e-07
1855,1.719447624282111e-07
1856,1.1234500962853389e-07
1857,1.571845890113721e-07
1858,8.514996041597556e-08
1859,1.4461772246399107e-07
1860,5.60705014196472e-07
1861,1.763770467455572e-07
1862,1.0888347223847461e-07
1863,9.439833159596844e-08
1864,1.486365611702567e-07
1865,1.2237795188330125e-07
1866,1.3429091927363856e-07
1867,1.0918825665839904e-07
1868,1.0966520536115354e-07
1869,8.790334371511221e-08
1870,1.5481931425753714e-07
1871,9.452847815616394e-08
1872,1.1006157296655772e-07
1873,1.5862911295627669e-07
1874,1.332337859483168e-07
1875,2.0940789680068406e-07
