year,six_DET iles_NOUN,six_DET piles_NOUN
1800,3.144164484325529e-09,9.432493897065797e-09
1801,0.0,1.904946067554647e-08
1802,0.0,8.951360541686881e-09
1803,0.0,1.950339223455444e-09
1804,9.887403784603066e-09,2.2246657849223084e-08
1805,2.842877711017877e-09,6.254330742194725e-08
1806,0.0,2.881669125542885e-08
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,4.212228077449254e-08
1811,2.5070767684098882e-09,2.5070767684098882e-09
1812,0.0,5.3344164641089264e-09
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,6.227493631882908e-09
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,2.3732962262101864e-09
1821,0.0,3.94459531705138e-09
1822,1.0025615893027862e-09,7.017931125119503e-09
1823,0.0,0.0
1824,2.5263338088166165e-09,3.3684450784221553e-09
1825,0.0,2.641632912414593e-09
1826,5.284790383086602e-09,4.403992281964975e-09
1827,9.217273055917019e-10,6.452091305675367e-09
1828,9.172301251858528e-10,9.172301251858528e-10
1829,0.0,6.001223074036943e-09
1830,1.0436835840010872e-09,1.0436835840010872e-09
1831,1.5591206103948707e-09,0.0
1832,4.058990921151917e-09,0.0
1833,5.791814139399776e-09,6.950177322551099e-09
1834,0.0,1.8669061851994684e-09
1835,7.563087933704082e-10,7.563087933704082e-09
1836,0.0,4.704525213838906e-09
1837,1.3915781860163179e-09,2.0873671680021744e-09
1838,0.0,3.1560809521380406e-09
1839,0.0,9.788065469251706e-09
1840,6.369688665408546e-10,2.5478754661634184e-09
1841,1.2841097074556274e-09,4.494383976094696e-09
1842,6.708265054555795e-10,3.3541325272778977e-09
1843,4.7255288571079745e-09,4.134837805480629e-09
1844,5.488561272137815e-10,1.097712254427563e-09
1845,0.0,1.562463758375543e-08
1846,5.854501328173001e-10,4.6836010625384006e-09
1847,5.393223645455691e-10,3.775256551818984e-09
1848,8.045221711050488e-10,1.287235473768078e-08
1849,8.379414939696517e-10,1.6758828991214614e-08
1850,0.0,6.788996032014438e-10
1851,1.2898877521649865e-09,6.449438760824933e-10
1852,0.0,5.859490670445666e-09
1853,5.971931837933653e-10,2.388772735173461e-09
1854,5.195664454227256e-10,3.117398783558656e-09
1855,0.0,7.429711956774554e-09
1856,5.177189232874468e-10,7.765783571755946e-09
1857,0.0,9.763018171682347e-10
1858,4.893676019968041e-10,3.9149408159744326e-09
1859,0.0,1.171199848215565e-08
1860,0.0,1.6477862629926676e-08
1861,9.431927461278633e-10,0.0
1862,4.517986262886353e-10,1.400575744270327e-08
1863,4.9946209945694875e-09,3.4962345241140724e-09
1864,0.0,1.0548401263577034e-08
1865,0.0,6.118897832863013e-09
1866,2.432806400776144e-09,6.3252967308358166e-09
1867,0.0,1.7955402498159856e-08
1868,9.87974813071446e-10,1.2349684830326169e-08
1869,0.0,3.4184632902167778e-09
1870,0.0,1.0321287824410774e-08
1871,0.0,3.18635318130589e-09
1872,0.0,4.23313739617015e-09
1873,0.0,1.0774807879254666e-08
1874,0.0,7.766991494406739e-09
1875,1.716458086775674e-09,1.3159512590732447e-08
1876,0.0,6.046014577876235e-09
1877,0.0,4.329371083855449e-09
1878,0.0,3.0195443923020093e-09
1879,0.0,0.0
1880,1.2835692508872398e-09,1.9253538763308597e-09
1881,0.0,3.4862537301449947e-09
1882,1.3310770263785798e-09,7.986462158271479e-09
1883,0.0,1.0742875922176154e-08
1884,6.601696966868076e-10,5.941527270181268e-09
1885,0.0,5.156508553483263e-09
1886,1.2906927748801422e-09,9.034849313138693e-09
1887,0.0,5.223139698529167e-09
1888,0.0,9.510922049926762e-09
1889,0.0,9.397705447167226e-09
1890,3.2771931834929546e-09,7.209825181320184e-09
1891,0.0,1.2748440525456317e-08
1892,6.268512375839919e-10,1.6298132621272998e-08
1893,0.0,8.621783287310336e-09
1894,3.150769645188234e-09,1.1972924873759894e-08
1895,4.213029924926559e-09,1.625025936036195e-08
1896,5.89702897624278e-10,1.2973464080801023e-08
1897,5.826713556089658e-10,1.1070755867592652e-08
1898,0.0,3.3950129374460403e-09
1899,5.527578395003729e-10,4.4220627160029835e-09
1900,0.0,5.710158568206225e-09
1901,4.470991132876634e-09,5.58873880507349e-09
1902,4.910283846193408e-10,1.2766738111125164e-08
