year,dix_DET hommes_NOUN,dix_DET pommes_NOUN
1800,9.401051954682771e-07,6.288328968651058e-09
1801,9.096117636886447e-07,0.0
1802,8.03384637038107e-07,6.042168365638645e-08
1803,6.611650107402056e-07,5.851017448321727e-09
1804,7.786330371573058e-07,2.4718509461507665e-09
1805,8.613919195710196e-07,2.842877711017877e-09
1806,1.2160643514391722e-06,3.1698359492793315e-08
1807,1.05906734759742e-06,0.0
1808,7.296758415265003e-07,1.3596443970698147e-08
1809,8.200280814385508e-07,9.036122072814123e-09
1810,8.120240124753764e-07,2.3401267146283544e-08
1811,8.524060959302915e-07,2.5070767684098882e-09
1812,8.721770790032224e-07,0.0
1813,5.435151457788834e-07,0.0
1814,7.331757458928223e-07,3.1466772298927026e-08
1815,7.929837158027198e-07,5.394447111228828e-09
1816,7.671268864584135e-07,0.0
1817,7.068205301052899e-07,3.113746815941454e-09
1818,8.869356129537209e-07,0.0
1819,9.812795447317058e-07,4.140420117870747e-09
1820,1.1368089190000319e-06,1.1866481131050932e-09
1821,9.092291968215704e-07,0.0
1822,1.1840251943340263e-06,3.0076847679083585e-09
1823,1.2432419786989612e-06,2.964806067318193e-09
1824,1.1856927173425902e-06,0.0
1825,1.2794308901220575e-06,2.641632912414593e-09
1826,1.3256016089258083e-06,2.642395191543301e-09
1827,1.2083844680432776e-06,3.6869092223668076e-09
1828,8.869615060191904e-07,9.172301140836225e-09
1829,8.727493003846121e-07,6.001223074036943e-09
1830,1.0822999243487175e-06,1.0436835840010872e-09
1831,1.0492882154267136e-06,3.1182412207897414e-09
1832,9.281558952523028e-07,2.705993873419743e-09
1833,1.0332596467321764e-06,1.7375443306377747e-08
1834,1.1360123579606807e-06,4.667265685043276e-09
1835,1.2774055733189016e-06,1.5126175867408165e-09
1836,1.0806966095344706e-06,4.032449929525228e-09
1837,1.1884077899537715e-06,0.0
1838,1.1399764918706978e-06,6.312161904276081e-10
1839,9.550354924670046e-07,5.5931801412612e-09
1840,9.898496351468111e-07,2.5478754661634184e-09
1841,9.245590035789064e-07,5.1364388298225094e-09
1842,8.304831951022607e-07,6.037438549100216e-09
1843,7.47814954848991e-07,2.953455480181333e-09
1844,7.930970760128275e-07,2.195424508855126e-09
1845,7.644912258797376e-07,3.348136878855712e-09
1846,9.636509226140788e-07,1.7563503984519002e-09
1847,8.715449304474987e-07,3.775256551818984e-09
1848,8.383120899679852e-07,1.6090443422100975e-09
1849,5.538793494963556e-07,2.011059496709322e-08
1850,8.649180784914279e-07,7.467895635215882e-09
1851,9.590315599439236e-07,1.2898877521649865e-09
1852,6.569140253986916e-07,0.0
1853,6.736339219770571e-07,3.5831591027601917e-09
1854,8.235128188260887e-07,7.27393034694046e-09
1855,7.328880400336857e-07,6.8990182455763716e-09
1856,6.404183299224542e-07,1.5531567143511893e-09
1857,8.308328638406692e-07,1.4644527812635033e-09
1858,7.017531160613544e-07,9.787352039936081e-10
1859,7.831762776078222e-07,0.0
1860,8.472367554190896e-07,3.204028820036342e-09
1861,8.474586721263222e-07,1.2733101684148096e-08
1862,7.165526216823537e-07,7.228778020618165e-09
1863,6.742738314358121e-07,8.990317823531768e-09
1864,6.89002419562712e-07,1.9178911792039344e-09
1865,6.693132483803765e-07,2.8241067262513297e-09
1866,7.551431480123938e-07,1.4596839292835284e-09
1867,6.022339142930377e-07,3.88224918879132e-09
1868,7.093659206702796e-07,2.4699371437009177e-09
1869,6.836926651487829e-07,9.767038289254515e-10
1870,6.594156118922001e-07,1.7202146374017957e-09
1871,9.187318283920831e-07,1.4869648623516696e-08
1872,7.897824971792033e-07,7.861541195808286e-09
1873,6.72228287257326e-07,8.380406590902112e-09
1874,8.244960696401904e-07,0.0
1875,6.493933355500303e-07,1.716458086775674e-09
1876,6.52969617931376e-07,0.0
1877,5.634367390427997e-07,6.184815992682502e-10
1878,6.630919457961681e-07,6.039088673581716e-10
1879,7.752733992560934e-07,1.832797580370027e-09
1880,6.250981972044656e-07,3.2089231272180996e-09
1881,7.878933612204264e-07,3.4862537301449947e-09
1882,6.16954192622643e-07,6.655385131892899e-10
1883,6.173994364644386e-07,1.2638677882037541e-09
1884,5.967934146866583e-07,7.922036360241691e-09
1885,5.285421380563093e-07,9.023889857573408e-09
