year,aux_ADP oies_NOUN,aux_ADP poids_NOUN
1800,1.2576657582030748e-07,3.835880564295735e-07
1801,6.429192911383552e-08,4.3813760197686236e-07
1802,7.608656460433849e-08,4.3414098627181374e-07
1803,1.09218993626925e-07,3.5886241178673117e-07
1804,5.9324420931261557e-08,2.1010733131099357e-07
1805,1.2224374756897305e-07,1.847870461091361e-07
1806,5.4751713385314815e-08,3.371552850239823e-07
1807,3.131650672116848e-08,2.562259737715067e-07
1808,1.3369836260324064e-07,3.8296650473057525e-07
1809,8.132509776714869e-08,1.987946802728402e-07
1810,3.042164786748458e-08,2.0593115834799391e-07
1811,4.011322829455821e-08,5.891630419085914e-07
1812,3.7340914360584065e-08,4.160844895295668e-07
1813,5.751483289628823e-09,4.5724292796478494e-07
1814,5.349351184236184e-08,2.0453401017306305e-07
1815,2.1038344355517324e-07,2.400528940071922e-07
1816,1.274682119856152e-07,4.403447348977352e-07
1817,9.496928132790572e-08,1.7125607776335983e-07
1818,7.152706604784953e-08,2.3127084780583118e-07
1819,4.554461963124368e-08,2.0391569144351251e-07
1820,2.3732961373923445e-08,1.5663755270622914e-07
1821,5.029359129160582e-08,1.5186691448842993e-07
1822,5.6143449000956025e-08,2.1454818011079624e-07
1823,1.1068609673259289e-07,2.786917718822224e-07
1824,3.115811697540494e-08,2.3663327386458377e-07
1825,6.163809995740621e-08,2.192555257352069e-07
1826,2.554315425840059e-08,3.0387547278465377e-07
1827,5.7147094167930845e-08,2.507098226800508e-07
1828,6.970948840390179e-08,2.320592216165096e-07
1829,9.85915242779356e-08,2.109001329131388e-07
1830,4.0703659109908585e-08,2.650956318905884e-07
1831,5.456921980950824e-08,2.058039194618999e-07
1832,3.51779220197912e-08,2.8954133313163766e-07
1833,6.486831871654886e-08,2.9190744810225766e-07
1834,4.947301501800894e-08,2.4549817001506824e-07
1835,4.689114518896531e-08,2.246237045255839e-07
1836,4.0324502126320994e-08,1.5188895685636083e-07
1837,6.818733133684418e-08,2.6370405814546416e-07
1838,3.9135405138779333e-08,2.8278484087707056e-07
1839,5.5931800524433584e-08,4.0340810691930074e-07
1840,4.7772664935052944e-08,2.981014404213056e-07
1841,6.099521199232072e-08,3.049760635143173e-07
1842,3.7566284305512454e-08,2.502182843144851e-07
1843,8.978505050549757e-08,3.053873023350917e-07
1844,6.641159000508878e-08,2.733303425817013e-07
1845,4.2409731282333496e-08,2.4385595570608487e-07
1846,2.4588905134237393e-08,2.31838250819294e-07
1847,7.496580600729885e-08,2.2166149449276418e-07
1848,5.309846429213394e-08,2.735375405626961e-07
1849,4.860060620615059e-08,2.3546156402431961e-07
1850,4.955967192188382e-08,2.2200017646412107e-07
1851,5.4175285590929434e-08,2.199258659629777e-07
1852,4.948014531436229e-08,2.545623358773952e-07
1853,3.642878354526147e-08,2.878471074829747e-07
1854,5.403491076805267e-08,2.868006765410769e-07
1855,6.580602018857462e-08,3.3327563642160385e-07
1856,5.694908100650764e-08,2.8112136440938684e-07
1857,4.735063718896981e-08,2.7043560546502476e-07
1858,3.229826228690058e-08,2.3881138266901303e-07
1859,5.295860283638376e-08,2.9381841648579154e-07
1860,4.485640303641958e-08,2.631880762216099e-07
1861,5.5648373908923077e-08,3.164411799261302e-07
1862,7.906476362506965e-08,2.164115358582741e-07
1863,6.742738156706451e-08,2.3025201412174567e-07
1864,6.856460832427302e-08,2.3014694194856133e-07
1865,5.412871001420072e-08,2.584057527954542e-07
1866,9.341976481280767e-08,2.841517912632874e-07
1867,8.346835578265654e-08,3.0669768413815746e-07
1868,7.409811075831385e-08,2.69717133960512e-07
1869,5.86022301796163e-08,2.5980321538554563e-07
1870,4.243196194408938e-08,4.0883768814836685e-07
1871,7.11618906024114e-08,3.1651109111408005e-07
1872,5.98686610286947e-08,2.697113359317882e-07
1873,6.524745010949573e-08,3.040890135252994e-07
