year,dons_NOUN heureux_ADJ
1800,4.7162465932615305e-08
1801,4.524246932646747e-08
1802,8.951360541686881e-08
1803,1.0336798084153997e-07
1804,1.3347995775347954e-07
1805,9.381496113292087e-08
1806,1.556101381083863e-07
1807,1.395007984683616e-07
1808,4.5321478125970316e-08
1809,7.454800510231507e-08
1810,1.4508785284306214e-07
1811,8.273353557797236e-08
1812,7.468182872116813e-08
1813,1.00650957790549e-07
1814,1.2901375612273114e-07
1815,5.933891955578474e-08
1816,5.3304887615013286e-08
1817,5.7604317760251433e-08
1818,1.4424624339426373e-07
1819,8.073818946741085e-08
1820,6.289234733003468e-08
1821,3.944595405869222e-08
1822,1.2532019866284827e-07
1823,6.028439258898288e-08
1824,6.315834610859383e-08
1825,6.780191341704267e-08
1826,9.600702810530493e-08
1827,9.954654700550236e-08
1828,9.997808092521154e-08
1829,6.601345603485242e-08
1830,4.279102583382155e-08
1831,2.494592976631793e-08
1832,5.411987658021644e-08
1833,7.645194699534841e-08
1834,8.961149688957448e-08
1835,7.865611451052246e-08
1836,5.443807538085821e-08
1837,3.478945487245255e-08
1838,4.1660268124132926e-08
1839,3.915226187700682e-08
1840,6.497082694068013e-08
1841,4.8796167106957e-08
1842,4.22620693996123e-08
1843,3.603215859016018e-08
1844,6.202074587235984e-08
1845,4.464182268293371e-08
1846,6.615586300995346e-08
1847,6.849393940910886e-08
1848,2.172209789819135e-08
1849,3.267971848686102e-08
1850,9.504594800091581e-08
1851,3.9341575330809064e-08
1852,6.575650957074686e-08
1853,7.10659904257227e-08
1854,9.975676107387699e-08
1855,9.499417785718833e-08
1856,5.694908011832922e-08
1857,7.810414359710194e-08
1858,6.508589223130912e-08
1859,7.892868580938739e-08
1860,1.0115576287716976e-07
1861,5.517677692523648e-08
1862,5.46676339752139e-08
1863,6.443060840410908e-08
1864,7.192092255081661e-08
1865,5.836486849375433e-08
1866,6.568577504140194e-08
1867,6.599823620945244e-08
1868,7.903798859842937e-08
1869,6.299739396808945e-08
1870,7.0528798801206e-08
1871,4.991953161948004e-08
1872,5.200711683528425e-08
1873,4.19020302899753e-08
1874,2.9873046258899194e-08
1875,6.122034079680816e-08
1876,4.957732002708326e-08
1877,5.8755752263550676e-08
1878,7.307297522629597e-08
1879,6.414791187125957e-08
1880,2.759673911612026e-08
1881,3.974329487732575e-08
1882,5.257754409626614e-08
1883,5.371438049905919e-08
1884,5.215340692643622e-08
1885,5.285421167400273e-08
1886,6.066255764380912e-08
1887,6.528924956228366e-08
1888,3.867775077992519e-08
1889,4.2602930960811136e-08
1890,1.6385966361553983e-08
1891,4.0157587477551715e-08
1892,3.0715710863660206e-08
1893,4.434059874824925e-08
1894,4.285046628638156e-08
1895,5.476939080040211e-08
1896,3.2433661090180976e-08
1897,2.3889525024856084e-08
1898,3.847681284696591e-08
1899,2.5426860617017155e-08
1900,2.7512582434496835e-08
1901,2.6825947685438223e-08
1902,2.3078333910575566e-08
1903,2.214090244478939e-08
1904,2.042357571951925e-08
1905,3.354493216534138e-08
1906,2.0576738535282857e-08
1907,1.7999951751335175e-08
1908,2.357466755142923e-08
1909,3.960708028216686e-08
1910,1.7101282168141552e-08
1911,3.458243114096149e-08
1912,2.2400511667797218e-08
1913,2.1742257771961704e-08
1914,2.4108278040557707e-08
1915,1.4136913861761968e-08
1916,2.197492321442951e-08
1917,3.289927263949721e-08
1918,2.6418664589300533e-08
1919,1.9336480860943084e-08
1920,2.8017257847068322e-08
1921,2.8019165654313838e-08
1922,9.591316185719734e-09
1923,2.3355084977083607e-08
1924,2.5783249313349188e-08
1925,2.3096173862313663e-08
1926,3.566764306128789e-08
1927,2.3413372574054847e-08
1928,2.9707706517001498e-08
1929,1.5596569369336066e-08
1930,2.3107928015519974e-08
1931,1.710803587684495e-08
1932,2.1919072779041926e-08
1933,1.261772819560747e-08
1934,1.7972370258689807e-08
1935,2.752705441366743e-08
1936,3.273672888326473e-08
1937,1.888667711114067e-08
1938,1.5558256905023882e-08
1939,7.647025235257843e-09
1940,1.2678914806940611e-08
1941,1.4757512545315876e-08
1942,1.517105907566929e-08
1943,5.806470415592457e-09
1944,6.4263723231761105e-09
1945,4.357008087652048e-09
1946,1.2528993842408909e-08
