year,dix_DET airs_NOUN,dix_DET pères_NOUN
1800,3.144164484325529e-09,0.0
1801,4.7623651688866175e-09,0.0
1802,0.0,0.0
1803,0.0,1.950339223455444e-09
1804,4.943701892301533e-09,2.4718509461507665e-09
1805,0.0,0.0
1806,1.4408345627714425e-08,0.0
1807,5.693910232196231e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,2.259030518203531e-09,3.388545621874073e-08
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,5.3344164641089264e-09,0.0
1813,0.0,0.0
1814,0.0,3.1466771410748606e-09
1815,0.0,5.933891955578474e-08
1816,4.6352077731626196e-09,0.0
1817,1.401186100480345e-08,0.0
1818,1.1921177378582115e-09,8.344824387052086e-09
1819,1.3456364911235141e-08,7.24573512300708e-09
1820,2.3732962262101864e-09,1.3053129244156025e-08
1821,9.86148829262845e-10,9.86148829262845e-10
1822,4.010246357211145e-09,0.0
1823,6.917880934764753e-09,5.929612134636386e-09
1824,5.052667617633233e-09,9.263223965660927e-09
1825,7.044354433105582e-09,2.641632912414593e-09
1826,1.5854372037438225e-08,5.2847906051312066e-09
1827,0.0,9.217273055917019e-10
1828,9.172301251858528e-10,2.7516904310687096e-09
1829,0.0,1.714635211591542e-09
1830,2.0873671680021744e-09,1.5655253093882493e-08
1831,1.5591206103948707e-09,1.7150327380477393e-08
1832,1.3529969367098715e-09,1.2176972319366541e-08
1833,1.7375443306377747e-08,4.6334514003376626e-09
1834,1.8669061851994684e-09,9.334530925997342e-10
1835,0.0,0.0
1836,3.36037508930076e-09,2.688300027031687e-09
1837,2.7831563720326358e-09,4.870523429012508e-09
1838,1.8936485712828244e-09,2.5248647617104325e-09
1839,6.9914749545318955e-09,0.0
1840,1.2739377330817092e-09,5.095750932326837e-09
1841,6.420548537278137e-10,5.1364388298225094e-09
1842,6.708265054555795e-10,7.379091560011375e-09
1843,3.5441467538532834e-09,6.497602234034616e-09
1844,2.7442805805577564e-09,1.3172547053130756e-08
1845,0.0,1.5066615510761494e-08
1846,1.7563503984519002e-09,4.0981511517657054e-09
1847,1.6179670936367074e-09,4.314578916364553e-09
1848,2.413566457803995e-09,1.287235473768078e-08
1849,0.0,8.379414495607307e-09
