year,aux_ADP oies_NOUN,aux_ADP pois_NOUN
1800,1.2576657582030748e-07,2.7354231102449944e-07
1801,6.429192911383552e-08,1.8573224025431045e-07
1802,7.608656460433849e-08,1.4098392853156838e-07
1803,1.09218993626925e-07,1.131196771808618e-07
1804,5.9324420931261557e-08,1.878606781247072e-07
1805,1.2224374756897305e-07,9.381496779425902e-08
1806,5.4751713385314815e-08,1.1526676857442908e-07
1807,3.131650672116848e-08,8.825560726677395e-08
1808,1.3369836260324064e-07,1.7448769229488903e-07
1809,8.132509776714869e-08,3.275594215867983e-07
1810,3.042164786748458e-08,1.5210824244604737e-07
1811,4.011322829455821e-08,1.1783261077980001e-07
1812,3.7340914360584065e-08,1.6803412128396644e-07
1813,5.751483289628823e-09,1.4378708113049754e-07
1814,5.349351184236184e-08,5.664018853934749e-08
1815,2.1038344355517324e-07,6.743059044467259e-08
1816,1.274682119856152e-07,1.5527946040094776e-07
1817,9.496928132790572e-08,4.047870949541732e-08
1818,7.152706604784953e-08,9.298518688360957e-08
1819,4.554461963124368e-08,1.552657524772627e-08
1820,2.3732961373923445e-08,5.814575576579273e-08
1821,5.029359129160582e-08,5.1279740120868667e-08
1822,5.6143449000956025e-08,4.8122956286533736e-08
1823,1.1068609673259289e-07,7.609668595254249e-08
1824,3.115811697540494e-08,4.884245186076441e-08
1825,6.163809995740621e-08,5.2832658692381074e-08
1826,2.554315425840059e-08,2.906634755106552e-08
1827,5.7147094167930845e-08,3.5947363641319896e-08
1828,6.970948840390179e-08,5.411657727494301e-08
1829,9.85915242779356e-08,6.944272712416932e-08
1830,4.0703659109908585e-08,5.7402597564149005e-08
1831,5.456921980950824e-08,4.8332740476553226e-08
1832,3.51779220197912e-08,4.3295900420403655e-08
1833,6.486831871654886e-08,8.919393990058921e-08
1834,4.947301501800894e-08,1.0174638642723721e-07
1835,4.689114518896531e-08,1.202530981458949e-07
1836,4.0324502126320994e-08,6.720750000965836e-08
1837,6.818733133684418e-08,6.331680424409569e-08
1838,3.9135405138779333e-08,6.059675405900578e-08
1839,5.5931800524433584e-08,6.012668596344639e-08
1840,4.7772664935052944e-08,6.305991884225648e-08
1841,6.099521199232072e-08,5.77849355032356e-08
1842,3.7566284305512454e-08,4.762868099916773e-08
1843,8.978505050549757e-08,5.6706346396318e-08
1844,6.641159000508878e-08,6.531388146990835e-08
1845,4.2409731282333496e-08,7.031087001507785e-08
1846,2.4588905134237393e-08,4.9763260845381296e-08
1847,7.496580600729885e-08,2.8044762956369595e-08
1848,5.309846429213394e-08,8.125673950365453e-08
1849,4.860060620615059e-08,7.709061833338637e-08
1850,4.955967192188382e-08,7.535785595536026e-08
1851,5.4175285590929434e-08,4.5791017200258466e-08
1852,4.948014531436229e-08,4.55738176086129e-08
1853,3.642878354526147e-08,6.867721857872766e-08
1854,5.403491076805267e-08,4.312401680195421e-08
1855,6.580602018857462e-08,5.3600064831016425e-08
1856,5.694908100650764e-08,6.21262699063152e-08
1857,4.735063718896981e-08,3.563501543846215e-08
1858,3.229826228690058e-08,5.334106994991927e-08
1859,5.295860283638376e-08,6.161529753079265e-08
1860,4.485640303641958e-08,5.40107691904268e-08
1861,5.5648373908923077e-08,4.951761933824628e-08
1862,7.906476362506965e-08,4.6083460825130373e-08
1863,6.742738156706451e-08,6.742738012377458e-08
1864,6.856460832427302e-08,4.459096913933536e-08
1865,5.412871001420072e-08,6.542513897311864e-08
1866,9.341976481280767e-08,6.422608933576157e-08
1867,8.346835578265654e-08,4.561642796829801e-08
1868,7.409811075831385e-08,4.4952854771906914e-08
1869,5.86022301796163e-08,3.6626392807548314e-08
1870,4.243196194408938e-08,6.192772650237544e-08
1871,7.11618906024114e-08,1.2108142088962381e-07
1872,5.98686610286947e-08,7.922014422234724e-08
1873,6.524745010949573e-08,9.936767586538053e-08
1874,6.512323835750067e-08,5.5563863510244005e-08
1875,6.522541085018929e-08,5.435450844970546e-08
1876,5.8041743855596906e-08,7.194757412065655e-08
1877,6.494056759009936e-08,5.999271435186415e-08
1878,5.495570576385944e-08,9.481369150909913e-08
1879,4.581993984231758e-08,5.926045509863087e-08
1880,7.63723715380138e-08,8.53573531856e-08
1881,6.484431835929172e-08,9.691785773924266e-08
1882,1.0914831349850829e-07,1.0116185356068286e-07
1883,1.0679683093428594e-07,7.583206740324755e-08
1884,5.2813575734944607e-08,1.0232630298645518e-07
1885,4.318575907991118e-08,9.152802427081497e-08
1886,5.162771010702727e-08,7.098810517192078e-08
1887,6.137189068056159e-08,7.508263522026937e-08
1888,7.03808211710566e-08,5.7699594435689505e-08
1889,1.1089291618304742e-07,7.142255825653976e-08
1890,8.520702365899524e-08,6.22666712080111e-08
1891,5.290602622665119e-08,4.971891587324251e-08
