year,rendez - vous heureux
1800,0.0
1801,7.844948690660658e-09
1802,2.4635042894516346e-09
1803,0.0
1804,0.0
1805,6.244470274197056e-09
1806,0.0
1807,0.0
1808,0.0
1809,4.941918430034775e-09
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,1.1306090508256261e-09
1820,0.0
1821,0.0
1822,3.2894287294027436e-09
1823,1.943256933145676e-08
1824,5.5125228826113926e-09
1825,0.0
1826,3.844236484695784e-09
1827,0.0
1828,1.0023107899215233e-09
1829,0.0
1830,0.0
1831,1.711448205377053e-09
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,7.590987838312913e-10
1838,4.129345920755867e-09
1839,0.0
1840,3.4792697611862877e-09
1841,7.01979030459654e-10
1842,1.026929119518627e-08
1843,3.227089262480831e-09
1844,2.9919868804739735e-09
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,7.430066562008619e-10
1851,0.0
1852,7.133532098357875e-10
1853,6.537042018806005e-10
1854,3.4099103540796705e-09
1855,5.236009126274865e-09
1856,1.7013420672284951e-09
1857,1.0699394703550524e-09
1858,1.0721975529648375e-09
1859,5.574260497631656e-10
1860,5.017982140920196e-10
1861,5.163843797006962e-10
1862,0.0
1863,1.6447839756850158e-09
1864,1.5748619075495185e-09
1865,3.6117238089161674e-09
1866,3.2035836206034674e-09
1867,0.0
1868,0.0
1869,3.750118438006211e-09
1870,6.283288334074655e-10
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,6.286970388735824e-10
1876,1.3281662436526176e-09
1877,1.361512014241839e-09
1878,6.64683752482631e-10
1879,1.3441058266394634e-09
1880,0.0
1881,0.0
1882,0.0
1883,6.966609511493971e-10
1884,0.0
1885,1.4204167841924686e-09
1886,1.4222925059925728e-09
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,2.7171767058575824e-09
1894,1.3917619279268933e-09
1895,1.328391507904314e-09
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,1.1472008898394392e-09
1901,2.466938431311405e-09
1902,5.407152503522639e-10
1903,1.1921984510721018e-09
1904,0.0
1905,0.0
1906,5.675657166470671e-10
1907,3.410213889054603e-09
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,2.8738609270106963e-09
1913,1.1702200319874123e-09
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,8.343376545205672e-10
1921,0.0
1922,8.143886676137413e-10
1923,2.346282945708822e-09
1924,0.0
1925,3.6555558580175784e-09
1926,2.4691406697030516e-09
1927,3.702804063365761e-09
1928,1.2651650838080286e-09
1929,1.2342626920514022e-09
1930,1.1625793661096395e-09
1931,0.0
1932,1.2128820170431709e-09
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,2.4029620515619854e-09
1946,0.0
1947,2.633565587828457e-09
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,2.3360564593843947e-09
1953,0.0
1954,1.0806723294010112e-09
1955,2.0775652309623638e-09
1956,1.929378212750521e-09
1957,1.9557553354587753e-09
1958,9.148918289625385e-10
1959,1.7148831243929408e-09
1960,2.2960096046631406e-09
1961,1.533625781924286e-09
1962,6.994257950587723e-10
1963,1.4264366354765912e-09
1964,4.02678779209964e-09
1965,1.2067726817832636e-09
1966,1.222114964782861e-09
1967,1.629565982153025e-09
1968,4.446840895511173e-09
1969,1.4978221996031493e-09
1970,0.0
1971,0.0
1972,1.130600835175244e-09
1973,0.0
1974,2.48771603317266e-09
1975,1.8946701985100844e-09
1976,1.89341031742174e-09
1977,1.9483983315637943e-09
1978,0.0
1979,1.2882890310095263e-09
1980,2.504666918312637e-09
1981,6.962825871426048e-10
1982,6.818714481937604e-10
1983,6.941931474102603e-10
1984,0.0
1985,1.9825241448501174e-09
1986,1.316708742038486e-09
1987,0.0
1988,0.0
1989,6.027806587205475e-10
1990,1.790998682693612e-09
1991,0.0
1992,0.0
1993,6.066071533972206e-10
1994,1.732010979083043e-09
1995,0.0
1996,5.833531990795393e-10
1997,1.0468480526881763e-09
1998,5.202560049433202e-10
1999,0.0
2000,1.4452057328639967e-09
2001,4.7774668110456275e-09
2002,4.77334616277858e-10
2003,0.0
2004,1.4389960889538145e-09
2005,9.809870693544553e-10
2006,1.3462255754603802e-09
2007,1.7452096434666942e-09
2008,0.0
2009,1.043139352674416e-09
2010,1.0353725654610457e-09
2011,2.937498577715303e-09
2012,2.6246955719955167e-09
2013,4.928311092555759e-09
2014,4.0717638150056246e-09
2015,2.696558282222483e-09
2016,2.0632391350972057e-09
2017,1.9523139216381935e-09
2018,3.437992557309144e-09
2019,1.6995007623421543e-09
