year,tes_DET airs_NOUN,tes_DET pères_NOUN
1800,6.288328968651058e-09,1.28910740304633e-07
1801,7.143547975374531e-09,8.334139067756041e-08
1802,2.0140561218795483e-08,8.727576528144709e-08
1803,7.801356893821776e-09,1.014176405078615e-07
1804,2.4718509461507665e-09,3.015658229799101e-07
1805,1.1371510622026904e-08,2.245873389483677e-07
1806,8.645007376628655e-09,2.5935022129885965e-08
1807,1.9928686256776018e-08,4.555128185756985e-08
1808,2.2660739507074368e-08,4.7587552121086674e-08
1809,6.7770917766551975e-09,6.777091843268579e-08
1810,7.020380365929668e-08,2.574139443822787e-07
1811,2.2563690471599784e-08,2.5070768572277302e-08
1812,1.0668832928217853e-08,6.934741625386209e-08
1813,5.751483289628823e-09,5.751483311833283e-08
1814,6.293354282149721e-09,2.8949430408431454e-07
1815,2.697223555614414e-09,1.564389611186101e-07
1816,4.6352077731626196e-09,7.648092648082638e-08
1817,1.71256075987003e-08,1.0119677151809725e-07
1818,1.5497530370112145e-08,1.2994083653516952e-07
1819,1.1386155129855524e-08,1.9874015377840948e-07
1820,1.3053129244156025e-08,2.361429771724488e-07
1821,1.577838126820552e-08,1.4299157324870748e-07
1822,6.015369535816717e-09,2.9274798407641356e-07
1823,2.569498536164616e-08,1.5911126183265623e-07
1824,2.86317822784099e-08,1.4315892205019054e-07
1825,8.805443485471187e-09,1.8139212154544282e-07
1826,1.2331177745572575e-08,1.559013190766123e-07
1827,8.295545583791863e-09,1.3457218689394423e-07
1828,2.0179061976932644e-08,1.5226019434155802e-07
1829,6.001223074036943e-09,1.0716470200122785e-07
1830,1.2524203008013046e-08,1.6907674504906822e-07
1831,1.5591206103948707e-09,2.7284611858746644e-07
1832,1.7588959622116818e-08,2.1783250325757564e-07
1833,1.737544208513242e-08,9.151066393542351e-08
1834,8.401078055442213e-09,2.1842802544469464e-07
1835,1.5126175867408165e-08,1.331103405277645e-07
1836,5.376600054063374e-09,1.8549270225376446e-07
1837,1.0436836728189292e-08,1.029767847660068e-07
1838,1.1361891871786156e-08,1.7674052821270436e-07
1839,1.11863602825224e-08,1.5031671030119043e-07
1840,1.1465439264668476e-08,1.5159858390845216e-07
1841,1.4767262079828924e-08,1.0401288674799503e-07
1842,1.6770663080478698e-08,1.9252720662166212e-07
1843,9.451057714215949e-09,2.1383018489196104e-07
1844,1.2623690537338916e-08,8.836583664795228e-08
1845,1.0602432709561072e-08,1.4452789720564851e-07
1846,1.4636253320432502e-08,1.1240642794341227e-07
1847,8.089835468183537e-09,2.1572893960097872e-07
1848,3.218088684420195e-09,1.0539240441476139e-07
1849,1.759677159540729e-08,1.0977033815251502e-07
1850,1.9009189777818847e-08,1.3306432578019667e-07
1851,1.2253933867611977e-08,1.4124271463522575e-07
1852,2.0833745395520964e-08,1.3216407546146058e-07
1853,1.911018188138769e-08,1.1764705387662389e-07
