year,mêmes_ADJ eaux_NOUN,mêmes_ADJ pots_NOUN
1800,4.936338200423052e-07,9.432493897065797e-09
1801,4.19088138414736e-07,2.3811825844433088e-09
1802,5.616979024125612e-07,1.7902721083373763e-08
1803,5.265915774543828e-07,2.3404069793286908e-08
1804,3.4605912446750153e-07,2.9662210465630778e-08
1805,2.2174445746259153e-07,4.8328921309348516e-08
1806,3.169836020333605e-07,0.0
1807,3.3024679169102455e-07,2.8469550272802735e-08
1808,5.053345262240327e-07,2.2660739951163578e-09
1809,4.0436646031594137e-07,0.0
1810,3.3931837606360205e-07,0.0
1811,3.860898232233012e-07,4.011322829455821e-08
1812,3.8141078562148323e-07,2.6672082320544632e-09
1813,2.933256553205865e-07,0.0
1814,2.5488085952929396e-07,3.1466771410748606e-09
1815,3.749140660147532e-07,0.0
1816,2.5261883251914696e-07,0.0
1817,2.95805961059159e-07,0.0
1818,4.92344611302542e-07,5.960588467246453e-09
1819,2.6809220798895694e-07,1.3456364911235141e-08
1820,2.3258303372131195e-07,1.1866481131050932e-09
1821,2.337172730904058e-07,0.0
1822,3.839811029138218e-07,7.017931125119503e-09
1823,2.154425686740069e-07,0.0
1824,2.5094917077694845e-07,8.421112696055388e-10
1825,3.733507867309527e-07,0.0
1826,2.853786895684607e-07,1.7615968683770689e-09
1827,2.9956137836961716e-07,9.217273055917019e-10
1828,3.164443853620469e-07,0.0
1829,3.052050772112125e-07,3.429270423183084e-09
1830,3.80944499056568e-07,0.0
1831,2.0736304406909767e-07,1.091384405071949e-08
1832,2.4218644512075116e-07,1.3529969367098715e-09
1833,3.741511989119317e-07,3.243415847009601e-08
1834,3.6591362118088e-07,3.733812370398937e-09
1835,3.509272801238694e-07,3.025235173481633e-09
1836,2.6412547526888375e-07,6.720750067579218e-10
1837,3.4302402696084755e-07,1.3915781860163179e-09
1838,2.6132349262297794e-07,8.837027110075724e-09
1839,2.86650475800343e-07,6.9914751765765e-10
1840,2.4013726829252846e-07,3.821813088222825e-09
1841,2.349920720234877e-07,1.0272877659645019e-08
1842,2.3009349092717457e-07,4.024959032733477e-09
1843,2.8707589194709726e-07,1.1813822142769936e-09
1844,3.507190626805823e-07,2.195424508855126e-09
1845,2.3269549842552806e-07,6.138250796539069e-09
1846,3.495137264053483e-07,1.1709002656346001e-09
1847,2.335265776309825e-07,1.941560512364049e-08
1848,1.9630340375442756e-07,1.6090443422100975e-09
1849,2.2037860958334932e-07,7.54147322368226e-09
1850,2.3693596062912547e-07,2.7155984128057753e-09
1851,3.147326026464725e-07,7.094382858952031e-09
1852,2.4674966425664024e-07,0.0
1853,2.974022095258988e-07,0.0
1854,2.8680068453468266e-07,6.234797567117312e-09
1855,2.5950922122319753e-07,0.0
1856,2.7542645852918213e-07,2.0708756931497874e-09
1857,2.65554092493403e-07,1.4644527812635033e-09
1858,1.986832529610183e-07,2.4468380654951716e-09
1859,3.258990943777462e-07,2.5460866748261424e-09
1860,2.755464834081067e-07,4.577183909670879e-10
1861,2.329686026314448e-07,1.8863854922557266e-09
1862,2.1912232739396131e-07,4.517986262886353e-10
1863,2.402412633273343e-07,9.989241656072068e-10
1864,2.752173884346121e-07,2.8768367688059016e-09
1865,2.47109340989482e-07,7.530950973944073e-09
1866,2.5301187633886e-07,7.784980660119345e-09
1867,2.203176450166211e-07,3.396968040192405e-09
1868,2.410658623830386e-07,2.4699371437009177e-09
1869,2.3440891538939468e-07,1.953407657850903e-09
