year,signes_NOUN heureux_ADJ
1800,1.5720821977538435e-08
1801,1.4287095950749062e-08
1802,1.5664880947952042e-08
1803,3.900678446910888e-09
1804,2.7190360185613827e-08
1805,1.1371510844071508e-08
1806,5.76333825108577e-09
1807,5.693910232196231e-09
1808,9.064295980465431e-09
1809,0.0
1810,5.616304221689461e-08
1811,6.769107585569145e-08
1812,5.3344164641089264e-09
1813,0.0
1814,3.1466771410748606e-09
1815,2.966945977789237e-08
1816,4.6352077731626196e-09
1817,9.341240669868967e-09
1818,4.768470951432846e-09
1819,3.1053151161586356e-09
1820,4.2719332071783356e-08
1821,3.648750634965836e-08
1822,2.90742860897808e-08
1823,1.1859224713361982e-08
1824,4.210556348027694e-09
1825,1.937197424695114e-08
1826,1.7615968683770689e-09
1827,1.474763688946723e-08
1828,6.420610709767516e-09
1829,6.001223074036943e-09
1830,6.262101504006523e-09
1831,0.0
1832,4.058990921151917e-09
1833,2.6642345218874652e-08
1834,1.7735608537350345e-08
1835,2.117664621437143e-08
1836,1.344150035720304e-08
1837,1.8090515752078318e-08
1838,1.2624323808552163e-08
1839,1.1885507689157748e-08
1840,8.280594876453051e-09
1841,3.852329122366882e-09
1842,1.8783142152756227e-08
1843,1.0041748765843295e-08
1844,1.2074834465636286e-08
1845,6.696273757711424e-09
1846,1.5221703009160592e-08
1847,3.775256551818984e-09
1848,3.218088684420195e-09
1849,1.256912263158938e-08
1850,4.752297222410107e-09
1851,1.4188765717904062e-08
1852,3.2552727180501506e-09
1853,1.911018188138769e-08
1854,2.909572138776184e-08
1855,2.7065379271107304e-08
1856,3.2616291889553395e-08
1857,1.4156376515472857e-08
1858,2.5447114637699997e-08
1859,7.638259802433822e-09
1860,1.0069804545764782e-08
1861,2.169343282787395e-08
1862,1.1294965851504912e-08
1863,1.0988165932701577e-08
1864,6.568777166648943e-08
1865,6.589582213223366e-09
1866,2.0435575009969398e-08
1867,1.3102591012170706e-08
1868,1.778354707937524e-08
1869,8.30198221279943e-09
1870,8.027668307875047e-09
1871,1.0621176826930423e-08
1872,1.8746751706544273e-08
1873,3.591602570907071e-09
1874,8.961913877669758e-09
1875,2.2886108563824337e-09
1876,1.3905833817773328e-08
1877,1.6699003069220453e-08
1878,3.0195443923020093e-09
1879,1.1607718342077078e-08
1880,7.701415505323439e-09
1881,3.4862537301449947e-09
1882,1.1979693681496428e-08
1883,2.464542170343975e-08
1884,1.3203393933736152e-09
1885,7.7347630522695e-09
1886,2.5813855497602844e-09
1887,1.9586774424595887e-09
1888,0.0
1889,2.5060546970934183e-09
1890,6.554386366985909e-09
1891,3.1871101313640793e-09
1892,7.522214851007902e-09
1893,6.774258043407144e-09
1894,3.780923574225881e-09
1895,1.8055843487019274e-09
1896,7.076434549446731e-09
1897,2.9133566670225264e-09
1898,2.26334195829736e-09
1899,1.6582735185011188e-09
1900,3.114631885736685e-09
1901,1.676621730339889e-09
1902,4.910283846193408e-10
1903,3.2401321625741275e-09
1904,1.1286712897629059e-08
1905,2.0643036169332163e-09
1906,2.0576738091193647e-09
1907,2.057137349353866e-09
1908,2.9468334439286537e-09
