year,deux_DET îles_NOUN,deux_DET iles_NOUN,deux_DET piles_NOUN
1800,7.483111250650154e-07,3.45858084394024e-08,6.288328657788611e-08
1801,3.9765748249820376e-07,1.904946067554647e-08,7.143547975374531e-08
1802,4.31903146136392e-07,1.5664880947952042e-08,1.2755688771903806e-07
1803,4.349256375046906e-07,5.851017448321727e-09,1.8723256367536578e-07
1804,5.166168648429448e-07,3.707776485839531e-08,2.125791809248767e-07
1805,2.3595885068061762e-07,1.421438877713399e-08,2.302730877090653e-07
1806,2.5935023462153595e-07,2.305335300434308e-08,2.0748018414451508e-07
1807,3.843389411173348e-07,1.4234775580490577e-08,1.224190668835945e-07
1808,5.982435360429861e-07,2.7192888385485503e-08,6.34500709750796e-08
1809,4.3599290422413617e-07,6.7770917766551975e-09,2.9367396514601296e-08
1810,2.316725460360658e-07,5.616304044053777e-08,6.786367556799178e-08
1811,3.0586337373961214e-07,1.2535384286138651e-08,5.164577991934038e-07
1812,2.1337665412346496e-07,1.0668832484128643e-08,1.0935553973467904e-07
1813,5.262607203349035e-07,2.0130191291656274e-08,1.0065095534805835e-07
1814,1.9194729983240677e-07,1.5733386149463513e-08,1.604805390797992e-07
1815,2.859056831283624e-07,2.697223555614414e-09,9.170560133497929e-08
1816,3.963102663817608e-07,1.3905623319487859e-08,4.6352079152711667e-07
1817,2.117347893682009e-07,7.784366928831332e-09,3.425121486433369e-08
1818,1.7285707087921764e-07,8.34482416500748e-09,5.126106117359086e-08
1819,3.0535596629022166e-07,2.070209959015301e-08,6.728182455617571e-08
1820,4.509262723217944e-07,1.5426425470366212e-08,1.3527788667033747e-07
1821,2.6231558702960456e-07,1.1833786284221048e-08,3.648750634965836e-08
1822,1.6442010064565693e-07,1.0025615893027862e-08,4.511527151862538e-08
1823,2.7078562614413215e-07,3.557767380701904e-08,6.028438837013539e-08
1824,2.2147527012350565e-07,2.189489389792243e-08,5.5579342017608724e-08
1825,2.395080560546603e-07,1.937197424695114e-08,9.245715482109063e-08
1826,3.44392194762122e-07,3.082794441944259e-08,3.8755132436563144e-08
1827,2.3872736854002596e-07,2.3964910667029216e-08,7.92685455053288e-08
1828,2.9901702625068083e-07,1.7427372100975447e-08,1.1648822706433748e-07
1829,3.369258259056096e-07,4.115124341286247e-08,8.315980970508008e-08
1830,2.5465880226782645e-07,2.5048406682159907e-08,8.036363396968227e-08
1831,3.3365179863409367e-07,7.795603274018958e-09,9.042899762334855e-08
