year,autres_ADJ eaux_NOUN,autres_ADJ pots_NOUN
1800,3.6157891258881136e-07,5.973912209356058e-08
1801,4.690929813477851e-07,7.857902772911984e-08
1802,4.430923468135006e-07,3.8043282302169246e-08
1803,4.661310697429144e-07,4.095712213825209e-08
1804,3.1392505661642645e-07,6.179627121127851e-08
1805,3.5251684948889306e-07,1.1371510844071508e-08
1806,2.507052272449073e-07,2.881669125542885e-08
1807,4.5551280436484376e-07,7.402083213037258e-08
1808,3.7163613342272583e-07,2.2660739062985158e-08
1809,3.95330346236733e-07,1.3328279635516083e-07
1810,4.0250179722534085e-07,3.042164919975221e-08
1811,3.93611060189869e-07,6.518399686683551e-08
1812,2.0804223765935603e-07,5.3344164641089264e-09
1813,2.3581081620704936e-07,1.1502966579257645e-08
1814,3.8704129678990284e-07,1.5733386149463513e-08
1815,5.475363877849304e-07,2.1577788444915313e-08
1816,3.221469455638726e-07,1.1588019432906549e-08
1817,2.9424907665998035e-07,1.0898113522728181e-08
1818,2.944530876902718e-07,2.384235386898581e-08
1819,1.418093802385556e-07,1.8631890696951814e-08
1820,2.75302369345809e-07,0.0
1821,1.64686852599516e-07,2.6626018723163725e-08
1822,4.3811940031446284e-07,3.60922172149003e-08
1823,1.7492355652848346e-07,2.7671523739059012e-08
1824,1.4652735558229324e-07,3.3684450784221553e-09
1825,1.6730341201309784e-07,4.138558296062911e-08
1826,2.395771616647835e-07,1.2331177856594877e-08
1827,2.497880871032976e-07,1.013900075008678e-08
1828,2.017906268747538e-07,2.935136400594729e-08
1829,3.1720750826025323e-07,1.2002446148073886e-08
1830,2.6092089910889626e-07,1.461157062010443e-08
1831,3.2117884529725416e-07,3.1182412207897414e-09
1832,2.3948047100930125e-07,5.411987746839486e-09
1833,4.888291300630954e-07,4.9809603552830595e-08
1834,2.3616362909706368e-07,5.600718555598405e-09
1835,2.4201881387853064e-07,1.8151411040889798e-08
1836,2.022945722046643e-07,2.2850549896702432e-08
1837,3.4302402696084755e-07,1.8090515752078318e-08
1838,2.745790368408052e-07,1.64116205070286e-08
1839,2.195323247633496e-07,1.3283802502428443e-08
1840,1.745294753163762e-07,1.46502836528839e-08
1841,3.1332277217188675e-07,1.733548060656176e-08
1842,2.2875184413351235e-07,1.2745703159566801e-08
1843,1.8193286166479083e-07,1.2404512972352677e-08
1844,2.952845932213677e-07,1.6465683927435748e-08
1845,1.975400749643086e-07,1.2276501593078137e-08
1846,2.494017508070101e-07,1.6978054517835517e-08
1847,1.3213397664912918e-07,1.7258315665458213e-08
1848,2.156119478513574e-07,3.137636639394259e-08
1849,2.379753851755595e-07,2.6814127807028854e-08
1850,1.4867900688386726e-07,1.0862393651223101e-08
1851,1.8703372006712016e-07,3.418202609850596e-08
1852,2.070353417593651e-07,1.8229528109259263e-08
