year,six_DET hommes_NOUN,six_DET pommes_NOUN
1800,1.0910250551887657e-06,0.0
1801,9.643789713464912e-07,2.3811825844433088e-09
1802,7.340115644183243e-07,1.1189200677108602e-08
1803,5.012371651069714e-07,0.0
1804,7.489708107044635e-07,4.943701892301533e-09
1805,6.851335196955688e-07,1.421438877713399e-08
1806,6.483755683461823e-07,0.0
1807,5.722379601280636e-07,0.0
1808,6.186382250916722e-07,0.0
1809,7.296668798062456e-07,2.259030518203531e-09
1810,7.816023597229105e-07,0.0
1811,6.919531667648471e-07,0.0
1812,4.880991042455207e-07,0.0
1813,6.671720527151592e-07,0.0
1814,7.268824404604857e-07,0.0
1815,6.257558453626189e-07,1.6183340889597275e-08
1816,7.393156664647904e-07,2.3176038865813098e-09
1817,6.398749441416385e-07,1.556873407970727e-09
1818,8.988567863355001e-07,3.5763532135746345e-09
1819,6.603969762153383e-07,4.140420006848444e-09
1820,1.3183660350080117e-06,7.119888678630559e-09
1821,6.755119628110151e-07,0.0
1822,7.940287645169519e-07,9.023054303725075e-09
1823,8.756060552173039e-07,5.929612356680991e-09
1824,8.244269160684325e-07,1.0105335235266466e-08
1825,8.462030862688152e-07,0.0
1826,9.85613439752342e-07,0.0
1827,8.940754767650105e-07,9.217273055917019e-10
1828,1.0245460586588706e-06,9.172301140836225e-09
1829,7.672992552443247e-07,8.57317605795771e-10
1830,8.036363574603911e-07,0.0
1831,8.543981167008496e-07,1.870944643656003e-08
1832,7.549722838007256e-07,1.6235963684607668e-08
1833,8.722472166766693e-07,0.0
1834,7.756995010765877e-07,1.6802156110884425e-08
1835,8.939570150801046e-07,7.563087933704082e-10
1836,8.474865964558376e-07,4.032450096058682e-09
1837,1.0088941770902693e-06,2.7831563720326358e-09
1838,8.931709203352511e-07,6.312161904276081e-10
1839,9.242730243386177e-07,6.9914749545318955e-09
1840,9.955823543350562e-07,3.821813088222825e-09
1841,7.422154340019915e-07,1.2841097074556274e-09
1842,7.741337881839172e-07,4.024959032733477e-09
1843,5.977794153011473e-07,2.953455480181333e-09
1844,6.042906193215458e-07,1.6465684371524958e-09
1845,5.54674681296774e-07,2.7901139176833567e-09
1846,6.094535933698353e-07,1.6978053629657097e-08
1847,6.428722727491731e-07,2.6966118227278457e-09
1848,6.886709904563304e-07,0.0
1849,4.834922506802286e-07,0.0
1850,6.286610414463212e-07,6.788996032014438e-10
1851,5.52071938386689e-07,1.9348316282474798e-09
1852,4.746187496351695e-07,5.208436348880241e-09
1853,6.354135635433522e-07,2.9859659189668264e-09
1854,6.333514726009071e-07,1.0391328908454511e-09
1855,5.896007237993217e-07,9.021793090369101e-09
1856,5.808806360363405e-07,1.5531567143511893e-09
1857,7.200225766723634e-07,2.4407544874094356e-09
1858,6.268798742325998e-07,1.468102750479261e-09
1859,6.30411033597511e-07,6.110608019582742e-09
