year,leurs_DET îles_NOUN,leurs_DET iles_NOUN,leurs_DET piles_NOUN
1800,3.3956976608351397e-07,1.8864987794131594e-08,4.4018303668735825e-08
1801,3.071725651615509e-07,1.1905912700171939e-08,4.7623651688866175e-09
1802,2.0364345232337655e-07,1.1189200677108602e-08,1.5664880947952042e-08
1803,1.7748087088875764e-07,1.950339223455444e-09,1.1702035562777269e-08
1804,1.97748079244775e-07,1.7302956178966156e-08,2.2246657849223084e-08
1805,1.02343598484822e-07,5.685755422035754e-09,5.685755422035754e-09
1806,6.051504897186533e-08,0.0,3.1698359492793315e-08
1807,2.619198742337403e-07,1.7081731584767113e-08,0.0
1808,3.331128812789075e-07,1.5862518409903714e-08,6.798221985349073e-09
1809,4.450290180812999e-07,9.036122072814123e-09,6.325285539787728e-08
1810,1.2870697219113936e-07,6.786367867661625e-08,1.8721014072298203e-08
1811,8.273353557797236e-08,1.2535384286138651e-08,5.0141535368197765e-09
1812,2.9339290108509886e-07,1.600324850414836e-08,5.067695596494559e-08
1813,2.5881675935757187e-07,0.0,5.751483289628823e-09
1814,2.3285410222229075e-07,3.1466771410748606e-09,1.5733385261285093e-08
1815,2.4275013288388436e-07,5.394447111228828e-09,0.0
1816,2.2712518443768204e-07,4.6352077731626196e-09,2.3176038865813098e-09
1817,1.1832237589715078e-07,4.670620223912181e-09,4.670620334934483e-09
1818,2.2650236530807888e-07,3.5763532135746345e-09,1.0729059418679299e-08
1819,2.929347147073713e-07,1.656168058250529e-08,5.175525008560555e-09
1820,3.55994444589669e-07,2.254631414899677e-08,7.119888678630559e-09
1821,1.715899031751178e-07,2.5639868672655552e-08,4.930744257336528e-09
1822,2.1454818011079624e-07,1.5038423839541792e-08,1.2030739071633434e-08
1823,2.24336996978991e-07,1.087095569118901e-08,3.9530747564242574e-09
1824,1.1536924660049408e-07,3.3684450784221553e-09,8.421112696055388e-09
1825,2.0956954926987237e-07,8.805443485471187e-09,1.8491430164857547e-08
1826,2.783323056476661e-07,3.435113882233054e-08,1.2331178300684087e-08
