year,les_DET oies_NOUN,les_DET pois_NOUN
1800,1.2576657759666432e-06,5.118699866191179e-06
1801,1.1977348979286262e-06,3.5646303047087713e-06
1802,1.163676898841004e-06,1.6560016433686542e-06
1803,2.1687771649681054e-06,2.7675312779251726e-06
1804,1.3867083934471225e-06,2.419942048526025e-06
1805,2.2146017630841897e-06,2.2060731206252626e-06
1806,5.79215488016871e-07,8.760274168295723e-07
1807,5.523092792003581e-07,9.451890949918607e-07
1808,9.789439445739845e-07,1.7562073439947312e-06
1809,1.5790623262290637e-06,3.3117387587822122e-06
1810,8.284048975681912e-07,1.2870696970423978e-06
1811,6.86939027438882e-07,1.3387790245289466e-06
1812,3.040617375660304e-07,1.2642566442622183e-06
1813,4.486156939265129e-07,8.828526887327826e-07
1814,4.6256154684343187e-07,8.433094680349029e-07
1815,5.772058635500343e-07,8.091670853360711e-07
1816,7.207747927395758e-07,1.6339107400398234e-06
1817,6.896949305001954e-07,1.0571170575568445e-06
1818,1.624856460047397e-06,1.0740980656009924e-06
1819,3.560761119292266e-07,4.989205955041598e-07
1820,6.028172503391716e-07,1.0667966696686904e-06
1821,3.8361188581248484e-07,7.100271427473714e-07
1822,7.128213184159904e-07,5.804831886280226e-07
1823,6.453394680860924e-07,8.48922802720864e-07
1824,4.7326652907742073e-07,3.924238614061437e-07
1825,8.04817498867294e-07,7.282101668337759e-07
1826,4.862007410011415e-07,8.693480353372252e-07
1827,7.521294603796136e-07,7.972941140077516e-07
1828,6.741641236374107e-07,6.925087250309048e-07
1829,5.332515518041703e-07,9.053273847259291e-07
1830,5.604580937124126e-07,6.241227723524645e-07
1831,5.347783620379687e-07,1.0648793917766852e-06
1832,4.7354891563600177e-07,6.940874506256023e-07
1833,5.444305370971847e-07,1.3054749192775716e-06
1834,6.823541847111869e-07,1.2190897678010515e-06
1835,6.239547474251594e-07,6.973166932766617e-07
1836,6.431757593183818e-07,6.888768826485148e-07
1837,5.656765456052426e-07,7.883290515930952e-07
1838,5.655697066231369e-07,7.195864759612647e-07
1839,5.949745203182033e-07,6.467114292973974e-07
1840,4.834593818614508e-07,6.204076763438593e-07
1841,4.25040309615099e-07,7.454257096028982e-07
1842,4.320122641843227e-07,6.312477296432917e-07
1843,4.690087438419255e-07,7.63763610578394e-07
1844,4.7476054065853646e-07,8.935377491248175e-07
1845,6.679532877917893e-07,7.896022644615641e-07
1846,3.9225158054989606e-07,7.558161190246437e-07
1847,7.286245065074581e-07,6.239959891018998e-07
1848,5.044354058902911e-07,6.983252713865795e-07
1849,4.047257355921374e-07,8.270482627636966e-07
1850,4.4332145066050543e-07,6.286610512162838e-07
1851,5.559416085265667e-07,7.010540201690674e-07
1852,5.162862439789251e-07,6.276165764873554e-07
1853,6.819946207770045e-07,6.963272500826179e-07
1854,4.494249861153321e-07,5.632100270602791e-07
1855,5.046897229021852e-07,6.59652268808486e-07
1856,4.902798327321989e-07,7.936631307714492e-07
1857,4.115112304248214e-07,6.07747865366548e-07
1858,4.0519638666580704e-07,4.6636733541660647e-07
1859,5.412980277341717e-07,5.387519381727657e-07
1860,4.641264600979689e-07,4.801465856019149e-07
1861,4.7253954882364724e-07,6.074161052471716e-07
1862,4.716777590729748e-07,5.403511598167654e-07
1863,4.390271755028152e-07,7.42700108968819e-07
1864,5.489963399440967e-07,6.065330906412925e-07
1865,5.492887309443972e-07,5.704695402730664e-07
1866,4.1406367046192827e-07,5.96037580180564e-07
1867,5.74572872835688e-07,5.39632631912923e-07
1868,6.001947054912193e-07,8.298988483090852e-07
1869,4.903053287819148e-07,5.205831481447376e-07
1870,4.656047671858232e-07,5.412942059024317e-07
1871,5.703572205639773e-07,5.183134597075423e-07
1872,4.3540843108758054e-07,5.230948390000378e-07
1873,5.225781896101012e-07,6.782143300299026e-07
1874,5.580284909711963e-07,5.120239889855327e-07
1875,4.828969011327899e-07,4.823247401475328e-07
1876,4.6554313826163707e-07,5.241894809326908e-07
1877,6.110598054220873e-07,6.654861817168012e-07
1878,4.813153733351783e-07,5.145303469955564e-07
1879,4.661415058393459e-07,5.370096793910761e-07
1880,6.327996473487474e-07,5.615615394916063e-07
1881,5.68956634694473e-07,5.201490540507336e-07
1882,5.051437419467675e-07,5.53728050967095e-07
1883,6.243506760483797e-07,5.466228287787089e-07
1884,5.644450800090794e-07,5.585035731670018e-07
1885,4.10586999510798e-07,6.265157654894438e-07
1886,4.5238780543854773e-07,6.137243919734914e-07
1887,4.968511522207564e-07,6.117602300292901e-07
1888,4.3496617152527506e-07,6.378658607975041e-07
1889,4.4858378878132044e-07,6.396704588240709e-07
1890,4.817473957530183e-07,7.11806367181822e-07
1891,4.2707273628650455e-07,7.145500706684516e-07
1892,5.904938618073174e-07,7.108493154106554e-07
1893,5.413248107544177e-07,6.989802887602536e-07
1894,3.7494157112405446e-07,5.17986517678537e-07
1895,3.9482110825161953e-07,5.019524635940797e-07
1896,5.183488394067126e-07,4.369698372030939e-07
1897,4.492396001865018e-07,7.464020246317205e-07
1898,4.837893285980499e-07,6.071414837549582e-07
1899,5.378333831629334e-07,7.434593083388563e-07
1900,4.2981919623485965e-07,6.29674751451148e-07
1901,3.917705884148859e-07,4.733661871370032e-07
1902,3.3831854984178733e-07,5.062502577146688e-07
1903,3.9529613271582775e-07,5.81603728733171e-07
1904,4.6651745932990707e-07,5.342377384920383e-07
1905,4.180214836502216e-07,5.516851349085528e-07
1906,4.840677552131467e-07,7.34589548301301e-07
1907,4.4639880325547665e-07,5.636556466015463e-07
1908,4.16976919659362e-07,5.31412290172284e-07
1909,3.9001974716512677e-07,5.583498232653028e-07
1910,5.509819449578401e-07,6.851200922142198e-07
1911,4.878783039785617e-07,6.61322511419371e-07
1912,4.3759138845800294e-07,6.621174559739984e-07
1913,3.887091333254489e-07,6.846159994466916e-07
1914,4.855139064119385e-07,5.678838679301634e-07
1915,2.473959943571913e-07,4.688743275860219e-07
1916,2.6809406961092463e-07,6.361740332305743e-07
1917,3.893080684491679e-07,6.854015381918543e-07
1918,3.652667697195966e-07,9.235046647404488e-07
1919,4.797288877256278e-07,6.878262652776357e-07
1920,4.3616053879702577e-07,5.982063080445243e-07
1921,4.4300572987765463e-07,5.1191773842163e-07
1922,4.84730355410079e-07,5.562963307781388e-07
1923,4.299459046563925e-07,4.5967054296269794e-07
1924,4.963275417324553e-07,4.911708972876738e-07
1925,3.838364168728958e-07,5.620068854739202e-07
1926,4.514186233706141e-07,6.966336414393481e-07
1927,4.325899194412841e-07,7.793307936765359e-07
1928,3.850575769348552e-07,6.478565235390477e-07
1929,4.1999331834574605e-07,5.336254531584927e-07
1930,3.497700085119959e-07,5.209787410365152e-07
1931,3.25052660343772e-07,5.907974669483451e-07
1932,2.487814780849362e-07,5.194820511533749e-07
1933,4.886502225076583e-07,6.366217490949566e-07
1934,3.9059950296405077e-07,5.427655871415027e-07
1935,4.176931147625851e-07,5.313918238769588e-07
1936,4.910509403543983e-07,5.274250849396367e-07
1937,3.361828575521031e-07,5.854869860044687e-07
1938,3.656190541434512e-07,6.210337737400096e-07
1939,4.863508173968967e-07,4.7411556991505677e-07
1940,3.52473818132637e-07,6.161952619265776e-07
1941,1.345885138448466e-06,6.788455815254224e-07
1942,5.006449459443729e-07,7.615871693289478e-07
1943,6.532279093196536e-07,6.73550585084115e-07
1944,4.530592363494179e-07,5.205361528481944e-07
1945,4.6837837075486277e-07,5.293764835379022e-07
1946,4.705333092047681e-07,5.178650823722819e-07
1947,3.7193117963241207e-07,6.127327898397539e-07
1948,5.175018493730477e-07,6.142616453264083e-07
1949,3.16107669373622e-07,5.536792633265009e-07
1950,4.094614123317797e-07,4.690194483902843e-07
1951,4.040671335303614e-07,5.256071027304188e-07
1952,4.112473401818306e-07,6.748674499235108e-07
1953,3.8247087186249473e-07,5.774771347777374e-07
1954,4.3780963210338086e-07,5.18921685399576e-07
1955,3.144178606362402e-07,5.621979148884293e-07
1956,3.1657744337110216e-07,5.10186794144829e-07
1957,3.454499761801344e-07,5.044806551390835e-07
1958,4.309838868010729e-07,4.2932943389306644e-07
1959,6.960171283765249e-07,3.921878497514797e-07
1960,4.429333402278246e-07,5.34288334519406e-07
1961,4.2383771337028975e-07,4.7594892005342615e-07
1962,3.640283017247725e-07,4.046168318172505e-07
1963,3.633921794587991e-07,6.259139686548565e-07
1964,3.814648197320025e-07,3.2853429077217555e-07
1965,3.2175616215823766e-07,3.6717410312192555e-07
1966,3.5505469142549373e-07,3.6059375796426707e-07
1967,3.3033247959224354e-07,3.7421246940061437e-07
1968,3.876091891896749e-07,3.0451800048236777e-07
1969,5.173062227470382e-07,3.0793118532823627e-07
1970,3.3386743991670187e-07,2.9891711311735847e-07
1971,3.2834358609790115e-07,3.350235258103851e-07
1972,3.303814661848037e-07,3.314075005533823e-07
1973,2.84481314949403e-07,3.269329764687967e-07
1974,3.200950375870093e-07,3.802886348047707e-07
1975,2.918566441856285e-07,3.5810980847372775e-07
1976,2.7653470180410977e-07,2.776774168378182e-07
1977,3.7846475819947045e-07,3.772893809039779e-07
1978,4.829700692710048e-07,4.455443560757999e-07
1979,3.388292570960516e-07,3.7803748909048807e-07
1980,3.54753392883822e-07,3.212110006867164e-07
