year,moins_ADV uni_VERB,moins_ADV puni_VERB
1800,1.8864987794131594e-08,5.0306631749208464e-08
1801,1.4287095950749062e-08,0.0
1802,4.0281122437590966e-08,2.2378401354217203e-08
1803,5.460949736857401e-08,1.950339223455444e-09
1804,1.2359254952798437e-08,2.4718509905596875e-08
1805,1.421438877713399e-08,0.0
1806,0.0,2.881669125542885e-09
1807,2.8469550272802735e-08,5.693910232196231e-09
1808,2.7192887941396293e-08,1.1330369531492579e-08
1809,4.518061036407062e-09,1.8072244145628247e-08
1810,1.8721014072298203e-08,2.106114038724627e-08
1811,2.0056614147279106e-08,2.2563691359778204e-08
1812,2.400487453257938e-08,1.0668832928217853e-08
1813,3.4508900625951355e-08,2.8757416448144113e-09
1814,0.0,0.0
1815,5.394447111228828e-09,1.3486118000116676e-08
1816,3.7081662185300956e-08,0.0
1817,1.0898113522728181e-08,4.670620334934483e-09
1818,2.026600220972341e-08,2.384235475716423e-09
1819,7.24573512300708e-09,3.519356894798875e-08
1820,1.4239777357261119e-08,5.933240565525466e-09
1821,9.86148829262845e-10,8.875339574387908e-09
1822,3.208197085768916e-08,1.0025615893027862e-08
1823,6.917880934764753e-09,1.581229902569703e-08
1824,2.3579115548955087e-08,1.0105335235266466e-08
1825,9.68598712347557e-09,8.805443485471187e-09
1826,7.927186018719112e-09,2.7304752237000685e-08
1827,6.452091305675367e-09,1.013900075008678e-08
1828,5.503380862137419e-09,3.3020285172824515e-08
1829,2.0575622983187714e-08,1.2859763920403111e-08
1830,2.6092090266160994e-08,1.0436835395921662e-08
1831,7.795603274018958e-09,4.677361609140007e-09
1832,1.6235963684607668e-08,1.352996914505411e-08
1833,2.89590715851773e-08,8.108539617524002e-09
1834,8.401078055442213e-09,2.7070139907436896e-08
1835,1.5126175867408165e-08,1.4369867074037757e-08
1836,1.2769425516978572e-08,1.4785650037651976e-08
1837,1.7394727436226276e-08,2.6439986200443855e-08
1838,2.840472923537618e-08,3.029837714052519e-08
1839,2.307186797168015e-08,1.3982950353153e-09
1840,1.0828470564661075e-08,2.5478754661634184e-09
1841,8.346713542550788e-09,4.494383976094696e-09
1842,4.024959032733477e-09,1.1404051036834062e-08
1843,1.1223130869097986e-08,1.063243981747064e-08
1844,9.879410178825765e-09,1.1525978393933656e-08
1845,1.562463758375543e-08,1.6182660544927785e-08
1846,1.6392604607062822e-08,2.4588905134237393e-08
1847,7.011190739092399e-09,1.1865092020002521e-08
1848,1.6090443422100975e-09,1.769948809737798e-08
1849,1.6758828991214614e-08,1.0893239199560867e-08
1850,7.467895635215882e-09,5.431196825611551e-09
1851,2.579775504329973e-09,1.1608989325395669e-08
1852,1.6276363368206148e-08,3.2552727180501506e-09
1853,1.3735443005202796e-08,1.0152284346531815e-08
1854,7.79349651480743e-09,3.63696517347023e-09
1855,8.491099379170919e-09,3.1841622671890946e-09
1856,2.485050742961903e-08,9.836659486950339e-09
1857,2.3431244500216053e-08,1.2691923956253959e-08
1858,6.8511463169329545e-09,5.3830437884982985e-09
1859,2.5460866748261424e-09,1.0693564256314403e-08
1860,5.950338888283113e-09,9.612086238064421e-09
1861,1.6034276129062164e-08,1.131831339762357e-08
1862,6.325180823552046e-09,8.132375661773494e-09
1863,1.9978483312144135e-09,1.9978482868054925e-08
1864,1.102787461348953e-08,7.671564716815737e-09
1865,1.5061901947888146e-08,6.589582213223366e-09
1866,8.271541673821048e-09,1.2650593461671633e-08
1867,1.2132028714972876e-08,8.73506067478047e-09
1868,2.4699369660652337e-08,1.531360993567432e-08
1869,2.3440891894210836e-08,1.0255390314739543e-08
1870,8.027668307875047e-09,4.587239033071455e-09
1871,7.434824311758348e-09,5.3105884134652115e-09
1872,6.652073114565837e-09,3.0236697590169115e-09
1873,9.577607151811662e-09,2.454261860407314e-08
1874,2.3898436563030145e-09,5.377148060148329e-09
1875,2.5174719198162165e-08,6.293679799540541e-09
1876,1.6928840551599933e-08,3.02300739996042e-09
1877,3.0924081073635534e-09,9.27722432209066e-09
1878,6.6429977074733415e-09,3.0195443923020093e-09
1879,1.5273313280772527e-08,1.0996785704264767e-08
1880,5.134277003548959e-09,1.2835692508872398e-08
