year,ces_DET anneaux_NOUN,ces_DET panneaux_NOUN
1800,5.156429807584573e-07,7.545994940016953e-08
1801,6.548251860749588e-07,3.5717739876872656e-08
1802,5.549843535845866e-07,6.265952379180817e-08
1803,7.957383800771822e-07,9.361628272586131e-08
1804,4.029116880133188e-07,1.3100810036803523e-07
1805,5.970042931124908e-07,5.117179835423258e-08
1806,3.4291863570956593e-07,4.034336775760039e-08
1807,3.6156330907033407e-07,1.1672515931593352e-07
1808,4.328201441694546e-07,1.3596443970698147e-08
1809,9.126483320187617e-07,8.584316191218022e-08
1810,4.0016167801582014e-07,3.2761775958789485e-08
1811,3.9361105663715534e-07,1.128184514698205e-07
1812,3.974140128093495e-07,8.001624607345548e-08
1813,5.262607061240487e-07,3.163315653864629e-08
1814,3.681612170680637e-07,1.6362720955953591e-07
1815,2.616306780112154e-07,5.933891955578474e-08
1816,2.148418857927936e-06,9.965696534663948e-08
1817,5.558038154163114e-07,5.4490568501819325e-08
1818,2.92068836671433e-07,7.152706427149269e-09
1819,3.5711121881831787e-07,2.070210003424222e-09
1820,2.219031998151877e-07,2.254631414899677e-08
1821,3.0866458544664965e-07,6.21273743561801e-08
1822,3.7997084234575595e-07,4.411270992932259e-08
1823,3.458940298628477e-07,2.174191138237802e-08
1824,4.303188561038951e-07,5.557934468214398e-08
1825,4.261834334329251e-07,9.333769579455975e-08
1826,3.584849750382091e-07,1.9377566218281572e-08
1827,3.8436027693933283e-07,2.857354652885391e-08
1828,4.54028899810055e-07,5.96199587477031e-08
1829,3.9950999308757673e-07,6.687077203082481e-08
1830,4.2373554265395796e-07,9.601889061627844e-08
1831,3.617159762825395e-07,9.354723218280014e-09
1832,3.937221251248957e-07,9.065079709102974e-08
1833,4.274359071132494e-07,8.456049194194293e-08
1834,4.489909315452678e-07,1.502859525714939e-07
1835,4.106756890109864e-07,3.6302822081779595e-08
1836,3.071382863595318e-07,5.107770206791429e-08
1837,4.620039639746665e-07,5.357576027265054e-08
1838,5.106539049393177e-07,6.122797024943338e-08
1839,3.1741296524501195e-07,6.711815991877756e-08
1840,5.051163007863124e-07,9.745623374968204e-08
1841,3.441413873872534e-07,1.0080261070299912e-07
1842,3.1998423821733013e-07,1.1672381283744926e-07
1843,2.9829900327627e-07,8.801297290972343e-08
1844,3.9792068662336533e-07,7.025358428336403e-08
1845,3.7275921727086825e-07,1.6796486690395795e-07
1846,4.5606564924582926e-07,9.074477347326138e-08
1847,4.06109741390992e-07,1.2188685616365547e-07
1848,2.9847772964330943e-07,7.562508752556596e-08
1849,3.5361131622835273e-07,8.211826596493665e-08
1850,4.888077214104669e-07,8.282575336693299e-08
1851,3.244067592333977e-07,1.276988843557092e-07
1852,4.492276346468316e-07,1.0937716155012822e-07
1853,4.3953419748277156e-07,1.313824977700051e-07
1854,3.933118080112763e-07,8.209149893190215e-08
1855,3.3062217852375397e-07,1.369189703837037e-07
1856,3.4997799502889393e-07,1.511739222692654e-07
1857,4.0174818849436633e-07,9.372497622450737e-08
1858,4.6098426764729084e-07,1.717680291335455e-07
1859,3.3557422796093306e-07,8.962224740116653e-08
1860,4.84723763349848e-07,1.4692760252899006e-07
1861,3.0983881771362576e-07,9.196129369115624e-08
1862,4.039079612994101e-07,1.5135254649578656e-07
1863,3.116643441103406e-07,2.0328106486999786e-07
1864,4.4111495611787177e-07,1.7692546450120972e-07
1865,4.010231506867967e-07,7.719224903723898e-08
1866,3.7416562292946765e-07,1.2845218044787998e-07
1867,6.21645142473426e-07,1.8925964440086318e-07
1868,5.913029355042454e-07,2.63295284241849e-07
1869,4.6295760824932586e-07,1.4504052003871948e-07
1870,4.208791892779118e-07,3.0447800014599125e-07
1871,4.365303709619184e-07,1.7737365798353721e-07
1872,5.406321434975325e-07,1.3001779741728114e-07
1873,5.423320104114282e-07,1.8317172845172536e-07
1874,6.159822021345462e-07,1.332337831172481e-07
1875,5.687197983661463e-07,2.7234468547021606e-07
1876,5.127020585860009e-07,1.3361692907665201e-07
1877,5.139582128776965e-07,1.8430751325126948e-07
1878,5.386867201195855e-07,2.204267417482697e-07
1879,5.162379892453828e-07,2.0527333077779986e-07
1880,4.2742856010136165e-07,1.3284942035340919e-07
1881,5.59892356477576e-07,1.7640443772393155e-07
1882,4.785221818792706e-07,2.0432032243888898e-07
1883,4.4993694103823145e-07,1.8262889511788671e-07
1884,5.446400166420062e-07,1.6438226069226403e-07
1885,6.091125612783799e-07,1.8176692151428142e-07
1886,4.6400404585256183e-07,1.8005163937573343e-07
1887,5.255784287783172e-07,1.906445952215563e-07
1888,4.615967412746613e-07,1.9085250357875339e-07
1889,4.1412554452335826e-07,2.625092250241323e-07
1890,3.6573476691614815e-07,1.7631300153198026e-07
1891,3.920145204006076e-07,1.995130816112578e-07
1892,3.6545426240763845e-07,1.6674243141778788e-07
1893,5.043743058763539e-07,2.2909309294050217e-07
1894,3.7305112954300057e-07,2.6025356447689774e-07
1895,3.0574562970286934e-07,2.028273051735141e-07
1896,3.378997632808023e-07,1.9696076947184338e-07
1897,3.635869418872062e-07,2.3539922366921928e-07
1898,3.711880864898376e-07,2.71035190735347e-07
1899,3.5210673843266704e-07,2.4044966195901907e-07
1900,3.638928163240962e-07,2.2061975357701158e-07
1901,2.867023098929167e-07,2.7943694647092343e-07
1902,8.234545845198227e-07,5.322747682612317e-07
1903,3.369737555658503e-07,2.802714362815095e-07
1904,3.0957841090639704e-07,2.418581388496932e-07
1905,3.6280135873312247e-07,2.7764883014924635e-07
1906,3.1430968050472075e-07,2.4074783055993976e-07
1907,3.0239919723840103e-07,2.550850339844146e-07
1908,2.902630953371954e-07,2.3722008535287387e-07
1909,2.5744603249222564e-07,2.67897902972436e-07
1910,2.6881077985763113e-07,2.2338549143796627e-07
1911,3.5380489293856954e-07,2.5803814196478925e-07
1912,2.953741784494923e-07,2.1046061959850704e-07
1913,3.4310344432242346e-07,2.2537707167202825e-07
1914,3.776963595214511e-07,3.1742566619641366e-07
1915,2.674233030575124e-07,1.5314989809667168e-07
1916,1.9557683117454872e-07,2.010705628663345e-07
1917,2.1603855770990776e-07,1.3159709055798885e-07
1918,1.8952521152471036e-07,1.780388352301543e-07
1919,2.1178050957360028e-07,2.2006756950077033e-07
1920,1.8703412507647954e-07,2.2943862276747495e-07
1921,2.1733785615651868e-07,1.8856141181800012e-07
1922,2.530631810770956e-07,2.309293840596638e-07
1923,2.632755098375128e-07,2.4735159698252573e-07
1924,2.8361574067048423e-07,2.7072410802020386e-07
1925,2.067657511872767e-07,2.1776392955530355e-07
1926,2.2515199304962152e-07,2.6527810348397907e-07
1927,1.9845620613523351e-07,2.6200678604482164e-07
1928,2.399468677083405e-07,2.627989488246385e-07
1929,2.2280812572716968e-07,2.595714647668501e-07
1930,2.2792819365236028e-07,3.130073835677649e-07
1931,2.9083659569550946e-07,2.8057177559048796e-07
1932,2.2905431862341175e-07,2.8933176565715257e-07
1933,2.156484484316934e-07,2.489133734684401e-07
1934,1.8092186593321458e-07,2.3483897493292716e-07
1935,3.3271828669967363e-07,2.95616622736361e-07
1936,2.7523101664428395e-07,2.5704394346348636e-07
1937,2.0649433452035737e-07,2.467859161470187e-07
1938,2.1003647177053608e-07,2.1911213110570316e-07
1939,2.064696786874265e-07,2.2788134401707794e-07
1940,3.0429395536657466e-07,2.0539842182643042e-07
1941,3.040047644731203e-07,2.243142063207415e-07
1942,2.39702728777047e-07,2.0025798264100558e-07
