year,trois_DET eaux_NOUN,trois_DET peaux_NOUN
1800,9.432493897065797e-09,3.458580977167003e-08
1801,8.096020565062645e-08,2.8574191901498125e-08
1802,1.1189200677108602e-08,6.713520406265161e-09
1803,2.3404069793286908e-08,3.900678446910888e-09
1804,1.730295728918918e-08,4.69651695311768e-08
1805,2.842877755426798e-08,3.1271653710973624e-08
1806,5.76333825108577e-09,8.645007376628655e-09
1807,1.9928686256776018e-08,1.1387820464392462e-08
1808,2.2660739062985158e-08,6.798221985349073e-09
1809,5.421673421324158e-08,7.680704072754452e-08
1810,9.594519667643908e-08,4.44624070894406e-08
1811,7.019814773912003e-08,4.011322962682584e-08
1812,1.600324850414836e-08,6.668020802180763e-08
1813,3.738464116054274e-08,5.751483289628823e-09
1814,4.090680150170556e-08,0.0
1815,3.506390555685357e-08,2.697223555614414e-09
1816,2.3176038865813098e-09,2.3176038865813098e-08
1817,2.1796227045456362e-08,0.0
1818,2.6226590676969863e-08,1.7881765401739358e-08
1819,1.2421260464634543e-08,3.1053151161586356e-09
1820,3.5599443393152796e-09,3.9159388620646496e-08
1821,5.9168927535324656e-09,1.972297702934611e-08
1822,2.7069162911175226e-08,1.7043547018147365e-08
1823,7.609668595254249e-08,1.7788837070042973e-08
1824,5.221090049190025e-08,2.6105448469593284e-08
1825,3.874394849390228e-08,2.4655239627691117e-08
1826,2.906634755106552e-08,1.8496766784892316e-08
1827,2.949527377893446e-08,2.7651818612639545e-09
1828,4.219258542548232e-08,1.1006761724274838e-08
1829,2.8291481157793896e-08,4.286588028978855e-09
1830,5.844628248041772e-08,1.982998831806526e-08
1831,4.053713453799901e-08,1.5591206548037917e-08
1832,3.111892965534935e-08,2.3000948701223933e-08
1833,5.21263281427764e-08,4.6334515335644255e-08
1834,3.733812370398937e-09,1.7735608537350345e-08
1835,6.806779140333674e-09,1.8907719834260206e-08
1836,1.6129799718100912e-08,2.2178475500567174e-08
1837,5.5663127440652715e-09,2.2961039292113128e-08
1838,1.2624323364462953e-08,1.325553999897977e-08
1839,1.8876983531868063e-08,3.2859933440931854e-08
1840,5.732719632334238e-09,9.554533164646273e-09
1841,0.0,1.4767261191650505e-08
1842,1.8783142152756227e-08,7.379091560011375e-09
1843,4.843666989717832e-08,1.2404512972352677e-08
1844,1.8112252364588244e-08,2.305195678786731e-08
