year,deux_DET ailes_NOUN,deux_DET pelles_NOUN
1800,1.0375742718338188e-06,3.144164484325529e-09
1801,1.5168133558063346e-06,2.3811825844433088e-09
1802,1.3292770120187924e-06,2.0140561218795483e-08
1803,2.94891282237586e-06,0.0
1804,1.0628959479230815e-06,4.943701892301533e-09
1805,1.083136410784391e-06,5.970043304159844e-08
1806,8.472107424495334e-07,8.645007376628655e-09
1807,6.491057717994408e-07,0.0
1808,8.860349289818714e-07,6.798221985349073e-09
1809,7.951787637239249e-07,2.259030518203531e-09
1810,6.552354747668687e-07,4.680253518074551e-09
1811,6.117267048466601e-07,3.259199843341776e-08
1812,4.1341727730070943e-07,3.467370657261881e-08
1813,4.428642150777762e-07,1.7254450312975678e-08
1814,4.090680283397319e-07,0.0
1815,5.93389177794279e-07,0.0
1816,1.9166584337426684e-06,9.270415546325239e-09
1817,2.0986654121202264e-06,0.0
1818,7.987188901381614e-07,4.768470951432846e-09
1819,8.539616018765628e-07,1.035105001712111e-09
1820,4.4261975506998397e-07,8.306536791735653e-09
1821,6.123984395145499e-07,9.86148829262845e-10
1822,6.416394029429284e-07,1.5038423839541792e-08
1823,5.682544674812107e-07,3.95307486744656e-09
1824,7.065313667453665e-07,1.6842225392110777e-08
1825,8.012953003344592e-07,2.3774696877865154e-08
1826,5.85730944635543e-07,1.8496767228981525e-08
1827,5.530363971217866e-07,1.8434546333878643e-08
1828,6.438955555410075e-07,8.255070960139221e-09
1829,5.392527819836346e-07,1.8003669888244644e-08
1830,7.357969238341866e-07,5.218417697960831e-09
1831,4.6305881440389385e-07,3.1182412207897414e-09
1832,7.130294026325146e-07,6.764984572527055e-09
1833,5.710729098495904e-07,1.0425265317692833e-08
1834,6.226132391873307e-07,5.600718555598405e-09
1835,9.363103075088475e-07,9.075705520444899e-09
1836,7.62805150600343e-07,9.409050427677812e-09
1837,6.582165070767587e-07,2.2961039292113128e-08
1838,6.791886129065006e-07,2.0830134062066463e-08
1839,6.760756576795757e-07,9.088917618527148e-09
1840,5.809155929625831e-07,1.52872523528913e-08
1841,6.516856601024301e-07,2.3113974734201292e-08
1842,5.49406912853101e-07,1.8783142596845437e-08
1843,6.62755434532869e-07,1.772073249250994e-08
1844,5.334881301166661e-07,1.811225169845443e-08
1845,6.182892455797173e-07,1.0602433153650281e-08
1846,6.264316283477456e-07,8.196302303531411e-09
1847,5.301538976709708e-07,1.5101026207275936e-08
1848,4.3766007173928756e-07,2.494018680465615e-08
1849,6.670014300880212e-07,1.0893239199560867e-08
1850,6.028628725118779e-07,1.5614691761811628e-08
1851,6.952494793210917e-07,1.2253933867611977e-08
1852,8.17073445347205e-07,1.4974254725075298e-08
1853,6.891609523052011e-07,1.1943863675867306e-08
1854,4.733250253963206e-07,5.195664343204953e-09
1855,6.920246065078572e-07,4.2455496895854594e-09
1856,4.83031763920394e-07,2.329735160344626e-08
1857,6.56562951562023e-07,1.5620829074691756e-08
1858,6.038795934415475e-07,1.8106601107348297e-08
1859,5.525008148765664e-07,3.717286700677391e-08
1860,9.479348150875921e-07,3.524431591017674e-08
1861,6.192060340026728e-07,2.735258980424149e-08
1862,7.825152019691473e-07,4.066187830886747e-09
1863,5.638926836581959e-07,1.0988166154746182e-08
1864,5.322148197706156e-07,1.294576512655965e-08
1865,5.135167260306162e-07,4.236159978354692e-09
1866,5.804675931031511e-07,8.271541673821048e-09
1867,6.682321220807808e-07,1.2132028714972876e-08
1868,5.893269587886607e-07,1.975949626142892e-09
1869,5.718601077120411e-07,2.0999132543941812e-08
1870,6.290251377549794e-07,1.3188312220080434e-08
1871,6.415191045050506e-07,2.230447138096281e-08
1872,5.061622916358033e-07,1.753728384734643e-08
1873,6.051850558463912e-07,2.2746816430441186e-08
1874,6.016431424171742e-07,1.3144139998644278e-08
1875,5.561324201153184e-07,6.293679799540541e-09
1876,7.708668992023604e-07,6.650616057868319e-09
1877,6.413654176640193e-07,2.1028373708986692e-08
1878,6.117596704768857e-07,2.4156355027393772e-08
1879,5.571704599915961e-07,2.5048233487368066e-08
1880,5.666958031724789e-07,1.1552123035940554e-08
1881,5.201490456130387e-07,1.2550513517339823e-08
1882,5.357585255438835e-07,1.5972924316542958e-08
1883,6.508919021541715e-07,1.516641345844505e-08
1884,5.644450808972579e-07,1.8484752395409032e-08
1885,5.182291351601975e-07,2.0626034269444204e-08
1886,5.97590783080193e-07,3.613939680846556e-08
1887,5.079503360150284e-07,2.8727268341910417e-08
1888,5.636806417186335e-07,5.706553229956057e-09
1889,4.4858379766310463e-07,1.2530273485467092e-08
1890,5.52534798359261e-07,1.3764211992395303e-08
1891,5.277854295826501e-07,3.1871101313640793e-09
1892,5.06495782204297e-07,1.8178686334024974e-08
1893,4.976000713696749e-07,8.005941465327737e-09
1894,6.84977317533253e-07,2.079507943619774e-08
1895,4.742668266999317e-07,2.4676319432259675e-08
1896,5.212973714918689e-07,2.0639602027472392e-08
1897,5.884980538439777e-07,5.826713556089658e-09
1898,5.120811046310791e-07,9.619203433786083e-09
1899,5.477830455902222e-07,1.713549302451156e-08
1900,5.813979253588286e-07,1.0901211489056095e-08
1901,5.650214927044317e-07,8.38310842965484e-09
1902,8.259097672436155e-07,2.0623191709923105e-08
1903,4.768394639143025e-07,1.2420506401156217e-08
1904,4.53080898132896e-07,1.8811188162715098e-08
1905,4.5414679838984284e-07,1.806265648163219e-08
1906,4.856110269457758e-07,1.4403716219746343e-08
1907,5.626270844771852e-07,1.0799971139618947e-08
1908,5.991894660439812e-07,2.0627833663411366e-08
1909,7.173282821071325e-07,1.4852655993990993e-08
1910,6.530551868166867e-07,2.137660271017694e-09
1911,6.113109840555353e-07,1.4365010514438836e-08
1912,5.730363135114658e-07,1.3023552902780011e-08
