year,essais_NOUN heureux_ADJ
1800,1.760732146749433e-07
1801,5.9529565277216534e-08
1802,8.280008501060365e-08
1803,6.631153581793114e-08
1804,1.2112069214254007e-07
1805,1.9900143399809167e-07
1806,6.916005901302924e-08
1807,6.263301344233696e-08
1808,1.4276265858370607e-07
1809,1.4457795316502597e-07
1810,1.4976811257838563e-07
1811,7.52123057168319e-08
1812,1.3069320914382843e-07
1813,3.4508900625951355e-08
1814,1.0069366851439554e-07
1815,1.5643897199879575e-07
1816,1.6454987417091615e-07
1817,4.203558034987509e-08
1818,6.079800130009971e-08
1819,9.729986771844779e-08
1820,9.611849804969097e-08
1821,6.114122896860863e-08
1822,8.421517350143404e-08
1823,5.929612001409623e-08
1824,6.652678763430231e-08
1825,7.396572243578703e-08
1826,8.103345550125596e-08
1827,9.954654700550236e-08
1828,7.246117661452445e-08
1829,4.372319750700626e-08
1830,9.288783786587373e-08
1831,4.5214498811674275e-08
1832,6.088486514954639e-08
1833,9.846084481068829e-08
1834,5.2273371409228275e-08
1835,3.857174846189082e-08
1836,5.1749776019960336e-08
1837,3.270208637218275e-08
1838,5.996553653631054e-08
1839,3.915226187700682e-08
1840,4.8409635411417185e-08
1841,6.22793194793303e-08
1842,5.0982812638267205e-08
1843,6.202256486176339e-08
1844,5.817874892954933e-08
1845,2.511102614732863e-08
1846,4.4494210982293225e-08
1847,5.501087940729121e-08
1848,3.137636639394259e-08
1849,4.4410899846525353e-08
1850,5.0238568860550004e-08
1851,4.70809027319774e-08
1852,5.338647213193326e-08
1853,7.823230419035099e-08
1854,5.299577665596189e-08
1855,7.217434472295281e-08
1856,7.351608388717068e-08
1857,8.542640728137485e-08
1858,6.214968806261822e-08
1859,5.4995471288066256e-08
1860,6.224970405810382e-08
1861,4.8574428035408346e-08
1862,4.427626620895353e-08
1863,5.743813957792554e-08
1864,6.089304349643498e-08
1865,6.071829261600215e-08
1866,4.6223323835192787e-08
1867,3.8337212515671126e-08
1868,4.643481688049178e-08
1869,4.2974967584541446e-08
1870,8.142349372519675e-08
1871,1.4869648623516696e-08
1872,4.9588180672799353e-08
1873,3.292302608315367e-08
1874,4.062734149101743e-08
1875,4.291145216939185e-08
1876,3.627608791134662e-08
1877,2.72131899237138e-08
1878,2.6571990829893366e-08
1879,3.848874996492668e-08
1880,3.786529134686134e-08
1881,4.811030152040985e-08
1882,6.455723422504889e-08
1883,4.423537092179686e-08
1884,6.139578090369469e-08
1885,5.994441210077639e-08
1886,6.840672028829431e-08
1887,3.852065688647599e-08
1888,4.628648753168818e-08
1889,3.759081934617825e-08
1890,3.5393686204088226e-08
1891,5.099376210182527e-08
1892,2.5074049503359674e-08
1893,3.4487133149241345e-08
1894,4.285046628638156e-08
1895,4.1528441130367355e-08
1896,4.65865284127176e-08
1897,2.2141511735185304e-08
1898,1.4711722506888236e-08
1899,4.366786754417262e-08
1900,3.529916270395006e-08
1901,2.459045056468767e-08
1902,2.5042448115186744e-08
1903,4.104167317109386e-08
1904,3.654745128756076e-08
1905,2.838417501038748e-08
1906,4.6812079546043606e-08
1907,3.4971336049238744e-08
1908,4.5675918158849527e-08
1909,2.7504917454734823e-08
1910,3.7943468811363346e-08
1911,3.8838731342139e-08
1912,3.438217888174222e-08
1913,3.234823608977422e-08
1914,3.4153391226254826e-08
1915,4.947920118070215e-08
1916,2.4172416956957932e-08
1917,4.7155623406069935e-08
1918,5.283732917860107e-08
1919,4.051453217357448e-08
1920,4.467616676606667e-08
1921,2.2718241510233383e-08
1922,2.5822775029382683e-08
1923,3.8217415010421973e-08
1924,3.480738541838946e-08
1925,2.0896537833436923e-08
1926,3.232380052509143e-08
1927,2.6758140592164636e-08
1928,3.6563331917705e-08
1929,2.5622934884950155e-08
1930,2.8359728787563654e-08
1931,2.0529641986399838e-08
1932,2.6302888755935783e-08
1933,1.4911860191091364e-08
1934,3.4746584276490466e-08
1935,1.4361940969820353e-08
1936,2.0612015205756506e-08
1937,1.7627565185307503e-08
1938,1.5558256905023882e-08
1939,3.8235125288110794e-08
1940,2.5357829613881222e-08
1941,1.7709016475464523e-08
1942,2.4273694165799498e-08
1943,4.3548528338988035e-08
1944,2.2492303131116387e-08
1945,1.9606536838523425e-08
1946,1.5313215584455975e-08
1947,1.907339353124371e-08
1948,3.4790041070209554e-08
1949,1.668891336237266e-08
1950,6.381216888229346e-09
1951,8.529121409139861e-09
1952,1.370824520563474e-08
1953,5.386913581872932e-09
1954,1.5636057781875934e-08
1955,5.631364707880948e-09
1956,1.5698054411927842e-08
1957,1.236905244894615e-08
1958,1.2408365002158916e-08
1959,9.300897829689347e-09
1960,6.2287499602575735e-09
1961,1.042223907177231e-08
1962,1.9025869768540815e-09
1963,1.0992290633282664e-08
1964,9.734349326606662e-09
1965,9.849678406226303e-09
1966,4.431259803538978e-09
1967,1.429797347185513e-08
1968,1.527081394669949e-08
1969,1.0446043141598693e-08
1970,7.817832603507213e-09
1971,9.24911525146399e-09
1972,7.69522046084603e-09
1973,1.3783009400469837e-08
1974,5.625571564138454e-09
1975,6.282628195464213e-09
1976,7.427584769459372e-09
1977,1.1753563677885381e-09
1978,5.940591130126904e-09
1979,4.096381456264453e-09
1980,4.548120546843393e-09
1981,3.795329828193417e-09
1982,2.483000915987077e-09
1983,3.78918940668882e-09
1984,4.059305780401701e-09
1985,1.8046674155058895e-09
1986,5.994485463567401e-10
1987,0.0
1988,1.798966087207532e-09
1989,2.7440609784434855e-09
1990,4.90378582185258e-09
1991,3.5168792322792797e-09
1992,2.7549720282848966e-09
