year,ces_DET oies_NOUN,ces_DET pois_NOUN
1800,1.6978488659447066e-07,3.11272285280495e-07
1801,1.2620267497709392e-07,1.3096504081211435e-07
1802,8.727576528144709e-08,1.879785713754245e-07
1803,7.411289004721766e-08,1.63828490995499e-07
1804,1.1617699158250616e-07,8.404293083685843e-08
1805,2.2743021688143017e-08,5.401467539911664e-08
1806,2.305335300434308e-08,5.76333825108577e-09
1807,6.547996900252429e-08,3.4163461393177386e-08
1808,1.3823051503436545e-07,8.611081447895685e-08
1809,3.6144488291256494e-08,5.873479214102417e-08
1810,1.6380887757350138e-08,4.212228166267096e-08
1811,5.515568934910675e-08,1.1031137958639192e-07
1812,2.6672082320544632e-09,6.401299401659344e-08
1813,2.8757416448144113e-09,1.1502966579257645e-08
1814,0.0,2.2026739543434815e-08
1815,1.8880564667256294e-08,5.1247247334629265e-08
1816,1.622322720606917e-08,2.7811246638975717e-08
1817,4.203558356952186e-08,2.023935474770866e-08
1818,2.2650237241350624e-07,9.060094718904566e-08
1819,3.1053151161586356e-09,7.55626645698726e-08
1820,1.1866481131050932e-08,1.6613073583471305e-08
1821,1.9722976807301507e-08,3.550135874164084e-08
1822,4.0102463572111446e-08,3.8097340393505874e-08
1823,1.2847493069401139e-08,3.755421040807505e-08
1824,4.210556348027694e-09,5.136878566958103e-08
1825,6.516027784009282e-08,1.4969252948304757e-08
1826,2.906634755106552e-08,1.9377565774192362e-08
1827,1.474763688946723e-08,6.728609491801762e-08
1828,1.3024667566696735e-07,5.411657549858617e-08
1829,6.858540846366168e-09,7.54439470895818e-08
1830,6.992679768558219e-08,4.070366066422082e-08
1831,4.365537531469954e-08,1.1225668572478753e-07
1832,1.3529969367098715e-09,1.8941956891893597e-08
1833,8.108540172635514e-09,7.297685922225128e-08
1834,4.387229601832132e-08,1.2414926464643372e-07
1835,6.882410019670715e-08,5.596685070941021e-08
1836,2.9571300075303952e-08,6.25029770162655e-08
1837,2.435261814426326e-08,3.6181031060067426e-08
1838,5.680945602826171e-08,3.3454458758797045e-08
1839,5.523265411699896e-08,2.6567605893035307e-08
1840,1.9109066218270243e-08,4.0129038314518084e-08
1841,2.6966304744746594e-08,2.953452327147943e-08
1842,9.391571076378114e-09,3.890793731642361e-08
1843,1.063243981747064e-08,5.1390124655714686e-08
1844,1.756339607084101e-08,5.049476270446718e-08
1845,2.2320911785556063e-08,2.39949793368055e-08
1846,2.3418005756781213e-08,6.264316332327269e-08
1847,4.314578827546711e-08,4.0988498817284835e-08
1848,4.1835152453373325e-08,3.620349842137216e-08
1849,1.256912218750017e-08,2.26244205592252e-08
1850,2.4440385715251978e-08,2.987158342904195e-08
1851,7.094382636907426e-09,2.5152810501083422e-08
1852,3.776116352938175e-08,1.1718981784980542e-08
1853,3.5234398509942366e-08,3.941474879809448e-08
1854,4.78001130344019e-08,5.7671875719478294e-08
1855,4.2455496895854594e-08,5.1477289986223695e-08
1856,3.313401081284084e-08,5.280733156309836e-08
1857,2.3919394687155204e-08,4.686248683549721e-08
1858,1.5170395550878624e-08,4.257498126269965e-08
1859,2.2405563404603868e-08,3.6154431004575827e-08
1860,2.1512764458719857e-08,2.0139608647440355e-08
1861,1.4147891413962554e-08,2.075024119196911e-08
1862,2.48489247234307e-08,1.8523744149678834e-08
1863,1.548332484446746e-08,2.946826249683454e-08
1864,1.7261020501813107e-08,2.685047595374357e-08
1865,1.6473956032658776e-08,3.2006541028639646e-08
1866,2.8707117127879656e-08,2.432806489593986e-08
1867,2.135237053835226e-08,2.1837651686951176e-08
1868,3.062721931623713e-08,3.21091815358443e-08
1869,2.5882651910613674e-08,2.1975835595711146e-08
1870,1.834895568819661e-08,2.981705282678604e-08
1871,1.0621176826930423e-08,1.911811864374613e-08
1872,1.5118347462816928e-08,3.749350341308855e-08
1873,2.2148216927142528e-08,5.1479637608320417e-08
1874,2.8080662239915455e-08,3.9432421494733916e-08
