year,les_DET îles_NOUN,les_DET iles_NOUN,les_DET piles_NOUN
1800,1.8465677726453578e-05,1.3016840654245243e-06,9.180960063304155e-07
1801,1.7735047549649607e-05,1.776362196892478e-06,4.6909297068964406e-07
1802,1.946249471984629e-05,1.4322177150916104e-06,5.95265504443887e-07
1803,2.0076791088285972e-05,1.2930749153650112e-06,6.494629829489895e-07
1804,2.2081043880461948e-05,1.5696252999575222e-06,7.464990083860812e-07
1805,1.2394947134453105e-05,9.324638874375069e-07,1.2366518546969019e-06
1806,1.2587130754582176e-05,9.653591570568665e-07,1.8990199919244333e-06
1807,1.6791341977295815e-05,1.5601314018454104e-06,7.914535302688819e-07
1808,1.982588059945556e-05,1.2259460362429309e-06,6.979507745086266e-07
1809,1.7371945205013617e-05,1.2447258184167254e-06,8.493954766208844e-07
1810,1.1915925824723672e-05,1.2355869429825361e-06,1.2332468202203017e-06
1811,1.6220787074416876e-05,1.7975740078668423e-06,1.0228873108530934e-06
1812,1.4306904859040515e-05,9.415245187938126e-07,7.121446117253072e-07
1813,1.7734697848936776e-05,1.4234921295042113e-06,9.547462127557083e-07
1814,1.1123503782073385e-05,1.0446967912969285e-06,5.003216649868136e-07
1815,1.7143553122878075e-05,1.1544116735873189e-06,5.960863980192244e-07
1816,1.8726239318311855e-05,9.919344758912985e-07,2.1252428155094094e-06
1817,1.6057592688412115e-05,1.0804701418010154e-06,5.993962410855147e-07
1818,1.4238653989195882e-05,9.250833867824326e-07,4.0174369075884897e-07
1819,1.261482447034723e-05,7.701181243824351e-07,4.3784941539115607e-07
1820,1.7993146002481808e-05,1.1427421213738853e-06,5.304317056697982e-07
1821,1.2167103932370082e-05,8.332957381895767e-07,4.2996088822633283e-07
1822,1.2964123982328601e-05,1.1990636892278417e-06,3.4387863934171037e-07
1823,1.3094560358695162e-05,1.305502955517568e-06,5.198293422381539e-07
1824,1.1698610023813671e-05,1.0374810957003433e-06,5.296879947991329e-07
1825,1.5953702131810132e-05,1.7276279447031584e-06,6.128588481146835e-07
1826,1.8236931737192208e-05,1.7334113504574589e-06,5.46095051845441e-07
1827,1.584817891853163e-05,1.2931834527663e-06,6.406004686709821e-07
1828,1.4728881751580047e-05,1.4629820253020398e-06,8.255071293206129e-07
1829,1.460097655581194e-05,2.082424478189182e-06,8.976115566383669e-07
1830,1.4773341490581515e-05,1.3463518362399896e-06,1.096911461218042e-06
1831,1.2505706195042876e-05,1.0025145353864673e-06,1.1350397954856817e-06
1832,1.2643756292618491e-05,1.5789474296923345e-06,1.0391016473931813e-06
1833,2.4092788180496427e-05,3.2874338788957402e-06,7.042846306148931e-07
1834,1.696270896900387e-05,1.6662138371259516e-06,7.878344305822793e-07
1835,1.3907006064073357e-05,1.8983350216217332e-06,7.47233080744536e-07
1836,1.3791650758321339e-05,1.582064548699691e-06,5.544618701947002e-07
1837,1.3495525081452797e-05,1.9983063177519966e-06,9.741047506395262e-07
1838,1.1000835513641505e-05,2.006636307783083e-06,8.085879272812235e-07
1839,1.3762719277110591e-05,2.2260856979983146e-06,1.2263047892702161e-06
1840,1.247885734301235e-05,2.1440371433811833e-06,1.0987712499854752e-06
1841,1.1915896095615608e-05,1.8542543935851086e-06,9.136440723978012e-07
1842,1.1824659054582298e-05,1.5522925451705305e-06,8.532913327030656e-07
1843,1.2501977380452445e-05,2.031977416550035e-06,9.073015689864405e-07
1844,1.1029263987438753e-05,1.69706311581308e-06,8.161490612224043e-07
1845,9.930015494319377e-06,1.697505346953676e-06,7.265456645200175e-07
1846,1.1536880606399791e-05,1.7926482769325958e-06,6.31700686426484e-07
1847,1.1509139653753664e-05,2.0273127852021844e-06,1.1503746577545826e-06
1848,1.2083922740657727e-05,1.8849954379618339e-06,4.360510210688062e-07
1849,1.0589904945845774e-05,2.047929022808148e-06,5.832072957900891e-07
1850,8.287327432299207e-06,1.8045151213286204e-06,6.408812396330177e-07
1851,9.187870489313354e-06,1.46402260980949e-06,7.229820795373598e-07
1852,8.387536070131318e-06,1.8815476305888978e-06,1.417996855934689e-06
1853,1.1822036242392642e-05,1.894893941312148e-06,9.298298095927748e-07
1854,9.806297384784557e-06,1.5638949619756204e-06,1.7343128035918198e-06
1855,1.088134393967266e-05,1.675400088885226e-06,1.0582032388128937e-06
1856,8.754109671826882e-06,1.7731873018789202e-06,1.5733478448964888e-06
1857,9.036649885274528e-06,1.5933246153565506e-06,1.0441547715345223e-06
1858,7.913074114185292e-06,1.379527233780209e-06,1.5199758109929462e-06
1859,9.18424365181636e-06,1.737958751135693e-06,1.4614537633406144e-06
1860,8.61471767166222e-06,1.2376705669225885e-06,1.2651335978830502e-06
1861,8.548155790322198e-06,1.5661715284664979e-06,1.2766113854922878e-06
1862,9.031906586187688e-06,1.3391311188826194e-06,1.1651886353547525e-06
1863,9.370408406539354e-06,1.584793196229839e-06,7.651759119653434e-07
1864,1.0455383346652525e-05,1.8023382288845369e-06,1.6330842811385082e-06
1865,9.191525407459267e-06,1.3503936031611374e-06,8.961831667875231e-07
1866,9.141513885424501e-06,1.5088265854501515e-06,1.081625697452182e-06
1867,8.949555194703862e-06,1.4306088687021656e-06,2.1585305773896835e-06
1868,8.377038625440036e-06,1.3851406670539745e-06,1.9225989973392643e-06
