year,très_ADV heureux_ADJ,très_ADV peureux_ADJ
1800,1.4148740490327327e-07,0.0
1801,2.0001934331048687e-07,2.3811825844433088e-09
1802,1.5888664961494214e-07,0.0
1803,1.5212646076179226e-07,0.0
1804,2.026917798048089e-07,0.0
1805,1.5920115004064428e-07,0.0
1806,7.492339904047185e-08,0.0
1807,1.1672516109229036e-07,0.0
1808,1.4276265858370607e-07,0.0
1809,1.807224379035688e-07,0.0
1810,1.1700633706368535e-07,0.0
1811,3.7104737549142897e-07,0.0
1812,3.6807472403310726e-07,0.0
1813,2.674439656402683e-07,0.0
1814,3.2725441201364447e-07,0.0
1815,9.710004889029733e-08,0.0
1816,1.6918508549679245e-07,2.3176038865813098e-09
1817,2.522135016391758e-07,0.0
1818,2.9206884732957406e-07,0.0
1819,3.571112335842841e-07,0.0
1820,2.3495633172387898e-07,1.1866481131050932e-09
1821,4.526423253992107e-07,2.9584463767662328e-09
1822,3.248299549341027e-07,0.0
1823,2.52996790850446e-07,5.929612356680991e-09
1824,3.368444936313608e-07,0.0
1825,3.8127568569024106e-07,0.0
1826,3.2765700552772614e-07,0.0
1827,3.484129300623806e-07,0.0
1828,3.173616107687849e-07,0.0
1829,5.229637271009224e-07,0.0
1830,4.623518181645636e-07,5.218417697960831e-09
1831,3.6015685167534173e-07,0.0
1832,6.670274896869444e-07,6.764984572527055e-09
1833,5.814981781648854e-07,0.0
1834,5.05931561534112e-07,4.667265685043276e-09
1835,5.460549701297168e-07,7.563087933704082e-10
1836,6.068837219430634e-07,0.0
1837,5.329744201532094e-07,6.957890930081589e-10
1838,4.317518842444912e-07,2.5248647617104325e-09
1839,3.7124733598403736e-07,4.194885327990505e-09
1840,3.930098015914041e-07,0.0
1841,3.5826661815008265e-07,3.2102742686390684e-09
1842,3.414506926091576e-07,0.0
1843,3.0952213592172484e-07,0.0
1844,2.4972954737467745e-07,2.7442805805577564e-09
1845,2.1874494005036382e-07,3.9061593959388574e-09
