year,moins_ADV eu_VERB,moins_ADV pu_VERB
1800,2.6096566330124915e-07,5.65949598296811e-08
1801,2.7383600809116615e-07,2.3811825844433088e-09
1802,1.6112448975036386e-07,5.818384352096473e-08
1803,2.3014003147636686e-07,3.705644502360883e-08
1804,2.1505103120489366e-07,4.69651695311768e-08
1805,2.899735136452364e-07,4.8328921309348516e-08
1806,2.1612518708025164e-07,6.051504897186533e-08
1807,1.7651122163897526e-07,8.256169792275614e-08
1808,2.0621273222332093e-07,4.985362878073829e-08
1809,3.185232912983338e-07,4.743964154840796e-08
1810,3.697400359214953e-07,1.3572734758326988e-07
1811,1.1281845502253418e-07,2.0056614147279106e-08
1812,3.6007310200147913e-07,7.20146218213813e-08
1813,4.3998846877002507e-07,1.0927818294703684e-07
1814,1.3530711839848664e-07,6.293354459785405e-08
1815,2.6702514333010186e-07,6.203614333344376e-08
1816,2.711596494009427e-07,2.7811246638975717e-08
1817,2.771234619558527e-07,2.9580593974287694e-08
1818,3.039900207113533e-07,3.9339884239097955e-08
1819,3.094963858529809e-07,5.796588098405664e-08
1820,2.480094565271429e-07,3.20394981656591e-08
1821,3.2444296493849833e-07,2.5639868894700157e-08
1822,1.804610860745015e-07,3.408709403629473e-08
1823,2.401492906756175e-07,2.075364236020505e-08
1824,2.896862838497327e-07,4.7158231097910175e-08
1825,2.3686641270614928e-07,6.427973175959778e-08
1826,2.483851631041034e-07,4.315912249808207e-08
1827,2.414925575067173e-07,7.650336897313537e-08
1828,3.6322313690106967e-07,9.814362300630819e-08
1829,2.5290870553362765e-07,8.230249193275085e-08
1830,3.1101771469366213e-07,3.652892388572582e-08
1831,2.68168747652453e-07,5.456922025359745e-08
1832,2.92247335664797e-07,3.6530916958099624e-08
1833,2.108220371610514e-07,5.444305273272221e-08
1834,2.7630210297502344e-07,6.16079063320285e-08
1835,2.3823727701710595e-07,4.0840674842002045e-08
1836,2.1775230152343283e-07,2.5538851033957144e-08
1837,2.3726407505364477e-07,3.6181031504156635e-08
1838,2.297626906511141e-07,2.5879863585487328e-08
1839,2.467990611876303e-07,3.4957377437194737e-08
1840,2.08925783340419e-07,5.477932418784803e-08
1841,2.2343509442634968e-07,7.255219713897532e-08
1842,2.0057711935805855e-07,6.305769062464606e-08
1843,2.339136813134246e-07,3.9576303123567413e-08
1844,2.1405388395123737e-07,5.708103856250091e-08
1845,2.8347557190500083e-07,4.0177642546268544e-08
1846,2.4881632043616264e-07,6.264316709803097e-08
1847,2.119536901545871e-07,3.937053350000497e-08
1848,2.083712473677224e-07,4.183515400768556e-08
1849,3.083624733335455e-07,5.614208120618969e-08
1850,2.2200016758233687e-07,4.480737203493845e-08
1851,2.27665182706005e-07,3.676180071465751e-08
1852,2.565154773037648e-07,3.450589147746541e-08
1853,2.1558673779509263e-07,3.2845626662947325e-08
1854,2.909572174303321e-07,2.909572138776184e-08
1855,2.3456661324416928e-07,3.449509122788186e-08
1856,2.2520772802181455e-07,4.038207634948776e-08
1857,2.2259681031755463e-07,4.4421732070532016e-08
1858,1.972151437712455e-07,4.79580251067091e-08
1859,2.75995802212492e-07,4.786642904264227e-08
1860,1.9590346767017763e-07,3.982150076353719e-08
1861,1.9995685818230413e-07,6.366551019709732e-08
1862,2.4306766022164084e-07,4.201727321628823e-08
1863,2.2575686386971938e-07,6.1433837572622e-08
1864,2.459695451761945e-07,4.890622662401256e-08
1865,2.2969400959027553e-07,4.565638889175716e-08
1866,2.5057906327674573e-07,5.060237384668653e-08
1867,2.2371460772774299e-07,3.396968040192405e-08
1868,2.287161748881772e-07,3.853101659956337e-08
1869,2.4466430659231264e-07,4.3463320054115684e-08
1870,2.0126510946738563e-07,4.300536460277726e-08
1871,2.3897649725768133e-07,4.142259157902117e-08
1872,1.5844028666833765e-07,7.075387031818536e-08
1873,1.8077733443533361e-07,3.71132280463371e-08
1874,1.7206873792474653e-07,6.512323835750067e-08
1875,2.2943324040625157e-07,4.9777284516494547e-08
1876,2.0616910489934526e-07,6.892457093954363e-08
1877,2.3440452423528768e-07,4.2675228684174726e-08
1878,1.7634138771427388e-07,3.200716847118201e-08
1879,1.9488747682316898e-07,3.421222061206208e-08
1880,2.3425138806487666e-07,4.2357786611546544e-08
1881,2.29395496376128e-07,3.5559789779426865e-08
1882,2.016581674979534e-07,5.0580926114207614e-08
1883,1.8262889511788671e-07,6.066565561013704e-08
1884,2.3171956797796156e-07,2.8387297845711146e-08
1885,1.8627886788635806e-07,3.0294486919046903e-08
1886,2.3038866459046403e-07,4.58195934527339e-08
1887,1.6975204175651015e-07,3.395040693021656e-08
1888,1.7183066347570275e-07,4.311618084784641e-08
1889,2.2491840923066775e-07,5.0121094830046786e-08
1890,2.169501982507427e-07,5.309053108248918e-08
1891,1.9313887378302752e-07,4.270727416155751e-08
1892,2.1250257020710706e-07,3.5103667528346705e-08
1893,2.087703165898347e-07,3.87980243488073e-08
1894,2.0227940922268317e-07,5.041231432301174e-08
1895,2.0704034398022486e-07,5.1760085995056215e-08
1896,1.9990928024071764e-07,4.65865284127176e-08
1897,2.0684832691131305e-07,4.253501018069983e-08
1898,1.8672571400202287e-07,3.451596342074481e-08
1899,1.7301320553997357e-07,3.205995469102163e-08
1900,2.1075675249448977e-07,4.5162163786471865e-08
1901,2.095777063004789e-07,2.459045056468767e-08
1902,1.551649688735779e-07,2.6515532880466708e-08
1903,1.981880899393218e-07,5.994244389739833e-08
1904,1.6983815953608428e-07,3.654745128756076e-08
1905,1.9817315433101612e-07,3.715746643706552e-08
1906,1.5072460257670173e-07,4.166789580040131e-08
1907,1.8874234797294775e-07,3.3428481316377656e-08
1908,1.7189861978295085e-07,3.58531409005991e-08
1909,1.6612970910045988e-07,4.455796798197298e-08
1910,1.7689139042431634e-07,4.0615546481603815e-08
1911,1.7610437907933374e-07,4.309503154331651e-08
1912,1.755574885464739e-07,5.46989227245831e-08
1913,1.5802909558715328e-07,3.340883480973389e-08
1914,1.5938249475766497e-07,3.8841115213017474e-08
1915,1.5314989809667168e-07,4.947920118070215e-08
1916,1.6261444102383393e-07,3.625862632361532e-08
1917,1.4366015932409937e-07,4.934890895924582e-08
1918,1.6540381864160736e-07,2.6418664589300533e-08
1919,1.7218675907315628e-07,6.629650783906982e-08
1920,1.3630017292598495e-07,2.6502810612782923e-08
1921,1.6584317563683726e-07,2.877644078580488e-08
1922,1.9330191491917503e-07,5.6810101511928224e-08
1923,1.7516313732812705e-07,3.503262746562541e-08
1924,1.4825367600224126e-07,4.1253198190815965e-08
1925,1.9906701709260233e-07,3.629398648286042e-08
1926,1.515874856750088e-07,5.3501466368288675e-08
1927,1.438250052387957e-07,1.6723836537835268e-08
1928,1.3711249380321533e-07,4.798937425221084e-08
1929,1.570797252270495e-07,3.0079096546842266e-08
1930,1.680576531271072e-07,2.3107928015519974e-08
1931,1.6879927500212943e-07,2.9653927313688655e-08
1932,1.5562541477720515e-07,3.507051715700982e-08
1933,1.3650088703798247e-07,3.555905436769535e-08
1934,1.4497712186312128e-07,4.073737258636356e-08
1935,1.579813471153102e-07,4.547948151412129e-08
1936,1.3458432590596203e-07,2.5461901032031165e-08
1937,1.3346584637474734e-07,2.392312481447334e-08
1938,1.335417039172171e-07,2.5930429359277696e-08
1939,1.3152883582279173e-07,3.5176316970364496e-08
1940,1.4200384157447843e-07,3.0429394115571995e-08
1941,1.4167213180371618e-07,5.017554371988808e-08
1942,1.2136847260535433e-07,4.5513175450651033e-08
1943,1.2774235358392616e-07,3.193558839598154e-08
1944,1.5101974781828176e-07,6.105053529381621e-08
1945,1.7428033061150927e-07,3.267756198965799e-08
1946,1.531321487391324e-07,2.9234318077442367e-08
1947,1.4305045681339834e-07,3.814678706248742e-08
1948,1.108932536908469e-07,4.783630558335972e-08
1949,1.1878579897484087e-07,3.6322930441201606e-08
1950,1.414503145724666e-07,2.9779013033248702e-08
1951,1.0661401717015906e-07,3.731490494374157e-08
1952,1.539541329975691e-07,2.6362009464264702e-08
1953,1.4975620388213429e-07,5.0636987936059086e-08
1954,1.5245156248511194e-07,3.322662323057557e-08
1955,1.1075017170014689e-07,2.7218263198847126e-08
1956,1.5349209547821374e-07,3.575668117150599e-08
1957,1.3164206791316246e-07,3.3573144264664734e-08
1958,1.0257581806172311e-07,4.1361218450219894e-08
1959,1.2633718426968699e-07,2.40273188012452e-08
1960,1.2111458147501253e-07,3.252791813679323e-08
1961,1.3687873945400497e-07,3.335116360858592e-08
