year,vingt - deux pères
1800,0.0
1801,1.307491448443443e-08
1802,0.0
1803,8.57142268273492e-09
1804,2.7184055007012375e-09
1805,0.0
1806,9.479794726985347e-09
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,2.0212585383205806e-08
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,6.5558456441294766e-09
1830,0.0
1831,0.0
1832,1.4826272431989196e-09
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,3.6676039982808106e-09
1843,1.2908356605834115e-09
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,6.251502426835032e-09
1855,0.0
1856,0.0
1857,5.349697351775262e-10
1858,5.360987764824188e-10
1859,4.4594083981053245e-09
1860,0.0
1861,0.0
1862,4.95108487541529e-09
1863,1.6447839756850158e-09
1864,4.199631753465383e-09
1865,3.6117238089161674e-09
1866,0.0
1867,0.0
1868,5.409911407738832e-10
1869,5.357312371501166e-10
1870,6.283288334074655e-10
1871,0.0
1872,4.643458062503214e-09
1873,1.968127438800593e-09
1874,3.2775822056407833e-09
1875,0.0
1876,0.0
1877,0.0
1878,1.329367504965262e-09
1879,0.0
1880,4.240189976911779e-09
1881,4.610635429003196e-09
1882,5.129343616516735e-09
1883,0.0
1884,0.0
1885,7.102083920962343e-10
1886,0.0
1887,7.20262405273786e-10
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,1.3834376977328589e-09
1893,3.396470882321978e-09
1894,0.0
1895,0.0
1896,6.504354277403479e-10
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,1.1935748389646506e-08
1908,5.424864446545996e-10
1909,0.0
1910,0.0
1911,5.284629178703426e-09
1912,1.7243164673885758e-09
1913,0.0
1914,0.0
1915,1.2988097264354792e-09
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,4.071943227046404e-09
1923,0.0
1924,0.0
1925,1.2185186193391928e-09
1926,0.0
1927,0.0
1928,0.0
1929,1.2342626920514022e-09
1930,0.0
1931,1.2628545986714812e-09
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,2.684458655366484e-09
1937,0.0
1938,0.0
1939,1.6942175440348706e-09
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,4.326429881018612e-09
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,1.0387826154811819e-09
1956,9.646891063752605e-10
1957,0.0
1958,1.829783657925077e-09
1959,8.574415621964704e-10
1960,0.0
1961,0.0
1962,0.0
1963,7.132183177382956e-10
1964,0.0
1965,1.2067726817832636e-09
1966,0.0
1967,0.0
1968,4.940934328345747e-10
1969,2.496370221649613e-09
1970,5.057877450198589e-10
1971,0.0
1972,5.65300417587622e-10
1973,6.093281434971232e-10
1974,0.0
1975,0.0
1976,6.311368094813474e-10
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,4.873978109998234e-09
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,6.713679612246892e-10
1988,0.0
1989,1.205561317441095e-09
1990,1.790998682693612e-09
1991,1.2859849851665217e-09
1992,0.0
1993,0.0
1994,5.77337011531398e-10
1995,1.7786573880407275e-09
1996,5.833531990795393e-10
1997,0.0
1998,5.202560049433202e-10
1999,0.0
2000,0.0
2001,0.0
2002,1.432003848833574e-09
2003,0.0
2004,0.0
2005,4.904935346772277e-10
2006,8.974836984698698e-10
2007,0.0
2008,9.297675962471885e-10
2009,0.0
2010,0.0
2011,0.0
2012,0.0
2013,1.2320777731389398e-09
2014,0.0
2015,2.4514165697375745e-10
2016,0.0
2017,0.0
2018,0.0
2019,2.832501178051672e-10
