year,six_DET yeux_NOUN,six_DET pieux_NOUN
1800,9.746909768182377e-08,0.0
1801,1.6906395927662743e-07,0.0
1802,4.4756802708434407e-08,0.0
1803,3.179053027491108e-07,0.0
1804,1.433673482154063e-07,0.0
1805,2.2743021688143017e-08,0.0
1806,4.8988376022407465e-08,2.881669125542885e-09
1807,0.0,0.0
1808,3.85232588051565e-08,2.2660739951163578e-09
1809,1.1746958428204834e-07,0.0
1810,3.042164919975221e-08,1.8721014072298203e-08
1811,2.5070768572277302e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,1.4378708446116661e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,1.0788894222457657e-08,5.394447111228828e-09
1816,1.5296186006708012e-07,0.0
1817,1.1987924608547473e-07,0.0
1818,2.8610825708597076e-08,2.384235475716423e-09
1819,2.7637302579819334e-07,0.0
1820,1.3053129244156025e-08,1.1866481131050932e-09
1821,3.747365440176509e-08,0.0
1822,3.8097340393505874e-08,9.023054303725075e-09
1823,2.8659792761231984e-08,6.917880934764753e-09
1824,3.3684450784221553e-09,0.0
1825,1.717061319794766e-07,4.4027217427355936e-09
1826,2.1139162420524826e-08,7.0463874735082754e-09
1827,8.479891278057039e-08,0.0
1828,2.2013523448549677e-08,2.4765213879618386e-08
1829,1.3459886494260331e-07,0.0
1830,5.4271546368056534e-08,1.0436835840010872e-09
1831,4.8332740476553226e-08,3.1182412207897414e-09
1832,6.900284432731496e-08,0.0
1833,5.791814139399776e-08,0.0
1834,7.934351486937885e-08,0.0
1835,4.0084366048631637e-08,9.075705520444899e-09
1836,6.183090306421946e-08,0.0
1837,6.192522761239161e-08,1.1132625488130543e-08
1838,3.471689069556305e-08,1.2624323808552163e-09
1839,4.47454411300896e-08,2.0974426639952526e-09
1840,8.917564464638872e-09,7.64362617644565e-09
1841,1.8619591202195807e-08,9.630822361827995e-09
1842,1.6770663080478698e-08,7.379091560011375e-09
1843,4.075768533784441e-08,1.2404512972352677e-08
1844,2.7991662321369404e-08,7.683985892015244e-09
1845,4.073566373108406e-08,3.9061593959388574e-09
1846,5.151961035565478e-08,1.7563503984519002e-09
1847,1.833696039454935e-08,6.47186837454683e-09
1848,3.298540818263973e-08,1.6090443422100975e-09
1849,3.100383594301093e-08,8.379414939696517e-10
1850,1.5614691761811628e-08,1.3577992064028876e-09
1851,1.5478653025979838e-08,5.8044946626978344e-09
1852,3.5156944022674e-08,0.0
1853,1.1346670270029335e-08,0.0
1854,3.221311861700826e-08,0.0
1855,2.4942604426314574e-08,4.776243400783642e-09
1856,2.7956822634678247e-08,5.177189232874468e-10
1857,1.8549735136819123e-08,3.4170564155999728e-09
1858,7.829881631948865e-09,0.0
1859,2.3933214521321133e-08,5.092173349652285e-10
1860,2.8378539740359088e-08,6.865775947773045e-09
1861,1.650587277968185e-08,1.8863854922557266e-09
1862,9.487771485128249e-09,3.6143890103090826e-09
1863,3.096664968893492e-08,7.991393324857654e-09
1864,2.7329948748544552e-08,4.315255264231155e-09
1865,3.2006543193574544e-08,1.4120533631256649e-09
1866,2.8220554781910323e-08,5.352174259343201e-09
1867,2.8631587767335986e-08,9.7056229719783e-10
1868,1.333765986544222e-08,2.9639244392143382e-09
1869,1.7580669364747337e-08,1.953407657850903e-09
1870,2.5229814681893004e-08,4.587239033071455e-09
1871,1.3807530230280918e-08,1.0621177271019633e-09
1872,1.269941263259966e-08,6.047339295989218e-10
1873,2.095101514498765e-08,8.380406590902112e-09
1874,2.5093358502203955e-08,5.377148060148329e-09
1875,3.4901315615343265e-08,2.8607636259891933e-09
1876,1.045960544843183e-07,2.418405919968336e-09
1877,3.0924081073635534e-08,1.2369631985365004e-09
1878,2.7779807343364382e-08,9.662541877730746e-09
1879,2.3826368433788048e-08,1.221865097988939e-08
1880,1.3477477800449833e-08,4.492492600149944e-09
1881,2.440377727674914e-08,0.0
1882,2.1297232422057277e-08,3.3276925659464496e-09
1883,1.895801765572358e-08,1.8958017378167824e-09
1884,1.914492120391742e-08,6.601696966868076e-10
1885,4.834226885463977e-08,2.5782542767416317e-09
1886,3.549405036551434e-08,2.5813855497602844e-09
1887,1.9586773092328258e-08,1.2404957061562527e-08
1888,2.789870379160675e-08,3.1703073499755874e-09
1889,1.8168895721260014e-08,1.2530273485467092e-09
1890,1.5730527991308918e-08,0.0
1891,3.505821055682645e-08,0.0
1892,3.3223116258085383e-08,6.268512375839919e-10
1893,9.853466709230929e-09,8.005941687372342e-09
1894,3.150769600779313e-08,1.1972924873759894e-08
1895,1.1435367763823479e-08,3.0093072478365457e-09
1896,2.5357223876198987e-08,0.0
1897,1.981082675683865e-08,6.992056267307589e-09
1898,2.037007751365394e-08,1.5277558773618694e-08
1899,2.1004797901014172e-08,4.9748205555033564e-09
1900,4.2047529458244526e-08,2.07642125715779e-09
1901,6.147612696683069e-09,3.912117296778206e-09
1902,9.329538919189417e-09,1.9641135384773634e-09
1903,1.1880484152015924e-08,1.6200660812870638e-09
1904,1.4511488011237361e-08,7.524475265086039e-09
1905,1.3934049303276907e-08,4.1286072338664326e-09
