year,soixante - dix pages
1800,2.4113379737400464e-08
1801,0.0
1802,7.390513090399509e-09
1803,2.14285567068373e-09
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,1.2450740882741229e-08
1809,2.965150969203023e-08
1810,0.0
1811,1.1037213809572677e-08
1812,7.594383788500636e-08
1813,4.720598312246693e-08
1814,4.127254626951071e-08
1815,0.0
1816,7.599422424675595e-09
1817,1.1942865363323563e-08
1818,4.0403008938483254e-08
1819,5.539984471170101e-08
1820,2.0717962456728856e-08
1821,1.0800321526005519e-08
1822,3.728019137838601e-08
1823,3.2387617032725302e-09
1824,1.745632260963248e-08
1825,4.805352227243986e-09
1826,6.72741373719532e-09
1827,2.0121309063370063e-09
1828,2.305314872330655e-08
1829,3.277922999700422e-08
1830,2.1686449969138266e-08
1831,1.1980137770706278e-08
1832,0.0
1833,6.336890123748162e-09
1834,7.160120496507716e-09
1835,1.6599210894696625e-09
1836,5.87479176417105e-09
1837,5.313691708863644e-09
1838,3.4411216098817476e-09
1839,9.171094106363853e-09
1840,7.654393563427675e-09
1841,1.1933643406791816e-08
1842,1.393689519346708e-08
1843,5.808760583647654e-09
1844,1.795192083875463e-08
1845,1.159076923329394e-08
1846,1.9219814628712584e-09
1847,1.0014019835580257e-08
1848,1.3213524496791251e-08
1849,1.3761316863813988e-08
1850,4.4580401592497765e-09
1851,1.0587853260801694e-08
1852,2.140059685018514e-09
1853,4.575929413164204e-09
1854,9.661413002959307e-09
1855,1.5708026879224235e-08
1856,7.939596313732977e-09
1857,1.283927364426063e-08
1858,1.1794172749546306e-08
1859,1.226337342785655e-08
1860,7.025175108310577e-09
1861,1.2909609381495102e-08
1862,1.8814123592392207e-08
1863,2.57682817306204e-08
1864,1.732348131611161e-08
1865,2.1670343741675424e-08
1866,1.3348265603951859e-08
1867,3.0875323631107676e-08
1868,1.4065769882165569e-08
1869,1.3929012387947637e-08
1870,1.7593206891319824e-08
1871,1.1664925914089963e-08
1872,1.1940320732151122e-08
1873,1.1152721413054678e-08
1874,7.866196582995144e-09
1875,3.269224535529247e-08
1876,2.5899241085092228e-08
1877,3.471855825054604e-08
1878,4.519849383655128e-08
1879,7.459787154662223e-08
1880,2.756123329561433e-08
1881,2.07478603186928e-08
1882,3.5905404871527935e-08
1883,2.368647145090108e-08
1884,1.3822200273239105e-08
1885,1.9175626420064873e-08
1886,2.3467826792966662e-08
1887,2.953075828315832e-08
1888,1.9569254661178093e-08
1889,2.0742186634947757e-08
1890,3.4699077389177546e-08
1891,2.6000666508707582e-08
1892,6.225469473264411e-09
1893,3.05682377188532e-08
1894,1.670114357921193e-08
1895,2.4575243173785566e-08
1896,2.4066110881904024e-08
1897,1.223949919193501e-08
1898,1.872777843914264e-08
1899,1.708114893972379e-08
1900,1.4340010956459537e-08
1901,1.3568161705279635e-08
1902,2.162860934795674e-08
1903,2.5632266142938676e-08
1904,2.1366816316259474e-08
1905,2.6210321024677796e-08
1906,1.702697216554583e-08
1907,3.467050646577263e-08
1908,3.634659151430242e-08
1909,1.6984984085866017e-08
1910,1.1206880756731152e-08
1911,2.3487240596864467e-08
1912,1.896748180740815e-08
1913,2.1063961241907236e-08
1914,3.471699017154606e-08
1915,7.792857914523665e-09
1916,7.256016232304319e-09
1917,5.186239970811357e-08
1918,8.846387622440943e-09
1919,2.0269892431201697e-08
1920,1.8355429176608595e-08
1921,3.509923018896188e-08
1922,2.4431660250456844e-08
1923,3.28479607958343e-08
1924,5.272150715995849e-08
1925,3.046296370712298e-08
1926,4.074082105010035e-08
1927,5.554205984026339e-08
1928,2.9098797371673868e-08
1929,5.307329686843332e-08
1930,3.6039960349398825e-08
1931,4.293705635483036e-08
1932,5.2153925622633324e-08
1933,4.187032520697187e-08
1934,4.778703299734843e-08
1935,3.050659813652601e-08
1936,3.489796185363048e-08
1937,2.2316145376066743e-08
1938,3.729469000290919e-08
1939,3.896700206951209e-08
1940,1.970230556480601e-08
1941,3.28096341206674e-08
1942,4.037274692336723e-08
1943,5.459333629609375e-08
1944,3.549450511286523e-08
1945,3.3641470054135425e-08
1946,1.3857622604973585e-08
1947,3.5553136989996403e-08
1948,3.4892990274926206e-08
1949,3.569304807271578e-08
1950,3.999339792670753e-08
1951,4.4836426127403683e-08
1952,4.788915841658081e-08
1953,5.2396349481398374e-08
1954,4.2146221179706345e-08
1955,4.1551305063336486e-08
1956,5.981072348504313e-08
