year,les_DET oies_NOUN,les_DET poids_NOUN
1800,1.2576657759666432e-06,3.4774459010122882e-06
1801,1.1977348979286262e-06,3.7170259759022883e-06
1802,1.163676898841004e-06,3.220251926450146e-06
1803,2.1687771649681054e-06,2.2116847446795873e-06
1804,1.3867083934471225e-06,1.5127727763797338e-06
1805,2.2146017630841897e-06,1.8308132894162554e-06
1806,5.79215488016871e-07,3.5012278800650165e-06
1807,5.523092792003581e-07,2.351584825532882e-06
1808,9.789439445739845e-07,2.4813511316779113e-06
1809,1.5790623262290637e-06,2.8283062363243516e-06
1810,8.284048975681912e-07,2.904097378575443e-06
1811,6.86939027438882e-07,2.9433081820684492e-06
1812,3.040617375660304e-07,3.7047522027933155e-06
1813,4.486156939265129e-07,2.910250529453151e-06
1814,4.6256154684343187e-07,2.196380592067726e-06
1815,5.772058635500343e-07,3.7005907103093705e-06
1816,7.207747927395758e-07,2.8297942407107257e-06
1817,6.896949305001954e-07,1.9803428727982464e-06
1818,1.624856460047397e-06,1.970570608023081e-06
1819,3.560761119292266e-07,2.371425466662913e-06
1820,6.028172503391716e-07,1.769292296671665e-06
1821,3.8361188581248484e-07,1.9210179118545057e-06
1822,7.128213184159904e-07,2.3068941032988732e-06
1823,6.453394680860924e-07,2.068446363523435e-06
1824,4.7326652907742073e-07,2.1145413313661265e-06
1825,8.04817498867294e-07,2.336964655569318e-06
1826,4.862007410011415e-07,2.6045210290703835e-06
1827,7.521294603796136e-07,2.640748817839267e-06
1828,6.741641236374107e-07,2.459093948914415e-06
1829,5.332515518041703e-07,2.456214872381679e-06
1830,5.604580937124126e-07,2.576854853941768e-06
1831,5.347783620379687e-07,2.499270379985319e-06
1832,4.7354891563600177e-07,2.129617143964424e-06
1833,5.444305370971847e-07,2.8924321213708026e-06
1834,6.823541847111869e-07,2.352301748942409e-06
1835,6.239547474251594e-07,2.1547237025743016e-06
1836,6.431757593183818e-07,1.9900140557638224e-06
1837,5.656765456052426e-07,2.2460072841568035e-06
1838,5.655697066231369e-07,2.664994795509301e-06
1839,5.949745203182033e-07,3.539084787007596e-06
1840,4.834593818614508e-07,3.308416296476935e-06
1841,4.25040309615099e-07,2.5348324754759233e-06
1842,4.320122641843227e-07,2.6544605589151615e-06
1843,4.690087438419255e-07,2.4295126337392503e-06
1844,4.7476054065853646e-07,3.0049872350446094e-06
1845,6.679532877917893e-07,2.511660497361845e-06
1846,3.9225158054989606e-07,2.295550061148788e-06
1847,7.286245065074581e-07,2.7009263874333556e-06
1848,5.044354058902911e-07,2.4875825914705274e-06
1849,4.047257355921374e-07,1.6683415395846168e-06
1850,4.4332145066050543e-07,2.156864013613813e-06
