year,quelques_DET yeux_NOUN,quelques_DET pieux_NOUN
1800,5.973912209356058e-08,4.4018303668735825e-08
1801,5.476719877606229e-08,5.714838380299625e-08
1802,2.0140561218795483e-08,8.951360541686881e-09
1803,5.655983770225248e-08,4.290746247193056e-08
1804,7.662737999680758e-08,7.662737999680758e-08
1805,4.264316544322355e-08,4.8328921309348516e-08
1806,2.0171683878800195e-08,2.0171683878800195e-08
1807,5.693910232196231e-09,8.540865348294346e-09
1808,4.305540457494317e-08,0.0
1809,9.487928309681593e-08,8.358412828535222e-08
1810,1.4040760554223652e-08,3.042164786748458e-08
1811,1.0028307073639553e-08,2.757784400841956e-08
1812,6.13457871168066e-08,6.401299534886107e-08
1813,8.052076339026826e-08,4.888760685162197e-08
1814,6.922689976818219e-08,1.2586708564299443e-08
1815,7.821948599939788e-08,5.394447111228828e-09
1816,6.952811304472561e-08,8.343373991692715e-08
1817,4.0478710161551135e-08,4.2035583236454954e-08
1818,4.887682791832049e-08,5.24531800216721e-08
1819,3.105314938522952e-08,1.449147024601416e-08
1820,1.6613073583471305e-08,3.322614716694261e-08
1821,3.944595405869222e-08,4.536284592404627e-08
1822,1.604098542884458e-08,5.6143449000956025e-08
1823,1.9765373338032077e-08,2.9648060451137326e-08
1824,2.6947560627377243e-08,3.9579230559638745e-08
1825,8.189061873054015e-08,4.6668848341369085e-08
1826,1.6735169694470642e-08,7.486786657295852e-08
1827,5.2538454919925925e-08,2.5808365222701468e-08
1828,1.3758452155343548e-08,3.577197321691372e-08
1829,3.600733933240008e-08,4.2865881511033876e-08
1830,3.1310506187764986e-08,6.888311787633938e-08
1831,4.989185953263586e-08,4.989185908854665e-08
1832,7.441483085290912e-08,1.1229874552487473e-07
1833,3.8225973497674204e-08,7.529358736491076e-08
1834,1.866906162995008e-08,4.947301479596433e-08
1835,5.596685070941021e-08,4.9916380362446944e-08
1836,3.427582484505365e-08,6.250297523990866e-08
1837,4.035576894878545e-08,2.922314124020886e-08
1838,1.8936486156917454e-08,5.239094313935766e-08
1839,2.9364195075487487e-08,5.3135210009713774e-08
1840,2.8026629905752998e-08,5.414235315637228e-08
1841,2.5040138851295524e-08,7.447836303242639e-08
1842,7.647422251011449e-08,7.580339733692654e-08
1843,3.1306629344474146e-08,6.733878388232029e-08
1844,3.9517641825526084e-08,6.915587436040482e-08
1845,5.1896119845906696e-08,5.0222049630122e-08
1846,2.6930706553685013e-08,7.669396939746775e-08
1847,1.4561703842730367e-08,7.820174108275069e-08
1848,3.459445352405055e-08,8.045221733254948e-08
1849,6.535943475327599e-08,6.368355331964892e-08
1850,1.4935791270431764e-08,5.0917471128286707e-08
1851,1.676854055610022e-08,5.997978291816253e-08
1852,3.255272873481374e-08,5.338647213193326e-08
1853,2.20961471342207e-08,8.957898023354005e-08
1854,2.1821791262865986e-08,7.066103657749068e-08
1855,3.3964397516683675e-08,5.413075854221461e-08
1856,3.4169448159815374e-08,7.144521152468997e-08
1857,3.7099468830348314e-08,6.004256203340219e-08
1858,2.9851424443450014e-08,4.746865722715654e-08
1859,1.476730293603623e-08,6.467060265080704e-08
1860,2.4259074749011234e-08,9.154368107999744e-08
1861,2.5937800796071997e-08,5.093240695863699e-08
1862,5.82820236516568e-08,5.0149648433972516e-08
1863,4.345320192555846e-08,6.842630728698396e-08
1864,2.685047595374357e-08,8.630510273111014e-08
1865,2.3063536858103362e-08,4.6127072828028304e-08
1866,1.6056522000873485e-08,6.909170613411675e-08
1867,2.91168689159349e-08,4.610170911689693e-08
1868,2.1241458370013788e-08,2.9639244392143382e-08
1869,3.857980201971145e-08,3.7114745943256366e-08
1870,4.587239077480376e-08,4.300536682322331e-08
1871,3.080141297573391e-08,2.8677178409708404e-08
1872,3.205089882385437e-08,4.535504372071841e-08
1873,2.0352414864532875e-08,3.3521626696675355e-08
1874,2.0911131493051016e-08,5.8551169912490764e-08
1875,6.75140180983469e-08,5.263804814248374e-08
1876,4.897272098958183e-08,3.3253082065698436e-08
1877,2.1646855308254942e-08,4.638612050023028e-08
1878,1.8117265909722846e-08,3.9857986022795444e-08
1879,1.7717042943843353e-08,4.643087059275075e-08
1880,2.759673911612026e-08,2.952209343654033e-08
1881,2.719278008322945e-08,3.207353560519266e-08
1882,5.2577541653775484e-08,4.45910792734594e-08
