year,deux_DET artisans_NOUN,deux_DET partisans_NOUN
1800,0.0,0.0
1801,0.0,7.143547975374531e-09
1802,2.2378401354217203e-08,0.0
1803,0.0,5.851017448321727e-09
1804,0.0,9.887403784603066e-09
1805,5.685755422035754e-09,5.685755422035754e-09
1806,3.1698359492793315e-08,0.0
1807,5.693910232196231e-09,5.693910232196231e-09
1808,0.0,4.5321479902327155e-09
1809,9.036122294858728e-09,4.51806094758922e-08
1810,1.6380887757350138e-08,2.574139479349924e-08
1811,0.0,5.0141535368197765e-09
1812,0.0,4.800974906515876e-08
1813,0.0,3.4508900625951355e-08
1814,1.2586708564299443e-08,0.0
1815,0.0,1.3486118000116676e-08
1816,1.3905623319487859e-08,2.3176038865813098e-08
1817,2.9580594418376904e-08,2.80237220096069e-08
1818,8.344823942962876e-09,3.337929754820834e-08
1819,2.070210003424222e-08,1.1386155129855524e-08
1820,0.0,2.0173017034608165e-08
1821,7.889190412058156e-09,2.7612166775270452e-08
1822,4.010246357211145e-09,6.015369535816717e-09
1823,1.9765373782121287e-09,4.941343334508019e-08
1824,1.431589158329416e-08,2.6947560627377243e-08
1825,2.0252518551089338e-08,7.044354433105582e-09
1826,5.284790383086602e-09,1.145037931138404e-08
1827,1.8434546333878643e-08,1.1982455028203276e-08
1828,0.0,1.1923991571904935e-08
1829,1.7146351560803907e-08,2.2290257639667743e-08
1830,5.218417920005436e-09,1.9829987651931447e-08
1831,2.02685670469549e-08,2.494592976631793e-08
1832,1.0823975604701275e-08,2.4353944638733083e-08
1833,1.9692167896323554e-08,2.20088942626262e-08
1834,7.467624518753269e-09,2.0535968925372572e-08
1835,1.4369867074037757e-08,1.5126175867408165e-08
1836,8.064900081095061e-09,4.838940020901461e-08
1837,1.8090515752078318e-08,2.0177884252348122e-08
1838,5.049729523420865e-09,1.7674052665839213e-08
1839,2.097442586279641e-08,2.8665047446807534e-08
1840,2.229391071750797e-08,3.121147285067849e-08
1841,1.0914932957462042e-08,4.494383887276854e-08
1842,2.750388716776797e-08,2.683306066231239e-08
1843,2.303695284533447e-08,1.5357969118667825e-08
1844,1.5367972006075092e-08,2.0856532723101395e-08
1845,1.9530798145428463e-08,1.7856729261911397e-08
1846,2.0490753982471688e-08,2.5174355933188508e-08
1847,1.240441438454809e-08,2.3190861675459473e-08
1848,1.769948809737798e-08,2.0917577225887385e-08
1849,2.513824481908955e-09,5.02764896381791e-09
1850,2.308258650884909e-08,2.308258650884909e-08
1851,9.029214709244116e-09,3.805168802273329e-08
1852,7.812654745364966e-09,3.2552726736412296e-08
1853,2.448492031348337e-08,1.5527022334538287e-08
1854,1.610655964157104e-08,2.5458756436336216e-08
1855,2.175844215912548e-08,1.963566731433275e-08
1856,1.501384794266869e-08,2.3815070526733706e-08
1857,6.8341128311999455e-09,2.147863931156735e-08
1858,1.7127865237220874e-08,3.083016059113319e-08
1859,1.9859475841599306e-08,3.157147410171035e-08
1860,1.006980487883169e-08,2.563223072682419e-08
1861,1.4147890858851042e-08,1.8863854478468056e-08
1862,1.2650361758126394e-08,3.207770415958322e-08
1863,1.2986014319427142e-08,2.4973104473247076e-08
1864,9.589456340108882e-09,1.9178912680217763e-08
1865,6.1188974997961054e-09,2.729969672543575e-08
1866,2.0435575009969398e-08,2.6760870852626795e-08
1867,1.7955402498159856e-08,3.2513838732484146e-08
1868,1.877152122631287e-08,1.4819621974027086e-08
1869,1.9534076356464425e-08,2.2952539424636598e-08
1870,4.587239033071455e-09,3.1537268352366254e-08
1871,1.4869648623516696e-08,5.3105884134652115e-09
1872,2.3584623143335648e-08,1.1489944995446422e-08
1873,1.7958013742713774e-08,2.8134220286801792e-08
1874,2.3300975371398636e-08,1.6131444402489592e-08
1875,7.437985338754061e-09,1.2015206607429718e-08
1876,9.67362390191795e-09,1.874264654588842e-08
1877,2.412078203839485e-08,9.27722432209066e-09
1878,9.058632954861423e-09,2.3552445993502147e-08
1879,3.9099681714560575e-08,3.29903571127943e-08
1880,1.4761046607247863e-08,1.6044616080179708e-08
1881,1.2550514016940184e-08,1.2550514016940184e-08
1882,2.4624925210048332e-08,2.7952618442128596e-08
1883,1.7062215029728378e-08,3.096476142161464e-08
1884,2.1125429405799423e-08,2.3766109080725073e-08
1885,1.0313017106966527e-08,2.5782542378838258e-08
1886,1.5488312854472497e-08,3.0976626153034204e-08
1887,2.0892558794116667e-08,7.181817029966453e-09
1888,1.3315291091942072e-08,2.2192152115962926e-08
1889,1.9421923624918236e-08,1.50363277384713e-08
1890,1.2453334030659846e-08,1.7696843546133323e-08
1891,8.286486163910922e-09,2.6134301833735663e-08
1892,2.193979398157353e-08,2.319349667878612e-08
1893,1.354851614232544e-08,2.278614102957377e-08
1894,5.041231432301174e-09,1.071261657159539e-08
1895,2.8287488795797344e-08,1.745398137131815e-08
1896,1.7101383420481397e-08,1.6511680911435178e-08
1897,1.2236098245743676e-08,1.8062811357744124e-08
1898,2.8291773368493978e-09,2.037007806876545e-08
1899,1.2713430308508578e-08,2.5426860617017155e-08
1900,1.349673839357024e-08,1.6611369391128505e-08
1901,1.564846852097901e-08,1.117747761014698e-08
1902,9.329539363278627e-09,1.0802624406114347e-08
1903,2.2140903999101624e-08,1.8900770726304472e-08
1904,8.599400302955473e-09,1.5586413049106795e-08
1905,2.477164412484356e-08,2.4255568220610257e-08
1906,9.259531807970234e-09,3.549487459508782e-08
1907,1.7999951751335175e-08,1.2857107989372452e-08
1908,1.276961114626829e-08,2.8977195976054304e-08
1909,1.2102163715610459e-08,1.7603146496014688e-08
1910,1.389479176161501e-08,3.0461659195069046e-08
1911,1.4897047595496815e-08,2.606983384723094e-08
1912,5.730363183964471e-09,2.5005221615526096e-08
1913,1.3787773589513108e-08,2.7575546734937006e-08
1914,1.339348720819089e-08,3.214436938847598e-08
1915,7.0684572639478915e-09,2.4739600590351074e-08
1916,1.7579939282086343e-08,3.186363883855847e-08
1917,2.0836206537921953e-08,1.0966424435210342e-08
1918,1.722956533001252e-08,1.2635013924011673e-08
1919,1.3811772170413406e-08,3.314825391953491e-08
1920,1.1358347595802343e-08,1.8930579326337238e-08
1921,3.7863738810983705e-09,1.2873671018098776e-08
1922,1.1066902949607993e-08,1.623145884366295e-08
1923,2.229349149729387e-08,2.7601465113491486e-08
1924,1.804827398643738e-08,1.933743654092268e-08
1925,3.0794897964980805e-08,2.0896537833436923e-08
1926,2.452150393850161e-08,2.452150482668003e-08
1927,1.1149224654616319e-08,2.006860555514578e-08
1928,2.170947865920425e-08,2.170947865920425e-08
1929,1.893869105984436e-08,1.5596569369336066e-08
1930,1.995684684175103e-08,4.5165493789411926e-08
1931,3.763767786324479e-08,2.5091784650044247e-08
1932,2.520693342944469e-08,4.274219245203881e-08
1933,2.2941324839820254e-08,2.5235457723482568e-08
1934,5.152079296522061e-08,2.6359476379411717e-08
