year,aux_ADP yeux_NOUN,aux_ADP pieux_ADJ
1800,3.5525915563994204e-05,9.432493897065797e-09
1801,3.640590210807204e-05,4.7623651688866175e-09
1802,3.013923094385973e-05,1.3427040812530322e-08
1803,3.072759488986776e-05,3.900678446910888e-09
1804,3.60321719199419e-05,1.2359254952798437e-08
1805,3.384161607300484e-05,5.685755422035754e-09
1806,3.091166399826761e-05,4.8988376022407465e-08
1807,2.8720083264488494e-05,3.701041606518629e-08
1808,3.115625190730498e-05,9.064295980465431e-09
1809,3.07928455072215e-05,3.388545621874073e-08
1810,3.9059055211509985e-05,3.7442028144596406e-08
1811,2.7114034764963435e-05,6.518399686683551e-08
1812,2.7826983568957075e-05,1.600324850414836e-08
1813,3.295887449894508e-05,5.751483289628823e-09
1814,3.4383739489385334e-05,4.090680150170556e-08
1815,3.430598565046239e-05,5.933891866760632e-08
1816,3.066421697894839e-05,5.7940097164532745e-08
1817,3.429013736422348e-05,4.0478710161551135e-08
1818,3.4840833279758954e-05,2.384235475716423e-09
1819,3.736832661616063e-05,4.140419918030602e-08
1820,3.428701131724665e-05,5.814575843032799e-08
1821,3.6753767972186324e-05,6.114122896860863e-08
1822,3.3558745712980453e-05,1.7043547018147365e-08
1823,3.2219534261912486e-05,1.9765373338032077e-08
1824,3.3167395031341584e-05,3.9579230559638745e-08
1825,3.443544648007446e-05,3.258013947515792e-08
1826,3.087462789608253e-05,4.492072136486058e-08
1827,2.995337223410388e-05,2.5808365222701468e-08
1828,3.177927248998458e-05,2.384798314380987e-08
1829,3.303587550362863e-05,2.4862210068476998e-08
1830,3.366296937201696e-05,4.2791025167687735e-08
1831,3.0487044341498404e-05,4.677361786775691e-08
1832,3.404005167340074e-05,6.629684889958298e-08
1833,3.230326478842471e-05,8.108539617524002e-08
1834,3.1475105288336636e-05,4.387229424196448e-08
1835,3.2047827744463575e-05,6.277362984974388e-08
1836,3.0221868428270682e-05,6.720749778921231e-08
1837,2.9352557874062768e-05,3.6181031504156635e-08
1838,2.8857941060778103e-05,1.7042836475411605e-08
1839,3.083310468809941e-05,5.872839281551023e-08
1840,3.2254192888103717e-05,4.267691267045848e-08
1841,3.1049772587721236e-05,5.8426991245141835e-08
1842,3.257868797845731e-05,7.580339200785602e-08
1843,3.359850995821034e-05,4.843667072984559e-08
1844,3.509111695620959e-05,6.696044607679141e-08
1845,3.355725880282989e-05,9.039969217639054e-08
1846,3.277408450230723e-05,6.615586745084556e-08
1847,3.189930146163533e-05,6.525800433365703e-08
1848,2.969813203890226e-05,6.355725090667619e-08
1849,3.090998552579549e-05,5.865590324560799e-08
1850,3.0018224606465083e-05,4.752297222410107e-08
1851,3.083154251726228e-05,1.3221349748349098e-07
1852,3.1054000487529265e-05,8.138181728511995e-08
1853,3.189130984537769e-05,6.031651222926371e-08
1854,3.408355723877321e-05,1.0651111947979075e-07
1855,3.365500174368208e-05,8.544168395019369e-08
1856,3.329295111598185e-05,7.972871757244704e-08
1857,3.0984402314970794e-05,5.516105261449411e-08
1858,3.1430612693839066e-05,4.4532452392331834e-08
1859,3.4402213714201935e-05,8.605773094139124e-08
1860,3.416867741634633e-05,7.048863048808585e-08
1861,3.418696246626496e-05,6.272231445336729e-08
1862,3.222227701371594e-05,8.267915063697728e-08
1863,3.261437313994975e-05,6.99246882618354e-08
1864,3.349500900640123e-05,1.006892844657159e-07
1865,3.231248490465077e-05,7.013198088934303e-08
1866,3.251591886055394e-05,5.352174348161043e-08
1867,2.998940465204214e-05,6.648351558169452e-08
1868,2.976718781155796e-05,6.86642493974432e-08
1869,3.214967148323922e-05,7.862466178121252e-08
1870,2.900625997881434e-05,6.135432073506308e-08
1871,2.6847150365938433e-05,3.3987767267262825e-08
1872,2.9111286039551487e-05,5.200711683528425e-08
1873,2.6478492372916662e-05,6.824045328812645e-08
1874,2.5575509198461077e-05,5.556386639682387e-08
1875,2.7142352791997837e-05,6.007603436941622e-08
1876,2.5868478019219765e-05,4.8972719879358806e-08
1877,2.692497741918487e-05,4.638611983409646e-08
