year,ces_DET heures_NOUN,ces_DET peurs_NOUN
1800,4.779129909593394e-07,1.8864987794131594e-08
1801,2.809795578428975e-07,9.52473055981784e-09
1802,3.938598638342228e-07,2.2378401354217203e-09
1803,4.0567055314966183e-07,2.145373123596528e-08
1804,5.759412742278869e-07,1.2359254952798437e-08
1805,4.292745461320635e-07,2.842877711017877e-09
1806,3.4580029328878936e-07,1.152667650217154e-08
1807,2.533790075531783e-07,3.4163461837266595e-08
1808,3.58039702774704e-07,9.064295980465431e-09
1809,3.4111361646438354e-07,0.0
1810,5.616304292743735e-07,2.3401267590372754e-09
1811,2.1811567663121423e-07,2.5070767684098882e-09
1812,1.050880054975778e-06,0.0
1813,3.882251107256707e-07,0.0
1814,4.342414463565092e-07,0.0
1815,2.80511247563453e-07,1.3486117556027466e-08
1816,2.757948767140306e-07,0.0
1817,4.810738927218949e-07,1.0898114077839693e-08
1818,3.4213778743463763e-07,7.152706427149269e-09
1819,4.2646326914308474e-07,1.035105001712111e-09
1820,4.663527022330527e-07,2.1359666035891678e-08
1821,3.747365582285056e-07,7.88919063410276e-09
1822,5.032859036191439e-07,3.909990198280866e-08
1823,4.081549775936111e-07,1.9765373782121287e-09
1824,3.5621306437860767e-07,1.51580028528997e-08
1825,4.6668848341369085e-07,3.874394849390228e-08
1826,4.254256280589175e-07,9.688783109140786e-09
1827,3.6776920531167434e-07,1.566936447261469e-08
1828,3.834021802262555e-07,8.255071293206129e-09
1829,5.29822282047121e-07,7.715858174606183e-09
1830,6.251664448342353e-07,3.1310507520032616e-09
1831,5.955840478577556e-07,1.870944643656003e-08
1832,8.036801786293069e-07,3.92369123858316e-08
1833,6.927009597035294e-07,4.2859426230279496e-08
1834,7.616977377722378e-07,2.7070139907436896e-08
1835,8.591667679525017e-07,5.294161553592858e-09
1836,6.539290008933385e-07,3.293167694096155e-08
1837,6.603038391617133e-07,2.5744196108234974e-08
1838,6.173294133660079e-07,1.8936486156917454e-08
1839,6.278344972798777e-07,8.3897702118918e-09
1840,6.745500469307331e-07,1.7198158897002713e-08
1841,6.664529230704375e-07,9.630822805917205e-09
1842,7.72121294900785e-07,2.1466449062756965e-08
1843,7.448614844918211e-07,2.1855570242479416e-08
1844,7.480909118839918e-07,1.2623690981428126e-08
1845,7.617011354987824e-07,2.734311754792884e-08
1846,6.117954001183534e-07,1.6392604607062822e-08
1847,8.122194863346976e-07,1.5101026207275936e-08
1848,7.06370484659935e-07,3.459445441222897e-08
1849,1.1261933794415313e-06,1.7596770485184265e-08
1850,7.128445957960139e-07,2.2403686017469226e-08
1851,7.874764538229329e-07,1.0319102239364497e-08
1852,8.821789183599549e-07,1.1067927019325907e-08
1853,9.447596340805831e-07,2.388772823991303e-08
1854,9.076826055220977e-07,1.4547860249791711e-08
1855,8.793594616918199e-07,2.3350523292720027e-08
1856,8.909942721402331e-07,2.0708757375587084e-08
1857,9.767899662449508e-07,2.294309286998697e-08
1858,9.3860704808435e-07,2.1532175153993194e-08
1859,1.262349769604043e-06,1.7313388944728558e-08
1860,1.1983067480514364e-06,1.0069804545764782e-08
1861,1.0304380406722657e-06,1.6034276129062164e-08
1862,1.0323598704786718e-06,3.252950264709398e-08
1863,1.0453741552396423e-06,3.49623441309177e-08
1864,1.1018284880037754e-06,8.151037178549814e-09
1865,1.028445485218299e-06,2.447559133145205e-08
1866,1.0144803077594133e-06,3.2113046444237625e-08
1867,1.0127817731131472e-06,3.4454963326879806e-08
1868,1.0181080236648654e-06,3.309715557175963e-08
1869,1.1280929532730966e-06,2.148748501351605e-08
1870,9.88550018732326e-07,2.2362790730312554e-08
1871,1.255423162760394e-06,1.911811864374613e-08
1872,1.2245862084370174e-06,1.9351485636143195e-08
1873,8.799426467476223e-07,2.035241503106633e-08
1874,1.1536969939385244e-06,3.58476540673891e-08
1875,9.835304997096728e-07,2.2313955738706426e-08
1876,9.661531734650453e-07,1.3905834261862537e-08
1877,9.054570888622493e-07,2.7831671856048956e-08
1878,1.0272490058582662e-06,1.9928993455486932e-08
1879,8.614148505614594e-07,2.0160774161226414e-08
1880,9.158266767173018e-07,2.4387815988902162e-08
1881,1.0647018857667945e-06,1.324776466304911e-08
1882,1.1307498866131027e-06,2.3959387140948252e-08
1883,9.63067265047357e-07,2.0853818227806187e-08
1884,1.1090850584594136e-06,2.1125430293977843e-08
1885,1.006163740768784e-06,2.2559724754955823e-08
1886,9.512405583222971e-07,2.1296430396944288e-08
1887,1.1203634127099349e-06,2.676859051087277e-08
1888,1.0639551195623653e-06,1.268122984399156e-08
1889,9.855060216779066e-07,1.816889694250534e-08
1890,1.1502948300545768e-06,1.7041404731799048e-08
1891,1.0804302590372572e-06,2.294719203543849e-08
1892,1.0167527051407887e-06,2.7581453565517222e-08
1893,1.178720943961764e-06,2.4017824229449758e-08
1894,1.2388825965103933e-06,4.726154290146667e-08
1895,1.431828437148397e-06,3.2500518276634693e-08
1896,1.2708097258951057e-06,3.3023362711048776e-08
1897,1.1735000873258628e-06,3.1464252425728034e-08
1898,1.1543043942907616e-06,3.791097946681532e-08
1899,1.2481271749464895e-06,2.4874102777516782e-08
1900,1.1954995891017006e-06,2.7512582434496835e-08
1901,1.0842153104206886e-06,3.520905544895925e-08
1902,1.0183928793594532e-06,1.915010727771005e-08
1903,1.2690518147451257e-06,1.9440793863623185e-08
1904,1.2200399730488698e-06,6.449550227216605e-09
1905,1.1869746128212455e-06,2.1159111629476257e-08
1906,1.1893354887604346e-06,2.0576738091193647e-08
1907,1.2239966871163688e-06,1.337139288182243e-08
1908,1.2936599276258676e-06,1.8663278922304016e-08
1909,1.3807468626225727e-06,1.705304941701513e-08
1910,1.3274870003243677e-06,2.0842188419578633e-08
1911,1.452994148110065e-06,3.085817068537722e-08
1912,1.3091276080956504e-06,1.82329742415277e-08
1913,1.5410487677058882e-06,2.386345443472493e-08
1914,1.5402510875617281e-06,8.036092513652449e-09
1915,2.8992455529675e-06,2.1205371680821372e-08
1916,2.942442414166635e-06,1.3184954683609362e-08
1917,2.743799454307805e-06,9.869781991689308e-09
1918,2.7509870408337633e-06,2.6418664589300533e-08
1919,2.8323340682256948e-06,1.9336480860943084e-08
1920,2.0679765544429074e-06,3.180337193597893e-08
1921,1.8076148275980586e-06,2.7261890078733586e-08
1922,1.6268348019821133e-06,1.1066903560230656e-08
1923,1.692182074464199e-06,4.352538862661959e-08
1924,1.7919358361595528e-06,3.867487308184536e-08
1925,1.6937193585420118e-06,3.6293987148994233e-08
1926,1.5638032682119274e-06,2.229227735739414e-08
1927,1.7671521028717052e-06,4.9056590789575694e-08
1928,1.5562268345092889e-06,4.570416578530967e-08
1929,1.5284637786550093e-06,1.2254446790649354e-08
1930,1.3990800233898426e-06,3.7812974085227324e-08
1931,1.3595184773507185e-06,2.167017854048936e-08
1932,1.451042655364887e-06,1.6439305139392957e-08
1933,1.41089141614259e-06,2.86766552726192e-08
1934,1.38986324671464e-06,1.9170528275935794e-08
1935,1.4601306572714634e-06,3.4708022234042346e-08
1936,1.476790199461675e-06,3.152425742669607e-08
1937,1.7929752491596673e-06,1.76275650742852e-08
1938,1.9266308921572772e-06,2.463390735840676e-08
1939,1.9989323973845785e-06,2.7529289958749814e-08
1940,1.5392202232789032e-06,2.7893612530860423e-08
1941,2.0306337820130693e-06,5.9030050181263505e-08
1942,1.938861319272789e-06,4.247896612241675e-08
1943,1.9364578425218326e-06,3.193558839598154e-08
1944,2.0018149449185785e-06,6.42637232317611e-08
1945,2.230788129331529e-06,6.971213206696802e-08
1946,1.8974465021415199e-06,5.4292307538617024e-08
1947,1.6593852372182027e-06,5.722018059373113e-08
1948,1.727542962903783e-06,2.5005341353079302e-08
1949,1.4126675145220702e-06,2.3560819073509265e-08
1950,1.3751522009997075e-06,4.2541447031752e-08
1951,1.361461002602482e-06,4.477788728696197e-08
1952,1.310719081715206e-06,3.5852332658237174e-08
1953,1.2465318803833725e-06,3.5553629817997034e-08
1954,1.354473554648905e-06,3.518113000922085e-08
1955,9.864273540216573e-07,4.786659868472043e-08
1956,1.2331694585476782e-06,4.971050682200939e-08
1957,1.2545753076409483e-06,3.268963910674216e-08
1958,1.214365298096709e-06,4.963345967556876e-08
