year,voulez_VERB unir_VERB,voulez_VERB punir_VERB
1800,6.288328968651058e-09,1.5720821977538435e-08
1801,7.143547975374531e-09,6.667310969987739e-08
1802,1.1189200677108602e-08,0.0
1803,7.801356893821776e-09,3.1205427575287104e-08
1804,0.0,1.730295728918918e-08
1805,0.0,8.528632911009026e-09
1806,2.881669125542885e-09,1.152667650217154e-08
1807,0.0,1.9928686256776018e-08
1808,2.2660739951163578e-09,2.2660739951163578e-09
1809,0.0,9.036122072814123e-09
1810,0.0,3.042164919975221e-08
1811,5.0141535368197765e-09,1.2535384286138651e-08
1812,0.0,1.3336041604361526e-08
1813,5.751483289628823e-09,0.0
1814,3.1466771410748606e-09,9.440030979135372e-09
1815,0.0,2.697223555614414e-09
1816,0.0,4.6352077731626196e-09
1817,4.670620334934483e-09,2.6466848268569265e-08
1818,9.536941902865692e-09,1.9073883805731384e-08
1819,9.315945348475907e-09,2.898294049202832e-08
1820,7.119888678630559e-09,4.865257352548724e-08
1821,0.0,3.8459806006585495e-08
1822,5.012807946513931e-09,1.4035862250239006e-08
1823,0.0,2.668325471688604e-08
1824,0.0,4.29476756380609e-08
1825,0.0,1.2327619813845558e-08
1826,0.0,3.170874407487645e-08
1827,0.0,1.7512819638909605e-08
1828,3.668920500743411e-09,2.935136400594729e-08
1829,8.57317605795771e-10,2.1432940755516938e-08
1830,1.0436835840010872e-09,3.444155893816969e-08
1831,0.0,2.6505050598757407e-08
1832,0.0,6.764984572527055e-09
1833,0.0,5.791814139399776e-09
1834,0.0,1.8669062740173104e-08
1835,7.563087933704082e-10,1.663879345414898e-08
1836,2.016224964762614e-09,1.008112526790228e-08
1837,6.957890930081589e-10,4.87052354003481e-09
1838,6.312161904276081e-10,1.830527018853445e-08
1839,0.0,1.11863602825224e-08
1840,4.458782232319436e-09,1.592422194107712e-08
1841,1.2841097074556274e-09,1.0914932957462042e-08
1842,0.0,1.9453969102301016e-08
1843,1.1813822142769936e-09,8.269675610961258e-09
1844,7.1351298203126134e-09,7.683985892015244e-09
1845,1.1160455892778032e-09,2.0646844234306627e-08
1846,5.854501328173001e-10,1.8148954339380907e-08
1847,9.168480197274675e-09,1.77976389181822e-08
1848,1.6090443422100975e-09,7.24069959545659e-09
1849,8.379414939696517e-10,2.3462362719328667e-08
1850,4.073397619208663e-09,1.5614691761811628e-08
1851,6.449438760824933e-10,1.6123596680017727e-08
1852,1.9531636308300904e-09,7.812654523320361e-09
1853,5.971931837933653e-10,7.763511611358354e-09
1854,1.0391328908454511e-09,1.3508727469968562e-08
1855,5.306937111981824e-10,3.714855978387277e-09
1856,1.5531567143511893e-09,1.7602443946884705e-08
1857,9.763018171682347e-10,3.4170564155999728e-09
1858,4.404308473482388e-09,9.297984604472731e-09
1859,1.5276520048956854e-09,8.656694916453489e-09
1860,1.373155145145688e-09,5.950338888283113e-09
1861,1.4147891747029462e-09,1.0375120318428799e-08
1862,1.3553959066214816e-09,3.4788495639759276e-08
1863,4.994620717013731e-09,7.491931519609807e-09
1864,3.835782358407869e-09,1.2466292886870178e-08
1865,0.0,1.1296426905005319e-08
1866,2.432806400776144e-09,2.77339928800302e-08
1867,1.94112459439566e-09,1.1161466417775046e-08
1868,4.93987406535723e-10,2.222943251695142e-08
1869,0.0,1.5627261262807224e-08
1870,3.4404292748035914e-09,8.027668307875047e-09
1871,1.0621177271019633e-09,1.0621177271019633e-09
1872,1.2094678591978436e-09,6.652073114565837e-09
1873,1.7958012854535355e-09,1.6760813181804224e-08
1874,2.3898436563030145e-09,7.169530746864439e-09
1875,5.721527140956084e-10,4.577221712764867e-09
1876,0.0,1.6324239737741664e-08
1877,0.0,4.329371083855449e-09
1878,0.0,7.850815109122777e-09
1879,1.221865053580018e-09,1.832797580370027e-09
1880,1.9253538763308597e-09,1.6686399817444908e-08
1881,6.972507571312292e-10,1.4642266066289267e-08
1882,6.655385131892899e-10,9.317538740560849e-09
1883,1.2638677882037541e-09,1.8958017378167824e-09
1884,5.281357573494461e-09,8.582206056928499e-09
1885,0.0,2.5782542767416317e-09
1886,0.0,3.2267319927115068e-09
1887,6.528924623161458e-10,1.4363633837888301e-08
1888,1.268122939990235e-09,1.1413106904001324e-08
1889,0.0,2.255449160770695e-08
1890,0.0,9.176140736144589e-09
1891,6.374220040683554e-10,1.9122659011827636e-09
1892,6.268512375839919e-10,1.6298132621272998e-08
1893,6.158416554491453e-10,3.0176241949675386e-08
1894,1.8904617871129403e-09,7.561847148451761e-09
1895,1.8055843487019274e-09,5.416753268150387e-09
1896,5.89702897624278e-10,8.845543852942228e-09
1897,1.7480140668268973e-09,9.322741689743452e-09
1898,0.0,3.960848538042683e-09
1899,6.080336234504102e-09,8.291367592505594e-09
1900,0.0,3.633737311048435e-09
1901,0.0,6.706486921359556e-09
1902,4.419255628107521e-09,4.910283846193408e-10
1903,0.0,2.1600881083827517e-09
1904,5.374625189347171e-10,5.912087708281888e-09
1905,5.160759042333041e-10,4.1286072338664326e-09
1906,1.0288369045596824e-09,2.0576738091193647e-09
1907,0.0,6.1714118260169926e-09
1908,4.911389073214423e-10,6.875944702500192e-09
1909,1.1001967115120692e-09,3.300590023513905e-09
1910,5.344150677544235e-10,5.878565634276356e-09
1911,0.0,1.5961122423746588e-09
1912,0.0,4.167536982180309e-09
1913,0.0,6.893886794756554e-09
1914,0.0,1.3393487430235496e-09
1915,2.3561523843085297e-09,2.3561523843085297e-09
1916,1.0987462051303964e-09,1.0987462051303964e-09
1917,9.869782324756216e-09,4.386569774084137e-09
