year,ayons_VERB eu_VERB,ayons_VERB pu_VERB
1800,2.2323567350213125e-07,1.603523855919775e-07
1801,1.2144030847593967e-07,1.7858869227893592e-07
1802,1.969299319171114e-07,1.320325679898815e-07
1803,1.7553053055507917e-07,1.7162984988772223e-07
1804,2.669599155069591e-07,7.909923027682453e-08
1805,1.648869130121966e-07,1.8762992226584174e-07
1806,1.0085842205853623e-07,1.0662175498055149e-07
1807,2.562259737715067e-07,4.0426763803225185e-07
1808,1.11037628869326e-07,1.7901984961099515e-07
1809,1.197286110254936e-07,2.2364402241237258e-07
1810,1.0764583180389309e-07,1.825298880930859e-07
1811,2.3315813280078146e-07,1.353821517113829e-07
1812,1.0935553973467904e-07,1.680341199516988e-07
1813,2.8469841595324397e-07,1.9555042740648787e-07
1814,2.1397404736944736e-07,2.926409763404081e-07
1815,1.537417375629957e-07,2.4275013288388436e-07
1816,2.062667476820934e-07,3.6849903040092613e-07
1817,2.2574664626517915e-07,2.428722609693068e-07
1818,2.777634335870971e-07,1.2755660350194375e-07
1819,1.531955433620169e-07,1.645816922746235e-07
1820,1.281579926626364e-07,2.408895625194418e-07
1821,2.2977268088197889e-07,2.6034328470814216e-07
1822,2.3660453507545753e-07,2.90742860897808e-07
1823,1.7690010167825676e-07,1.7294702558956487e-07
1824,2.39159589909832e-07,2.332648278979832e-07
1825,1.514536194235916e-07,2.025251859549826e-07
1826,2.078684246953344e-07,3.805049288985174e-07
1827,1.7236300209333422e-07,2.9863963391107973e-07
1828,1.9445278098828567e-07,2.797551985622704e-07
1829,2.3061843990035413e-07,3.58358761332056e-07
1830,2.4526565312044113e-07,3.298040098798083e-07
1831,2.1671776551102084e-07,3.5859773106494686e-07
1832,2.54363413887404e-07,2.8548234354275337e-07
1833,2.2472239891158097e-07,3.7067610492158565e-07
1834,2.2869600968533632e-07,2.8283628239478276e-07
1835,2.0344705831121246e-07,2.934478118277184e-07
1836,1.371032993802146e-07,2.661417113358766e-07
1837,2.2126093313090678e-07,2.977977260343323e-07
1838,2.202944529017259e-07,2.1398228966518218e-07
1839,2.544896915424033e-07,4.0620471963848104e-07
1840,1.9172762222297024e-07,2.4395907871621603e-07
1841,2.3563413265037525e-07,3.685394744934456e-07
1842,1.784398477866489e-07,3.320591304145637e-07
1843,2.1855571219475678e-07,2.953455577880959e-07
1844,1.65205690905168e-07,3.2656939197295287e-07
1845,2.3102143131836783e-07,3.4262600934198417e-07
1846,1.639260318597735e-07,3.2375393743677705e-07
1847,1.7905502147641528e-07,3.462449456037575e-07
1848,2.300933346077727e-07,3.94215874166548e-07
1849,2.220544956799131e-07,3.1506598929809115e-07
1850,1.9212858148875966e-07,3.184039201187261e-07
1851,1.5220675209093315e-07,3.140876572160778e-07
1852,2.161501129194221e-07,3.5742894510804035e-07
1853,1.911018188138769e-07,2.8068080837329035e-07
1854,1.9795481875917176e-07,4.104574884422618e-07
1855,2.1811511885516666e-07,3.369904959527048e-07
1856,2.334912352353058e-07,2.8836944920840324e-07
1857,2.269901671070329e-07,2.6116074991477944e-07
1858,2.2657719966900913e-07,2.92641828991691e-07
1859,2.2049110270927486e-07,3.258990943777462e-07
1860,1.7576385857864807e-07,3.0621359314864094e-07
1861,2.1457634602484177e-07,3.659587832771649e-07
1862,2.1731513299982907e-07,4.1565473907212436e-07
1863,1.9528967243331863e-07,3.581143062092451e-07
1864,2.152832792035042e-07,2.8912208449582977e-07
1865,2.1604415678666555e-07,2.875881932595803e-07
1866,2.243047561023559e-07,3.1285890145227313e-07
1867,2.0236224429481808e-07,2.858305947484041e-07
1868,2.2723421011505707e-07,4.075396020652988e-07
1869,2.3440891538939468e-07,2.778722318907967e-07
1870,1.9266403228357376e-07,3.6353870314087544e-07
1871,3.3775344832065457e-07,3.982941336744261e-07
1872,2.50359846631909e-07,3.688876972773869e-07
1873,2.3824297556984675e-07,4.1662590888336126e-07
1874,2.2882753114572552e-07,3.769978320633527e-07
1875,2.2828893975201936e-07,3.627448279530654e-07
1876,2.194703370150819e-07,3.748529309177684e-07
1877,1.7193788437452895e-07,3.840770830265683e-07
1878,2.3250491665294248e-07,3.828782269010844e-07
1879,2.3765275614096026e-07,4.1360132740919653e-07
1880,2.5607207021494105e-07,3.5939939380114083e-07
1881,2.405515147074766e-07,3.8348792941178544e-07
1882,1.6771571154095e-07,3.054821888781589e-07
1883,2.395029525814607e-07,4.012780152606865e-07
1884,2.237975280650062e-07,3.274441837675113e-07
1885,2.5524718694214243e-07,3.190589552559686e-07
1886,2.426502305752365e-07,2.9427795311676164e-07
1887,2.3569417351154698e-07,3.4472722632017394e-07
1888,2.5362459155076067e-07,2.9166827175686194e-07
1889,2.41834271719199e-07,3.3205225236088154e-07
1890,2.497221203157096e-07,3.2837476737768156e-07
1891,2.1672347827461635e-07,3.467575595550443e-07
1892,2.33815512729052e-07,3.742301828424388e-07
1893,2.53110925996225e-07,3.4733469078673807e-07
1894,2.186634162626433e-07,2.9428187531266303e-07
1895,2.6301344746570976e-07,3.502833578750142e-07
1896,2.1642095759943913e-07,2.854162062249088e-07
1897,2.150057270000616e-07,3.327053548218828e-07
1898,2.1784666159874178e-07,4.0061152617454354e-07
1899,2.4652999286445265e-07,3.2502160252079193e-07
1900,1.9310718357701262e-07,3.2080708933790447e-07
1901,2.777603356207692e-07,3.77239871340862e-07
1902,1.8855490679925424e-07,3.0885684054737794e-07
1903,1.852275488545274e-07,3.715351510891196e-07
1904,2.12297692314678e-07,4.090089760211413e-07
1905,2.1107504721840087e-07,3.5247984442321467e-07
1906,1.9753667857003165e-07,2.788148094623466e-07
1907,1.6971382876818097e-07,3.5588476521297707e-07
1908,2.0529606103991682e-07,3.0106815529507003e-07
1909,1.7548137520861928e-07,2.772495690805954e-07
1910,2.1643809589022567e-07,3.6874638453809894e-07
1911,2.0111014009671635e-07,2.739992623901344e-07
1912,2.078559049323303e-07,3.240259900394449e-07
1913,2.1954377871225006e-07,3.526488114857784e-07
1914,2.0090230634650652e-07,3.2278305184263445e-07
1915,3.4164210660492245e-07,3.828747594525339e-07
1916,2.7358780130271043e-07,3.6698122585221427e-07
1917,2.324882046877974e-07,3.553121530330827e-07
1918,2.848621249995631e-07,3.7100994632055517e-07
1919,2.2559228796126263e-07,3.333241238578921e-07
1920,2.2716695013969002e-07,3.7558268672910344e-07
1921,2.2188149273461022e-07,3.2487085377397307e-07
1922,2.0805778433441446e-07,3.3348268857480434e-07
1923,1.9639503534563119e-07,3.1423206792169367e-07
1924,2.062659945067935e-07,3.85459571816682e-07
1925,2.1006519546062918e-07,2.881522505049361e-07
1926,2.4298580569848127e-07,3.221234123884642e-07
1927,2.062606654362753e-07,3.2667227856109093e-07
1928,1.9538531148555194e-07,3.153587329052243e-07
1929,2.2392217147171323e-07,3.6206321851750545e-07
1930,1.6700730043339718e-07,3.0985631838120753e-07
1931,2.0073427720035397e-07,3.7409569131341414e-07
1932,1.6220114673615171e-07,3.572808964236174e-07
1933,1.950012631368736e-07,2.9823721092725464e-07
1934,2.0129054689732584e-07,2.9953949365335575e-07
1935,1.5080037485404318e-07,3.566548798517033e-07
1936,1.4549657123552606e-07,4.1224029700970277e-07
1937,1.9768054926316836e-07,3.7773355643366813e-07
1938,1.78919961513202e-07,3.448747065704083e-07
1939,2.003520620519339e-07,3.777630581680569e-07
1940,2.0032685199566913e-07,2.738645434874343e-07
1941,1.3872062254449702e-07,2.7448973582977487e-07
1942,1.7598428314613557e-07,4.4602913362723484e-07
1943,1.800005833274554e-07,3.3387203757229145e-07
1944,1.767252371109862e-07,3.6951641391169687e-07
1945,3.289541155027109e-07,3.42025145982916e-07
1946,1.8515068234137289e-07,2.895589545914845e-07
1947,2.205361084861579e-07,3.3259229326176865e-07
1948,1.6851426209996134e-07,3.0658722494081303e-07
1949,1.4823682192854903e-07,3.0334555845001887e-07
1950,1.6059395591128123e-07,3.3607742011554365e-07
1951,1.7697927034987515e-07,3.8167817706380447e-07
1952,1.5289965915599169e-07,2.82600751688733e-07
1953,1.4867882214275596e-07,3.296791248885711e-07
1954,1.807919147722714e-07,2.990396126278938e-07
1955,1.8677359037155838e-07,3.20987794566463e-07
1956,1.8663243395167228e-07,3.4099664958375797e-07
1957,1.8465229345565604e-07,2.915562333782873e-07
1958,1.505548254954192e-07,3.002824371378665e-07
1959,1.5501495909120422e-07,2.557746654474613e-07
1960,1.27343326994378e-07,2.892908241847181e-07
1961,1.5494394745019235e-07,3.0571899856113305e-07
1962,1.464991896682477e-07,2.56215031413376e-07
1963,1.6035812677728245e-07,2.845063420409133e-07
1964,1.825190452109382e-07,3.1575794423588377e-07
1965,1.3734829451550468e-07,2.916599157742894e-07
1966,1.25183092336556e-07,2.7418420245339803e-07
1967,1.3804940124373388e-07,2.583495870567276e-07
1968,1.5854698176553939e-07,2.658918276665645e-07
1969,1.7440349608932593e-07,2.9703096515731886e-07
1970,1.535974121225081e-07,2.4557192546126316e-07
1971,1.5723496460395836e-07,2.55892189215956e-07
1972,1.431311034139071e-07,2.636895430896402e-07
1973,1.356248162664997e-07,2.139123012057098e-07
1974,1.2601280729995779e-07,2.672146592885838e-07
1975,1.1308731018289109e-07,2.2960149692607956e-07
1976,1.3369653117933922e-07,2.576800568476756e-07
1977,1.1988635151283233e-07,2.1509021053134347e-07
1978,1.2891082690202893e-07,2.1267317151796306e-07
1979,1.2581742225847847e-07,2.024782759235677e-07
1980,1.3189549008529866e-07,2.410504009731085e-07
1981,1.2777610436387477e-07,2.0305013492816215e-07
1982,1.0242379033797988e-07,2.2036633140487538e-07
1983,1.1304415892254838e-07,2.159838032866901e-07
1984,1.1250076425994848e-07,1.693310451855723e-07
1985,1.263267250806166e-07,1.9129474537749047e-07
1986,1.3667427367636265e-07,1.7563841936407698e-07
1987,1.0449496556930171e-07,1.6682530201705958e-07
1988,1.1573348501769942e-07,1.535117775119943e-07
1989,1.1744581485118033e-07,1.5147217879984964e-07
1990,1.1333194294138593e-07,1.4929304370525642e-07
1991,1.0726481036726909e-07,1.600180041805288e-07
1992,1.1736180738353141e-07,1.5538041964191507e-07
1993,1.05798861227413e-07,1.4568115602742182e-07
1994,1.2712573038697883e-07,2.030846673051201e-07
1995,9.651962784573698e-08,1.5237087325203902e-07
1996,8.594328448907618e-08,1.5960895893840643e-07
1997,8.678758689484312e-08,1.4624427535636642e-07
1998,8.630313885760188e-08,1.3922937114330125e-07
1999,9.87163417676129e-08,1.4121921765308798e-07
2000,9.719668980778806e-08,1.3607537141524517e-07
2001,9.857726723794258e-08,1.5728549840332562e-07
2002,9.594874939011788e-08,1.362559913786754e-07
2003,1.1167353619612186e-07,1.3875853710487718e-07
2004,9.954828072977762e-08,1.4623907418354065e-07
2005,9.592986316420138e-08,1.035862382536834e-07
2006,1.0047651244349254e-07,1.4947940485399158e-07
2007,1.1264432231428145e-07,1.6137697400608886e-07
2008,1.0260429661457238e-07,1.6135696512264985e-07
2009,1.2349619282758795e-07,1.64979454098102e-07
2010,1.2659765502576192e-07,1.5824706167677505e-07
2011,1.498997050930484e-07,1.4454613506131864e-07
2012,1.657871138149858e-07,1.8314879923764238e-07
2013,1.6344272069090948e-07,1.8659245881735842e-07
2014,1.769168704868207e-07,1.8341320640047343e-07
2015,1.8441907911892486e-07,1.9306371257243882e-07
2016,1.8207079222065659e-07,1.9967717435065424e-07
2017,1.7307405641986406e-07,1.818787040974712e-07
2018,1.6366499266950996e-07,2.1942466332802724e-07
2019,1.62497926226024e-07,1.7678344477189967e-07
