year,résultats_NOUN heureux_ADJ
1800,2.2952400513531757e-07
1801,3.6908329548168695e-07
1802,2.394488944901241e-07
1803,2.0478562134940148e-07
1804,2.3729768372504623e-07
1805,3.041879210741172e-07
1806,3.342736079048336e-07
1807,3.416346032736328e-07
1808,3.5124148212162254e-07
1809,2.0783080856290326e-07
1810,3.6271964631851006e-07
1811,4.262030586232868e-07
1812,2.2137828636914492e-07
1813,4.457399427337805e-07
1814,4.5941484927425336e-07
1815,2.832084646797739e-07
1816,3.1287652291212e-07
1817,2.0395042099607963e-07
1818,3.8147766190377297e-07
1819,2.3910925506243075e-07
1820,3.6904756939293293e-07
1821,3.0471997547465435e-07
1822,2.4863527414709097e-07
1823,2.777034922019084e-07
1824,2.593702674857923e-07
1825,2.6944655928673455e-07
1826,3.62888954441587e-07
1827,3.373521906269161e-07
1828,3.8615388575635734e-07
1829,3.652172892998351e-07
1830,3.423282066705724e-07
1831,3.7574807265627896e-07
1832,3.20660262786987e-07
1833,3.903682852524071e-07
1834,3.388434777207294e-07
1835,2.3823727701710595e-07
1836,2.849598104148754e-07
1837,3.1519246590505645e-07
1838,3.0298377851067926e-07
1839,3.978149436534295e-07
1840,3.076559664805245e-07
1841,3.942216721952718e-07
1842,3.749920267637208e-07
1843,3.544146522926894e-07
1844,3.1723882898404554e-07
1845,4.00660354671345e-07
1846,3.067758598263026e-07
1847,3.516381923418521e-07
1848,4.167424947354448e-07
1849,4.2986397374988883e-07
1850,3.4352319744357374e-07
1851,2.889348706958117e-07
1852,3.7826268339813396e-07
1853,3.7145414921724296e-07
1854,2.577049542651366e-07
1855,3.274380162565649e-07
1856,3.1632626473765413e-07
1857,3.3877674354698684e-07
1858,3.268975490300363e-07
1859,3.51869175574393e-07
1860,3.00263252484001e-07
1861,3.2870266863938014e-07
1862,3.438187547999405e-07
1863,2.866912325316662e-07
1864,3.159725849855022e-07
1865,2.734676627369481e-07
1866,3.2745575140324945e-07
1867,3.6056388807992334e-07
1868,3.527070191466919e-07
1869,2.8763926707142673e-07
1870,3.434695088344597e-07
1871,3.29256494069341e-07
1872,3.6707348272102536e-07
1873,3.657448814919917e-07
1874,3.27408571365595e-07
1875,3.581675969144271e-07
1876,3.1681116752224625e-07
1877,3.098592742389883e-07
