year,génies_NOUN heureux_ADJ
1800,1.1947824418712116e-07
1801,4.524246932646747e-08
1802,7.384872446891677e-08
1803,4.8758479920252285e-08
1804,6.179627121127851e-08
1805,1.250866148438945e-07
1806,7.492339904047185e-08
1807,1.1672516109229036e-07
1808,1.7675377250725433e-07
1809,3.0948717721912544e-07
1810,1.1700633706368535e-07
1811,8.524060746140094e-08
1812,5.3344166417446104e-08
1813,1.121539270343419e-07
1814,5.034683425719777e-08
1815,3.236668177919455e-08
1816,2.5493642752394408e-08
1817,5.4490570278176165e-08
1818,4.768470773797162e-08
1819,5.175525075173937e-08
1820,7.238553223487543e-08
1821,8.283650032581136e-08
1822,9.323822780515911e-08
1823,6.226093063332883e-08
1824,8.084268188213173e-08
1825,4.57883047033647e-08
1826,1.2331177856594877e-08
1827,8.295545583791863e-09
1828,2.8434133270138773e-08
1829,4.715246859632316e-08
1830,1.3776623575267877e-07
1831,2.0268567268999504e-08
1832,3.2471927369215337e-08
1833,1.1583628278799551e-08
1834,6.534171603789218e-08
1835,2.3445572594482655e-08
1836,1.8818100855355624e-08
1837,3.1310509740478665e-08
1838,1.2624323808552163e-08
1839,1.3283802502428443e-08
1840,2.229391071750797e-08
1841,1.219904177673925e-08
1842,5.366612043644636e-09
1843,3.071593823733565e-08
1844,1.975882035765153e-08
1845,1.1718478631905782e-08
1846,1.9319854160926297e-08
1847,4.260646591092154e-08
1848,1.045878850192139e-08
1849,2.262441967104678e-08
1850,3.190828223864628e-08
1851,1.3543821175687754e-08
1852,2.148479971708639e-08
1853,1.3735443005202796e-08
1854,1.8704392701351935e-08
1855,2.4411910715116392e-08
1856,9.836659486950339e-09
1857,5.369659827891837e-09
1858,2.6915218498402282e-08
1859,1.5785737161877478e-08
1860,2.197048232233101e-08
1861,2.263662679524714e-08
1862,1.490935552794781e-08
1863,1.048870412745373e-08
1864,1.0068928801842958e-08
1865,1.97687466396701e-08
1866,1.1677471434268227e-08
1867,1.4073153309368536e-08
1868,1.531360993567432e-08
1869,1.2208797528501236e-08
1870,8.027668307875047e-09
1871,5.3105884134652115e-09
1872,2.116568786902917e-08
1873,1.1373408881354408e-08
1874,1.0156835372754358e-08
1875,8.010138330405425e-09
1876,4.836811839936672e-09
1877,1.855444864418132e-08
1878,1.2078177569208037e-08
1879,6.10932526790009e-10
1880,7.701415505323439e-09
1881,1.3945015142624584e-09
1882,5.989846840748214e-09
1883,1.0742875922176154e-08
1884,2.6406787867472303e-08
1885,1.740321664556177e-08
1886,2.452316216761119e-08
1887,8.48760173255414e-09
1888,2.1558090423923204e-08
1889,1.0650732740202784e-08
1890,5.898947996740844e-09
1891,3.824531802365527e-09
1892,1.8805536683430546e-08
1893,6.774258043407144e-09
1894,8.192000855444803e-09
1895,1.3842813118003505e-08
1896,7.076434549446731e-09
1897,2.9133566670225264e-09
1898,6.224190496340043e-09
1899,1.1055156790007459e-09
1900,6.748368974740515e-09
1901,7.265360757457984e-09
1902,1.9641135384773634e-09
1903,1.6200660812870638e-09
1904,6.987012746151322e-09
1905,7.2250627702885595e-09
1906,5.144184633820714e-09
1907,4.114274698707732e-09
1908,1.5225305460830896e-08
1909,9.351672325408344e-09
1910,3.206490406526541e-09
1911,6.384448969498635e-09
1912,3.125652625612929e-09
1913,3.71209285532359e-09
1914,4.68772043404897e-09
1915,1.1780761921542648e-09
1916,1.0987462051303964e-09
1917,0.0
1918,6.89182577673364e-09
1919,2.762354567309444e-09
1920,1.514446346106979e-09
1921,9.087297137000405e-09
1922,9.591316185719734e-09
1923,1.1677542488541803e-08
1924,6.445812328337297e-09
1925,8.798542339150117e-09
1926,6.687683296036084e-09
1927,3.3447675740205796e-09
1928,7.998228745975666e-09
1929,4.4561625500705304e-09
1930,1.2604324695075775e-08
1931,4.5621426636444085e-09
1932,8.767629289252454e-09
1933,2.2941324395731044e-09
1934,0.0
1935,1.196828414151696e-09
1936,3.6374143697059935e-09
1937,7.554670666820584e-09
1938,5.186085783037697e-09
1939,0.0
1940,0.0
1941,8.854508237732261e-09
1942,0.0
1943,2.9032352077962287e-09
1944,6.4263723231761105e-09
1945,2.178504043826024e-09
1946,6.960552134671616e-09
1947,0.0
1948,3.2615663503321457e-09
1949,2.945102384188658e-09
1950,4.2541445921528975e-09
1951,9.595261474260042e-09
1952,5.272402070488624e-09
1953,2.1547654771580937e-09
1954,4.886268278880834e-09
1955,1.8771215692936494e-09
1956,1.2209598665435806e-08
1957,0.0
1958,1.6544486891589827e-09
1959,3.100299128533379e-09
1960,2.7683333403416555e-09
1961,0.0
1962,1.2683912808952869e-09
1963,1.2932106496776896e-09
1964,1.2167936658258327e-09
1965,2.73602163147757e-09
1966,6.6468897053084675e-09
