year,seriez_VERB assez_ADV
1800,4.4018303668735825e-08
1801,5.476719877606229e-08
1802,2.6854081625060644e-08
1803,2.3404069793286908e-08
1804,6.426812149129546e-08
1805,2.842877755426798e-08
1806,6.627838899930794e-08
1807,2.562259560079383e-08
1808,1.3596443970698147e-08
1809,5.1957702140725814e-08
1810,5.8503168531842675e-08
1811,7.521229861140455e-09
1812,3.467370746079723e-08
1813,1.7254450312975678e-08
1814,4.090680150170556e-08
1815,4.045835311217161e-08
1816,2.0858434979231788e-08
1817,6.383181272440197e-08
1818,5.6029534789558966e-08
1819,3.1053151161586356e-08
1820,4.2719332071783356e-08
1821,1.311577904061778e-07
1822,3.308453244699194e-08
1823,6.324919610278812e-08
1824,4.0421340941065864e-08
1825,6.692136622632461e-08
1826,4.932471142637951e-08
1827,2.2121454890111636e-08
1828,3.66892045633449e-08
1829,4.9724420136953995e-08
1830,3.026682549034376e-08
1831,5.9246584527272717e-08
1832,7.441482807735156e-08
1833,4.170106393530659e-08
1834,2.7070139907436896e-08
1835,4.159698363537245e-08
1836,4.771732520225669e-08
1837,3.478945487245255e-08
1838,3.976661844262708e-08
1839,5.033862038317238e-08
1840,4.2039946634986336e-08
1841,2.6966304744746594e-08
1842,2.1466448174578545e-08
1843,4.4892523476391943e-08
1844,4.171306500211358e-08
1845,3.5155437672074186e-08
1846,2.3418005312692003e-08
1847,2.8584086209093584e-08
1848,1.528592186161859e-08
1849,2.76520690789539e-08
1850,3.4623880651452055e-08
1851,1.2253933867611977e-08
1852,1.6927417689771573e-08
1853,1.7318601663873778e-08
1854,3.533051895487915e-08
1855,2.4411910715116392e-08
1856,4.038207634948776e-08
1857,3.026535466688074e-08
1858,2.9851424443450014e-08
1859,2.6988518087023294e-08
1860,3.249800428761773e-08
1861,2.7352589526685733e-08
1862,3.930648162508987e-08
1863,2.946826249683454e-08
1864,3.691940619887646e-08
1865,1.694463946932956e-08
1866,2.7247432754506917e-08
1867,1.7955402498159856e-08
1868,1.4819621974027086e-08
1869,3.027781758646597e-08
1870,3.669791226457164e-08
1871,6.37270636261178e-09
1872,1.9351485747165498e-08
1873,3.71132280463371e-08
1874,1.8521287614703397e-08
1875,1.8881038954532414e-08
1876,5.1995726835230016e-08
1877,5.813727099734933e-08
1878,2.0532901601200138e-08
1879,2.2604503158163425e-08
1880,2.5029599726167362e-08
1881,3.5559789779426865e-08
1882,2.861815673327328e-08
1883,2.211768546089843e-08
1884,1.5183903911974994e-08
1885,5.156508553483263e-09
1886,2.3232470169887165e-08
1887,1.2404957061562527e-08
1888,1.014498351992188e-08
1889,1.3783300722991498e-08
1890,1.2453334363726754e-08
1891,1.2748440525456317e-08
1892,1.7551833764173352e-08
1893,1.1700991287000306e-08
1894,1.0082462864602348e-08
1895,1.3842813118003505e-08
1896,1.1204354777305525e-08
1897,1.5732126712464378e-08
1898,1.867257104493092e-08
1899,8.844125432005967e-09
1900,5.710158568206225e-09
1901,3.353243460679778e-09
1902,5.892340837476695e-09
1903,9.1803746826713e-09
1904,6.449550227216605e-09
1905,6.192911072844254e-09
1906,2.623534101076075e-08
1907,9.771402353919711e-09
1908,1.2278472460991452e-08
1909,1.4302557360679202e-08
1910,1.4963621453034648e-08
1911,8.51259862599818e-09
1912,1.614920641657136e-08
1913,1.2196876397752021e-08
1914,1.0714789944188396e-08
1915,0.0
1916,2.0876177231343718e-08
1917,3.289927441585405e-09
1918,8.040463406189247e-09
1919,1.012863304339362e-08
1920,9.843901693784574e-09
1921,1.2116395886607734e-08
1922,1.1804696775641332e-08
1923,9.554353752605493e-09
1924,2.1915761649893284e-08
1925,2.0896537833436923e-08
1926,2.1177662290483568e-08
1927,2.3413372574054847e-08
1928,1.9424270192303084e-08
1929,1.3368487650211591e-08
1930,1.575540586884472e-08
1931,7.983749661377715e-09
1932,5.4797681947604815e-09
1933,5.735331320977366e-09
1934,1.0783422155213884e-08
1935,3.7101681726881e-08
1936,2.424942913137329e-08
1937,5.0364472592434595e-09
1938,2.3337385357535823e-08
1939,2.141167065872196e-08
1940,2.5357829169792012e-09
1941,1.4757512545315876e-08
1942,2.4273694165799498e-08
1943,5.806470415592457e-09
1944,6.4263723231761105e-09
1945,8.714016175304096e-09
1946,1.2528993842408909e-08
1947,1.549713246618012e-08
1948,3.2615663503321457e-09
1949,7.853606653895895e-09
1950,3.509669355139522e-08
