year,hasards_NOUN heureux_ADJ
1800,1.0061326349841693e-07
1801,8.096020565062645e-08
1802,1.096541666356643e-07
1803,1.4822578009443532e-07
1804,1.458392091535643e-07
1805,1.2224374756897305e-07
1806,4.610670600868616e-08
1807,4.555128185756985e-08
1808,2.4926814390369145e-08
1809,7.228897658251299e-08
1810,1.1466621430145096e-07
1811,7.270522672797597e-08
1812,1.0668833283489221e-07
1813,1.7254450312975678e-07
1814,5.664018942752591e-08
1815,5.3944472000466703e-08
1816,4.1716869958463576e-08
1817,1.1053801074467628e-07
1818,1.3590141634267638e-07
1819,1.0558071039667993e-07
1820,1.779972222948345e-07
1821,6.508582117703554e-08
1822,6.51665033046811e-08
1823,6.522573414713406e-08
1824,7.579001248814166e-08
1825,6.339919167430708e-08
1826,8.631824499616414e-08
1827,7.005127855563842e-08
1828,3.944089499441361e-08
1829,9.430493719264632e-08
1830,9.288783786587373e-08
1831,9.666548095310645e-08
1832,4.600189662529175e-08
1833,6.602667923516492e-08
1834,9.614566920390644e-08
1835,9.378229037793062e-08
1836,7.258410050781094e-08
1837,6.888311787633938e-08
1838,5.870310459954453e-08
1839,1.097661623816748e-07
1840,6.178598110917477e-08
1841,6.548959419205858e-08
1842,7.244926081284575e-08
1843,4.7255287682901326e-08
1844,4.610391357573462e-08
1845,4.185170965342877e-08
1846,5.620321275046081e-08
1847,6.094342808182773e-08
1848,4.827133182061516e-08
1849,4.9438547478075634e-08
1850,6.313766220955586e-08
1851,3.5471913406581734e-08
1852,6.054807499822346e-08
1853,7.046879346717105e-08
1854,3.636965217879151e-08
1855,1.0136250239156652e-07
1856,6.471486813097727e-08
1857,6.834112487030808e-08
1858,8.417122421278123e-08
1859,7.841946647602072e-08
1860,8.238931314963338e-08
1861,4.385846352761291e-08
1862,4.3824467638176046e-08
1863,3.995696629122136e-08
1864,6.568777588533692e-08
1865,4.5656390890158605e-08
1866,3.8924902412418305e-08
1867,4.270474107670452e-08
1868,8.101393433879167e-08
1869,5.713717443622812e-08
1870,3.4404294524392753e-08
1871,3.717412155879174e-08
1872,4.2936108002322726e-08
1873,6.225444337815134e-08
1874,5.795370805472544e-08
1875,4.97772869589852e-08
1876,4.232210315535667e-08
1877,5.3807900357583094e-08
1878,4.227361927178208e-08
1879,5.437299399613238e-08
1880,4.492492533536563e-08
1881,7.600033491428348e-08
1882,1.0182739385022899e-07
1883,6.319338707871935e-08
1884,6.073561298336472e-08
1885,6.510092109834886e-08
1886,6.066256069692244e-08
1887,2.9380160138092748e-08
1888,5.135897929164912e-08
1889,4.134990194692989e-08
1890,3.080561583601593e-08
1891,5.354344656538501e-08
1892,6.01777176978402e-08
1893,4.434059874824925e-08
1894,3.6548926996005093e-08
1895,5.898242139146248e-08
1896,3.656157843145991e-08
1897,3.204692478053772e-08
1898,4.3569331364956554e-08
1899,6.798921248218903e-08
1900,4.308574175215796e-08
1901,5.532851693468288e-08
1902,3.437198570210853e-08
1903,6.534266860924731e-08
1904,4.192207647690793e-08
1905,5.98648061123086e-08
1906,4.423998811731167e-08
1907,4.937129771676041e-08
1908,3.5362001327143844e-08
1909,5.831042582116197e-08
1910,4.809735454358588e-08
1911,7.874153951092921e-08
1912,5.417798187856704e-08
1913,5.2499598446331674e-08
1914,2.4777951246335306e-08
1915,5.183535378705528e-08
1916,4.2851102222130066e-08
1917,7.895825859804972e-08
1918,7.35128073969804e-08
1919,5.7088659133341935e-08
1920,7.572231464081369e-08
1921,7.118382772119958e-08
1922,5.828569160648556e-08
1923,4.4586980774141693e-08
1924,3.867487263775615e-08
1925,7.58874296735712e-08
1926,4.7928394142360276e-08
1927,6.689534892689863e-08
1928,8.798051664982154e-08
1929,5.7930112262738476e-08
1930,6.722306322703986e-08
1931,3.193499775733244e-08
1932,6.904508076388538e-08
1933,3.326492148403304e-08
1934,3.714289675826876e-08
1935,4.906996409204112e-08
1936,6.18360447290911e-08
1937,2.7700460591972842e-08
1938,5.4453899167583586e-08
1939,5.6587987629086456e-08
1940,3.0429395447839624e-08
1941,2.6563522936839945e-08
1942,5.158160010232393e-08
1943,9.00002916637277e-08
1944,4.177142010064472e-08
1945,5.010559434026618e-08
1946,7.238974308876323e-08
1947,7.390940304219384e-08
1948,6.740570768215548e-08
1949,5.890205123648684e-08
1950,7.019338710279044e-08
1951,5.970384919784522e-08
1952,6.010538333711679e-08
1953,6.248819972576314e-08
1954,4.593092128857279e-08
1955,5.349796516895822e-08
1956,5.4943192662193496e-08
1957,4.329168423744534e-08
1958,3.8052320405768114e-08
1959,6.743150260390962e-08
1960,3.668041564930391e-08
1961,5.419564130804133e-08
1962,6.024858623110418e-08
1963,4.073613668609255e-08
1964,3.6503811473576064e-08
1965,4.5417960281568526e-08
1966,4.6528229380449204e-08
1967,4.53590873750187e-08
1968,6.692209453262876e-08
1969,5.268439129402225e-08
1970,5.058597452034519e-08
1971,4.727325819686712e-08
1972,3.385897073826527e-08
1973,4.9067513163691956e-08
1974,3.375343138323217e-08
1975,3.655347446951396e-08
1976,4.456550994902386e-08
1977,3.702372497471629e-08
1978,4.336631520551748e-08
1979,3.745263088550388e-08
1980,2.558317835354984e-08
1981,3.41579685092519e-08
1982,2.7313010408924754e-08
1983,3.7260366125835276e-08
1984,3.3634247942337936e-08
1985,3.9101127669027846e-08
1986,3.8364706522742154e-08
1987,5.1941943191025075e-08
1988,4.137622111599626e-08
1989,3.567279349692143e-08
1990,5.2307050246724884e-08
1991,4.103025530444171e-08
1992,3.085568667238192e-08
1993,3.8774450872303134e-08
1994,3.217705191183029e-08
1995,3.416143856682652e-08
1996,3.896807321268625e-08
1997,3.1646303577659296e-08
1998,8.010457008822414e-08
1999,3.976074902656279e-08
2000,3.092622047340399e-08
2001,3.4611574717402505e-08
2002,2.9792306399656354e-08
2003,3.4585460717551086e-08
2004,4.977414214124565e-08
2005,2.6572121836210272e-08
2006,4.076711146439038e-08
2007,5.592271179466479e-08
2008,3.746547072580597e-08
2009,3.9575997590191037e-08
2010,3.3066551718974324e-08
2011,2.8679789654262322e-08
2012,4.0510609089494665e-08
2013,4.295252709063391e-08
2014,3.811183368895854e-08
2015,3.856841157556801e-08
2016,3.7491253213062237e-08
2017,2.666548093444021e-08
2018,3.252648062002095e-08
2019,3.469343390349877e-08
