year,enfants_NOUN heureux_ADJ,enfants_NOUN peureux_ADJ
1800,0.0,0.0
1801,9.524730337773235e-09,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,1.4408345627714425e-08,0.0
1807,0.0,0.0
1808,2.945896149242344e-08,0.0
1809,2.259030518203531e-09,0.0
1810,1.6380887757350138e-08,0.0
1811,1.2535384286138651e-08,0.0
1812,8.00162425207418e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,2.2026739543434815e-08,0.0
1815,2.697223555614414e-09,0.0
1816,1.8540831092650478e-08,0.0
1817,1.8682481339737933e-08,0.0
1818,4.6492591110336434e-08,0.0
1819,4.140420006848444e-09,0.0
1820,2.3732962262101864e-08,0.0
1821,4.930744257336528e-09,0.0
1822,2.2056354964661296e-08,0.0
1823,4.15072847204101e-08,0.0
1824,2.947389532437228e-08,0.0
1825,2.2013607159365733e-08,0.0
1826,3.170874407487645e-08,8.807984341885344e-10
1827,1.1060727445055818e-08,0.0
1828,9.172301140836225e-09,0.0
1829,1.2002446148073886e-08,0.0
1830,6.262101504006523e-09,0.0
1831,2.182768810143898e-08,0.0
1832,1.1906372776593344e-07,0.0
1833,3.01174338801502e-08,0.0
1834,2.8003592777992026e-09,0.0
1835,1.2100940693926532e-08,0.0
1836,1.5457725766054864e-08,0.0
1837,2.2265250976261086e-08,0.0
1838,1.009945904684173e-08,1.2624323808552163e-09
1839,1.3283802502428443e-08,0.0
1840,3.885510080348098e-08,3.821813088222825e-09
1841,1.1556987367100646e-08,0.0
1842,1.7441490030023488e-08,6.708265054555795e-10
1843,1.4176587015413133e-08,5.906910960362666e-09
1844,1.1525978393933656e-08,0.0
1845,2.6227071403539526e-08,5.580227946389016e-10
1846,3.688335681317767e-08,1.1709002656346001e-09
1847,1.5640349459999925e-08,2.1572894581822766e-09
1848,1.528592186161859e-08,4.02261068899179e-09
1849,1.1731181359664333e-08,8.379414495607307e-09
