year,aux_ADP airs_NOUN,aux_ADP paires_NOUN
1800,1.5720823043352539e-07,2.829748035892976e-08
1801,1.7620750725200196e-07,5.714838380299625e-08
1802,2.0364345232337655e-07,4.475680270843441e-09
1803,2.262393496987869e-07,0.0
1804,1.6808586700278738e-07,9.887403784603066e-09
1805,1.478296409729296e-07,4.5486043376286034e-08
1806,2.4494187300660997e-07,0.0
1807,8.54086508184082e-08,2.8469551160981155e-09
1808,7.931259204951857e-08,0.0
1809,1.3102376783535874e-07,1.8072244145628247e-08
1810,1.8721014161116045e-07,0.0
1811,1.1783261077980001e-07,5.0141535368197765e-09
1812,9.601949813031752e-08,4.5342538612658245e-08
1813,1.35159851311073e-07,8.627225156487839e-09
1814,1.384537871018665e-07,0.0
1815,4.855002422310406e-08,0.0
1816,9.270415368689555e-08,0.0
1817,1.4945985393755024e-07,0.0
1818,1.1563542035020191e-07,9.536941902865692e-09
1819,1.8528379808202544e-07,0.0
1820,1.6257079860082513e-07,2.3732962262101864e-09
1821,1.3608853222102368e-07,2.9584463767662328e-09
1822,1.5639960793123464e-07,1.4035862250239006e-08
1823,9.388552868472289e-08,5.929612356680991e-09
1824,1.2800091475639874e-07,9.263223965660927e-09
1825,1.1799293964109836e-07,2.289415235168235e-08
1826,1.2595417842042878e-07,1.9377566218281572e-08
1827,6.267745611410191e-08,9.217273055917019e-10
1828,1.0823315454988602e-07,2.4765213879618386e-08
1829,9.51622528555518e-08,1.1145129263923081e-08
1830,1.7533884189013804e-07,4.174734336004349e-09
1831,1.309661297188569e-07,1.091384405071949e-08
1832,3.125422969318947e-07,1.488296597074168e-08
1833,1.3089500561225265e-07,5.791814139399776e-09
1834,1.1388127951761362e-07,3.733812370398937e-09
1835,1.459675971204888e-07,3.025235173481633e-08
1836,1.196293524241554e-07,2.016225053580456e-08
1837,1.0715152298779174e-07,3.409366655660051e-08
1838,1.205622943700746e-07,1.830527018853445e-08
1839,1.3703291867894762e-07,1.11863602825224e-08
1840,1.2038711361128662e-07,9.554533164646273e-09
1841,8.154096420298629e-08,1.6693427085101575e-08
1842,1.3483613425790963e-07,5.366612043644636e-09
1843,1.3290549683020458e-07,4.7255288571079745e-09
1844,1.3007890231619967e-07,8.232841963717874e-09
1845,8.816759988761191e-08,2.3436957263811564e-08
1846,9.777017462297977e-08,1.7563503984519002e-09
1847,8.46736130100112e-08,2.588747349818732e-08
1848,1.3757328987118456e-07,6.43617736884039e-09
1849,9.133561951202296e-08,4.1897072478036534e-09
1850,1.1948632749891885e-07,2.7155984128057753e-09
1851,8.513259319720134e-08,1.483370937194195e-08
1852,1.367214490510804e-07,3.450589147746541e-08
1853,9.913406562311877e-08,1.7915795513800958e-09
1854,7.79349695889664e-08,3.63696517347023e-09
1855,1.2895856826844465e-07,1.0613874223963649e-09
1856,9.629572161884425e-08,5.177189232874468e-10
1857,1.0836950115056254e-07,3.172980811427806e-08
1858,1.1598011928626306e-07,2.1532175153993194e-08
1859,1.5632971717138844e-07,1.018434669930457e-09
1860,1.2587255593388136e-07,1.5562426014525954e-08
1861,1.6788831125325032e-07,6.13075279431996e-09
1862,9.307051873630456e-08,3.6143890103090826e-09
1863,1.143768160183356e-07,9.489779628779615e-09
