year,plusieurs_DET arts_NOUN,plusieurs_DET parts_NOUN
1800,7.766086334015654e-07,4.7162465932615305e-08
1801,5.357660786131646e-07,3.5717739876872656e-08
1802,5.661735258399858e-07,1.1636768704192946e-07
1803,5.577970290104872e-07,4.6808139586573816e-08
1804,4.7212353271319785e-07,5.438072037122765e-08
1805,4.093743901645297e-07,2.842877755426798e-08
1806,2.9681191904273874e-07,2.881669125542885e-09
1807,3.871858860193811e-07,1.7081731584767113e-08
1808,4.1922368332336646e-07,2.7192887941396293e-08
1809,7.635523013860279e-07,4.969867006821005e-08
1810,3.112368620605821e-07,1.1700633351097167e-08
1811,4.512738200901367e-07,1.1031137603367824e-07
1812,2.853912830502736e-07,1.0668832928217853e-08
1813,2.990771328370556e-07,4.601186631703058e-08
1814,2.6746754855366817e-07,5.034683425719777e-08
1815,1.6722785467493395e-07,2.966945977789237e-08
1816,1.4832664518849015e-07,1.622322720606917e-08
1817,4.1568520714463375e-07,0.0
1818,3.016057954496887e-07,8.344824387052086e-09
1819,4.357792082743117e-07,5.693077653745604e-08
1820,3.4650124192125986e-07,2.4919611263385377e-08
1821,3.471243843478078e-07,2.3667571014129862e-08
1822,3.8498363608141517e-07,7.118187284049782e-08
1823,3.9333094969951077e-07,3.9530746676064155e-08
1824,2.4758071415220684e-07,4.378978601948802e-08
1825,3.099516074911435e-07,3.78634048558979e-08
1826,2.5366994194087056e-07,5.372870504061211e-08
1827,2.1752764922666756e-07,3.2260455640198415e-08
1828,3.21947770887121e-07,1.6510142586412258e-08
1829,3.0263310835110246e-07,6.601345603485242e-08
1830,2.6092088400986313e-07,1.878630406793036e-08
1831,2.728461083734146e-07,3.897801548191637e-08
1832,2.638344049898933e-07,4.058990654698391e-08
1833,2.050302256861869e-07,3.4750886612755494e-09
1834,2.0535968037194152e-07,4.760610750054184e-08
1835,3.494146625371286e-07,6.579886502322552e-08
1836,2.2447305703110487e-07,7.392824841190304e-08
1837,1.405494008954733e-07,5.218418053232199e-08
1838,2.0451403881516228e-07,4.229148586887277e-08
1839,2.1323999810363148e-07,3.355908262392404e-08
1840,1.5350949489345567e-07,3.3122379505812205e-08
1841,1.5794548735570402e-07,5.6500827128047604e-08
1842,1.0599058430926789e-07,4.293289634915709e-08
1843,1.4058448238873922e-07,3.9576303123567413e-08
1844,1.7673167462817219e-07,3.2931367854871496e-08
1845,8.258737693722651e-08,4.631589334280761e-08
1846,8.898842129845264e-08,3.7468808500307205e-08
1847,9.707802473002403e-08,4.1527822958187244e-08
1848,7.884317199113866e-08,3.942158599556933e-08
1849,4.1897074254393374e-08,4.608678239037545e-08
1850,9.436704129228701e-08,6.85688590351674e-08
1851,1.5220675564364683e-07,4.9660677348128957e-08
1852,9.765818420603978e-08,3.580800012059626e-08
1853,1.0868916211492774e-07,7.823230419035099e-08
1854,9.923718924387259e-08,2.0263090760863633e-08
1855,7.960405667972736e-08,3.02495415382964e-08
1856,7.040977090255751e-08,4.555926480520611e-08
1857,6.297146915024143e-08,3.905207179855097e-08
1858,9.444794857316197e-08,5.334106845111819e-08
1859,7.179964311987419e-08,2.9025388315062628e-08
1860,5.263761626572716e-08,1.9224172476128842e-08
1861,8.488734826173072e-08,3.254015012998934e-08
1862,1.1566044877397985e-07,2.2589931703009825e-08
1863,7.09236124274426e-08,5.394190338847693e-08
1864,5.801620939216434e-08,5.897515364949868e-08
1865,6.966129806329491e-08,5.9306238142653456e-08
1866,5.6927672575923793e-08,4.2330832172865485e-08
1867,3.882249011155636e-08,3.591080499631971e-08
1868,4.5940827586576916e-08,4.989272639477349e-08
1869,3.662639258550371e-08,3.955650385023546e-08
1870,4.7019200977160835e-08,3.612450782952692e-08
1871,3.611200227737754e-08,2.2304472935275044e-08
1872,5.684499060354398e-08,3.9912439575573444e-08
1873,6.524744566860363e-08,5.447263973223926e-08
1874,4.002988296392118e-08,8.424198938428162e-08
