year,des_DET ailes_NOUN,des_DET pelles_NOUN
1800,3.6818167217234077e-06,1.5720821844311672e-07
1801,2.4954794355380727e-06,3.524150145040039e-07
1802,3.6297766996540304e-06,2.193083332713286e-07
1803,4.261491294954567e-06,2.6329578650674534e-07
1804,3.0873417635746137e-06,1.4831105943358125e-07
1805,2.4022316438276903e-06,2.4164460921127784e-07
1806,3.561743077362678e-06,1.4408345627714425e-07
1807,2.052654574313806e-06,1.537355700520493e-07
1808,3.2178251032632943e-06,1.7675377250725433e-07
1809,2.3245425175844048e-06,2.3268013848998237e-07
1810,3.03982455918117e-06,1.263668423234776e-07
1811,2.785362349655429e-06,2.0808737666300203e-07
1812,2.144435489626062e-06,2.8005687013887837e-07
1813,1.9267469228978484e-06,1.2078115219082974e-07
1814,1.721232369078507e-06,3.115210276405378e-07
1815,1.604847986058644e-06,7.012781066961793e-08
1816,2.5563171650588856e-06,2.2712518443768204e-07
1817,4.321880638258335e-06,1.6502858424249922e-07
1818,3.3200478242179088e-06,1.1086694939876907e-07
1819,3.585603671751869e-06,1.5423064958497434e-07
1820,2.395842436442308e-06,1.6494408239253744e-07
1821,2.8430671648038697e-06,1.2326860332478873e-07
1822,2.7770957018447007e-06,1.233150754842427e-07
1823,2.9292284811077707e-06,1.8678278035366702e-07
1824,2.09854129096243e-06,1.2042190622452154e-07
1825,3.5864570051558076e-06,1.8051157724130462e-07
1826,2.246916904979912e-06,1.2066938381849468e-07
1827,1.7420646134524986e-06,2.000148267011781e-07
1828,2.645291662162208e-06,1.8161156367657583e-07
1829,3.3666862364611916e-06,1.3288423206248012e-07
1830,2.43178281422729e-06,1.972561989305177e-07
1831,2.609967932443169e-06,1.76180629196665e-07
1832,2.831822605742218e-06,1.204167290325131e-07
1833,2.67350146998524e-06,1.656458810117556e-07
1834,3.0701273345812297e-06,1.3255033826098384e-07
1835,2.7121232264448736e-06,1.1798417176578369e-07
1836,3.662136709436936e-06,1.5928178243029834e-07
1837,2.4463945429431533e-06,1.2245888014739137e-07
1838,2.7098111310408513e-06,1.0162580821315714e-07
1839,2.3463390856903743e-06,1.3493546768827969e-07
1840,2.15550265103559e-06,1.178392423639707e-07
1841,2.541895234742242e-06,1.6693425664016104e-07
1842,2.4015588842019042e-06,1.2141960326061962e-07
1843,2.514572081224742e-06,1.0041748599309841e-07
1844,2.2832414412476965e-06,1.251392025558573e-07
1845,2.2281849361149852e-06,1.1216258144486346e-07
1846,2.5297300965121394e-06,1.0655192284048098e-07
1847,2.0790876673615344e-06,1.0408921635729484e-07
1848,2.176232372974596e-06,7.482056524343861e-08
1849,2.207975822621222e-06,9.887709495615127e-08
1850,2.4888458867167174e-06,1.2966982865236787e-07
